Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides,Thalassionema hirosakiensis,Stephanopyxis turris,Stephanopyxis spp.,Rouxia californica,Rhizosolenia styliformis,Rhizosolenia barboi,Rhabdonema japonicum,Paralia sulcata,Mediaria splendida,Hyalodiscus sp.,Grammatophora spp.,Denticulopsis praedimorpha,Denticulopsis lauta,Denticulopsis hustedtii,Coscinodiscus marginatus,Coscinodiscus elegans,Chaetoceros spp.,Aulacoseira granulata,Actinoptychus senarius,Actinocyclus ingens,Synedra jouseana var.,Synedra jouseana,Stephanogonia hanzawae,Rhizosolenia miocenica,Paralia clavigera,Goniothecium tenue,Diploneis nitescens,Denticulopsis praehyalina,Coscinodiscus symbolophorus,Cocconeis scutellum,Cocconeis pellucida,Rhaphoneis amphiceros,Plagiogramma staurophorum,Diploneis smithii,Denticulopsis hyalina,Actinocyclus ingens  var. nodus,Navicula lyra,Denticulopsis katayamae,Rhizosolenia hebetata,Odontella aurita,Diploneis fusca,Denticulopsis praekatayamae ,Coscinodiscus stellaris,Coscinodiscus oculus-iridis,Cocconeis placentula var. euglypta,Azpeitia endoi,Asteromphalus darwinii,Actinocyclus octonarius,Actinocyclus curvatulus,Thalassionema schraderi,Triceratium condecorum,Thalassiosira temperei,Pseudopodosira elegans,Porosira glacialis,Nitzschia sp. 1,Amphora sp.,Nitzschia rolandii,Thalassiosira antiqua,Hemidiscus cuneiformis,Cocconeis costata,Achnanthes groenlandica,Trochosira spinosa,Thalassiosira singularis,Nitzschia grunowii,Crucidenticula punctata,Asteromphalus robustus,Thalassiosira marujamica,Thalassiosira jacksonii,Neodenticula kamtschatica,Diploneis bombus,Cosmiodiscus insignis,Cocconeis pseudomarginatus,Cocconeis californica,Amphiprora sp.,Rhizosolenia setigera,Thalassiosira zabellinae,Thalassiosira gravida,Melosira albicans,Diploneis interrupta,Delphineis surirella,Delphineis angustata,Cymatosira debyi,Thalassiosira convexa,Pinnularia spp.,Thalassiosira trifulta,Thalassiosira nidulus,Actinocyclus ochotensis,Thalassiosira oestrupii,Nitzschia reinholdii,Nitzschia cylindrica,Coscinodiscus subtilis,Thalassiosira plicata,Bacillaria paradoxa,Thalassiothrix frauenfeldii,Achnanthes lanceolata,Thalassiosira eccentrica,Neodenticula koizumii,Actinocyclus oculatus,Thalassiosira manifesta,Coscinodiscus marginatus (girdles),Coscinodiscus radiatus,Chaetoceros spores,Thalassiosira leptopus,Thalassiosira pacifica,Rossiella tatsunokuchiensis,Denticulopsis dimorpha,Delphineis ischaboensis,Rouxia sp.,Thalassiosira lineata,Cyclotella striata,Cymatotheca weissflogii,Navicula directa,Melosira westii,Cyclotella styroleum,Coscinodiscus obscurus,Nitzschia punctata,Fragilaria construens,Azpeitia nodulifer,Diploneis oculata,Actinocyclus sp.,Thalassiosira sp. g,Neodenticula seminae,Thalassiosira nordenskioeldii,Nitzschia extincta,Cyclotella kutzingiana,Rhaphoneis elegans,Coscinodiscus vetustissimus,Trachyneis aspera,Rhizosolenia bergonii,Rhizosolenia curvirostris,Nitzschia sicula,Thalassionema bacillaris,Stephanodiscus astraea,Eunotia spp.,Diploneis ovalis,Pseudoeunotia doliolus,Calloneis bacillum,Bacterosira fragilis,Thalassiosira lacustris,Navicula spp.,Diploneis suborbicularis,Roperia tesselata,Rhizosolenia imbricata,Rhizosolenia alata,Nitzschia marina,Nitzschia braarudii,Navicula pygmaea,Diploneis weissflogi,Azpeitia tabularis,Asteromphalus flabellatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 14,H, 4,  23.00,    124.6300,White    ,Diatoms                                      ,A              ,M                 ,                         ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,R                ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,F                    ,                 ,                    ,                    ,                    ,                ,R                    ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,R                                 ,R                     ,R                 ,R                     ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 14,H, 4, 107.00,    125.4700,Koizumi  ,Diatoms                                      ,               ,                  ,3                        ,                                              ,91                         ,                           ,16                  ,1                 ,                  ,                        ,3                  ,                    ,8              ,                  ,               ,                  ,                          ,                   ,                       ,37                      ,                     ,51              ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,4                      ,1                      ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,11                    ,                 ,                       ,                  ,                        ,                  ,                       ,1                     ,                        ,                       ,5                        ,4               ,                     ,                          ,                     ,              ,2                    ,                        ,1                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,1                     ,                     ,                       ,2                      ,                    ,                    ,                      ,                     ,                   ,1                          ,                     ,1                       ,5                    ,1                    ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,1              ,                    ,                      ,1                 ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 14,H, 5,  23.00,    126.1300,White    ,Diatoms                                      ,A              ,M                 ,                         ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,R                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,F                        ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,R                                 ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 1,  12.00,    129.5200,White    ,Diatoms                                      ,A              ,M                 ,                         ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,F                        ,                ,                     ,                          ,                     ,              ,                     ,                        ,R                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,F                    ,                     ,                       ,C                                 ,R                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 2,  22.00,    131.1200,White    ,Diatoms                                      ,R              ,M                 ,                         ,                                              ,C                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,R                     ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,C                        ,                ,                     ,                          ,                     ,              ,                     ,                        ,F                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,A                                 ,F                     ,                  ,F                     ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 2,  39.00,    131.2900,Koizumi  ,Diatoms                                      ,               ,                  ,1                        ,                                              ,16                         ,                           ,21                  ,                  ,                  ,                        ,1                  ,                    ,3              ,                  ,               ,                  ,                          ,                   ,                       ,104                     ,                     ,21              ,                     ,3                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,32                       ,2               ,                     ,                          ,                     ,              ,                     ,                        ,4                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,3                     ,2                    ,                       ,1                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,4                    ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,r1                    ,                       ,          ,                     ,                  ,                       ,1               ,1              ,1                   ,1                     ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 3,  22.00,    132.6200,White    ,Diatoms                                      ,R              ,M                 ,                         ,                                              ,C                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,F                     ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,C                        ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,A                                 ,R                     ,                  ,F                     ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 4,  23.00,    134.1300,White    ,Diatoms                                      ,A              ,P                 ,                         ,                                              ,R                          ,                           ,R                   ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,F                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,F                     ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,F                                 ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 5,  23.00,    135.6300,White    ,Diatoms                                      ,A              ,M                 ,                         ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,F                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,F                        ,                ,                     ,                          ,                     ,              ,                     ,                        ,F                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,F                                 ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 6,  23.00,    137.1300,White    ,Diatoms                                      ,A              ,M                 ,                         ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,F                        ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,F                                 ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 6,  39.00,    137.2900,Koizumi  ,Diatoms                                      ,               ,                  ,4                        ,                                              ,88                         ,                           ,17                  ,2                 ,                  ,1                       ,1                  ,                    ,4              ,                  ,               ,                  ,                          ,                   ,                       ,15                      ,                     ,48              ,                     ,5                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,2                      ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,1                    ,7                     ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,30                       ,1               ,                     ,                          ,                     ,              ,1                    ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,6                     ,                     ,                       ,3                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,7                    ,1                    ,                       ,                                  ,1                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,1                    ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. koiz./N. kamtsch.,              ,127, 797,B, 15,H, 7,  22.00,    138.6200,White    ,Diatoms                                      ,A              ,M                 ,                         ,                                              ,F                          ,                           ,                    ,                  ,                  ,                        ,R                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,C                       ,                     ,                ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,                     ,                        ,F                    ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,F                                 ,R                     ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 Chapter 20 Table 3 p 348-349
