Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis pompilioides,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Alabaminella weddellensis,Sphaeroidina bulloides,Schackoinella sp.,Ehrenbergina sp.,Cibicides  bradyi,Cassidulina spp.,Bolivina pacifica,Pyrgo sp.,Pullenia quinqueloba,Pyrgo murrhina,Laticarinina pauperata,Gyroidinoides neosoldanii,Gyroidina regularis,Discorbinella bertheloti,Astrononion echolsi,Cibicidoides kullenbergi,Miliolid taxa (thin-walled),Gyroidina orbicularis,Bulimina sp. A,Bolivina spp.,Abditodentrix pseudothalmanni,Anomalinoides globulosus,Stainforthia fusiformis,Planulina sp.,Uvigerina hispida,Bulimina alazanensis,Pullenia bulloides,Uvigerina peregrina,Pseudoparrella sp.,Cibicidoides sp.,Cibicidoides robertsonianus,Chilostomella oolina,Cibicides lobatulus,Comment
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 5,  60.00,    129.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3             ,15                ,3              ,2                       ,2                 ,5           ,17                ,14                ,                     ,2                 ,34                    ,1             ,2            ,1                   ,1                 ,4                ,7                         ,6                 ,              ,78                         ,4                  ,31                  ,2                         ,3                    ,39                       ,                      ,1                ,                ,                 ,6               ,                 ,1        ,10                  ,              ,                      ,2                        ,1                  ,1                       ,2                  ,2                       ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 17; total count = 422; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 6,  60.00,    130.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,21                ,4              ,                        ,                  ,6           ,12                ,6                 ,9                    ,2                 ,16                    ,1             ,9            ,                    ,2                 ,9                ,7                         ,6                 ,              ,41                         ,2                  ,38                  ,1                         ,7                    ,37                       ,                      ,3                ,                ,1                ,1               ,                 ,         ,5                   ,              ,                      ,1                        ,                   ,                        ,1                  ,4                       ,                           ,2                    ,2             ,             ,2                            ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 11; total count = 308; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 14,H, 7,  14.00,    131.6400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,26                ,5              ,                        ,2                 ,4           ,13                ,9                 ,12                   ,5                 ,28                    ,1             ,5            ,3                   ,3                 ,17               ,7                         ,4                 ,              ,46                         ,9                  ,37                  ,3                         ,4                    ,48                       ,                      ,5                ,                ,1                ,3               ,                 ,1        ,7                   ,1             ,                      ,2                        ,                   ,                        ,5                  ,                        ,                           ,2                    ,              ,1            ,1                            ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 372; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 15,H, 1,  60.00,    132.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3             ,21                ,1              ,1                       ,1                 ,5           ,9                 ,2                 ,6                    ,7                 ,24                    ,              ,4            ,                    ,                  ,3                ,6                         ,5                 ,              ,54                         ,5                  ,79                  ,                          ,12                   ,49                       ,                      ,5                ,                ,                 ,5               ,                 ,         ,5                   ,1             ,                      ,                         ,                   ,1                       ,                   ,1                       ,                           ,                     ,              ,1            ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 430; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 15,H, 2,  60.00,    134.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,16                ,               ,4                       ,                  ,5           ,3                 ,7                 ,4                    ,7                 ,20                    ,1             ,4            ,1                   ,2                 ,14               ,6                         ,7                 ,              ,56                         ,12                 ,41                  ,                          ,15                   ,44                       ,                      ,                 ,1               ,                 ,                ,                 ,         ,2                   ,1             ,                      ,                         ,                   ,                        ,1                  ,                        ,                           ,3                    ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 12; total count = 290; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 15,H, 3,  60.00,    135.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,2              ,5                       ,1                 ,4           ,5                 ,4                 ,13                   ,                  ,17                    ,              ,             ,                    ,                  ,2                ,4                         ,4                 ,              ,35                         ,7                  ,35                  ,                          ,11                   ,34                       ,                      ,                 ,                ,1                ,1               ,                 ,         ,1                   ,              ,                      ,                         ,                   ,                        ,                   ,5                       ,                           ,                     ,1             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 213; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 15,H, 4,  60.00,    137.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,16                ,4              ,                        ,                  ,6           ,9                 ,11                ,9                    ,10                ,32                    ,              ,4            ,                    ,3                 ,5                ,5                         ,11                ,              ,75                         ,10                 ,27                  ,                          ,11                   ,31                       ,                      ,                 ,                ,2                ,5               ,                 ,         ,3                   ,              ,                      ,1                        ,                   ,1                       ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 305; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 15,H, 5,  60.00,    138.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,4              ,3                       ,                  ,3           ,                  ,5                 ,9                    ,4                 ,20                    ,1             ,1            ,                    ,                  ,3                ,4                         ,3                 ,              ,79                         ,4                  ,26                  ,                          ,6                    ,30                       ,                      ,3                ,                ,                 ,3               ,                 ,         ,3                   ,              ,                      ,                         ,3                  ,                        ,                   ,3                       ,1                          ,1                    ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 12; total count = 262; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 15,H, 6,  60.00,    140.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,4              ,                        ,                  ,4           ,5                 ,4                 ,9                    ,5                 ,16                    ,              ,1            ,                    ,                  ,4                ,7                         ,                  ,              ,61                         ,2                  ,23                  ,1                         ,                     ,27                       ,                      ,                 ,                ,                 ,3               ,                 ,         ,                    ,              ,                      ,                         ,1                  ,2                       ,                   ,1                       ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 203; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 1,  60.00,    142.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,19                ,2              ,                        ,                  ,1           ,6                 ,3                 ,11                   ,2                 ,4                     ,3             ,3            ,                    ,1                 ,3                ,4                         ,5                 ,              ,61                         ,2                  ,39                  ,                          ,7                    ,55                       ,2                     ,3                ,                ,                 ,2               ,                 ,         ,3                   ,              ,                      ,                         ,1                  ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 251; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 2,  60.00,    143.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,7              ,                        ,                  ,            ,9                 ,                  ,5                    ,                  ,12                    ,              ,3            ,                    ,6                 ,2                ,4                         ,6                 ,              ,51                         ,8                  ,36                  ,                          ,7                    ,47                       ,1                     ,                 ,1               ,                 ,                ,                 ,         ,3                   ,2             ,                      ,2                        ,5                  ,1                       ,2                  ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 239; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 3,  60.00,    145.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,4              ,                        ,                  ,10          ,12                ,3                 ,4                    ,7                 ,18                    ,              ,             ,                    ,2                 ,4                ,3                         ,5                 ,              ,50                         ,6                  ,28                  ,1                         ,5                    ,60                       ,                      ,1                ,                ,                 ,1               ,                 ,         ,2                   ,1             ,                      ,                         ,2                  ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 248; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 4,  60.00,    146.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,               ,3                       ,                  ,            ,3                 ,2                 ,6                    ,9                 ,36                    ,              ,1            ,                    ,                  ,2                ,2                         ,10                ,              ,33                         ,1                  ,39                  ,                          ,9                    ,43                       ,                      ,1                ,                ,3                ,                ,                 ,         ,4                   ,2             ,1                     ,3                        ,7                  ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 240; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 5,  60.00,    148.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,12                ,3              ,1                       ,                  ,4           ,5                 ,7                 ,10                   ,3                 ,25                    ,2             ,4            ,                    ,                  ,                 ,2                         ,9                 ,2             ,21                         ,6                  ,41                  ,                          ,2                    ,116                      ,                      ,                 ,                ,                 ,                ,                 ,1        ,3                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 3; total count = 282; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 6,  60.00,    149.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,2              ,3                       ,1                 ,7           ,14                ,4                 ,10                   ,6                 ,19                    ,1             ,2            ,                    ,2                 ,4                ,6                         ,10                ,1             ,33                         ,                   ,26                  ,                          ,4                    ,48                       ,1                     ,2                ,2               ,1                ,2               ,1                ,         ,                    ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 11; total count = 234; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A, 16,H, 7,  30.00,    150.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3             ,7                 ,4              ,5                       ,2                 ,6           ,9                 ,4                 ,16                   ,8                 ,21                    ,2             ,1            ,1                   ,1                 ,4                ,2                         ,5                 ,2             ,54                         ,4                  ,19                  ,1                         ,7                    ,70                       ,                      ,                 ,                ,                 ,                ,                 ,         ,                    ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 264; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
