Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus phacelosus	Rhagodiscus asper	Rhagodiscus angustus	Prediscosphaera columnata	Hayesites albiensis	Gephyrorhabdus coronadventis	Flabellites oblongus	Eprolithus floralis	Corollithion signum	Chiastozygus platyrhethus	Braarudosphaera stenorhetha	Braarudosphaera africana	Watznaueria britannica	Stoverius achylosus	Eiffellithus turriseiffelii	Cretarhabdus loriei	Cribrosphaerella ehrenbergii	Gartnerago praeobliquum	Nannoconus truitti ssp rectangularis	Braarudosphaera quinquecostata	Nannoconus fragilis	Parhabdolithus achylostaurion	Microstaurus chiastius	Crucicribrum striatum	Radiolithus orbiculatus	Lapideacassis mariae	Rucinolithus irregularis	Radiolithus planus	Nannoconus regularis	Metadoga mercurius	Axopodorhabdus albianus	Gartnerago obliquum	Lithraphidites alatus	Lithraphidites acutum spp. eccentricum	Corollithion kennedyi	Tranolithus exiguus	Prediscosphaera avitus	Gartnerago nanum	Ceratolithoides aculeus	Reinhardtites levis	Quadrum trifidum	Quadrum gothicum	Perchnielsenella stradneri	Lithraphidites praequadratus	Arkhangelskiella cymbiformis	Micula praemurus	Lithraphidites quadratus	Micula murus	Semihololithus priscus	Lithraphidites kennethii	Lithraphidites grossopectinatus	Ceratolithoides kamptneri	Cylindralithus oweinae	Cribrocorona gallica	Pseudomicula quadrata	Micula prinsii	Nephrolithus frequens	Prediscosphaera grandis	Prediscosphaera cretacea	Microrhabdulus decoratus	Biscutum parvulum	Neochiastozygus primitivus	Cyclagelosphaera reinhardtii	Cruciplacolithus tenuis	Cruciplacolithus primus (small)	Cruciplacolithus primus	Chiastozygus ultimus	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Neocrepidolithus cruciatus	Chiasmolithus danicus	Neochiastozygus modestus	Neochiastozygus imbriei	Ellipsolithus bollii	Fasciculithus magnus	Chiasmolithus edwardsii	Ellipsolithus macellus	Cruciplacolithus edwardsii	Ericsonia robusta	Octolithus multiplus	Prinsius bisulcus	Thoracosphaera spp.	Placozygus sigmoides	Ericsonia subpertusa	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus gigas	Nannotetrina fulgens	Reticulofenestra umbilica	Chiasmolithus consuetus	Cribrocentrum reticulatum	Bramletteius serraculoides	Lanternithus minutus	Discoaster saipanensis	Comment

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 39	R	CC	  24.00	    511.3700	Watkins  	Nannofossils                                 	A              	VG                	                      	+                	+                   	+                        	                   	+                           	+                   	                   	                   	                         	                           	                        	+                     	+                  	+                          	+                  	                            	                       	                                    	                              	                   	+                            	+                     	                     	                       	                    	                        	                  	                    	                  	+                      	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9b - early Cenomanian

  IR	                 	Albian           	                  	CC9           	171	1052	E	 40	R	 2	  90.00	    513.0000	Watkins  	Nannofossils                                 	C              	M                 	+                     	                 	                    	+                        	                   	+                           	+                   	                   	+                  	                         	                           	                        	                      	+                  	+                          	                   	                            	                       	                                    	                              	                   	+                            	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Cenomanian       	                  	CC9           	171	1052	E	 40	R	 5	  69.00	    516.7900	Watkins  	Nannofossils                                 	C              	M                 	+                     	+                	+                   	+                        	                   	+                           	                    	+                  	+                  	                         	+                          	+                       	+                     	+                  	+                          	+                  	                            	+                      	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	+                   	+                 	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9b; E. small spp. present

  IR	                 	Albian           	                  	CC9           	171	1052	E	 41	R	CC	  20.00	    529.5800	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	+                   	+                        	+                  	                            	+                   	+                  	                   	                         	+                          	                        	+                     	+                  	+                          	+                  	                            	                       	                                    	                              	                   	                             	+                     	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a

  IR	                 	Albian           	                  	CC9           	171	1052	E	 42	R	CC	  10.00	    538.3300	Watkins  	Nannofossils                                 	A              	G                 	+                     	                 	+                   	+                        	                   	+                           	+                   	                   	                   	                         	+                          	                        	+                     	+                  	+                          	                   	                            	                       	                                    	+                             	                   	                             	                      	                     	                       	                    	+                       	+                 	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CP9a; E. small spp. present

  IR	                 	Albian           	                  	CC9           	171	1052	E	 43	R	CC	  30.00	    549.5100	Watkins  	Nannofossils                                 	A              	G                 	+                     	                 	                    	+                        	                   	                            	+                   	                   	                   	                         	                           	                        	+                     	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	+                       	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a;

  IR	                 	Albian           	                  	CC9           	171	1052	E	 44	R	CC	  16.00	    558.0700	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	+                   	+                        	                   	+                           	+                   	                   	                   	                         	+                          	+                       	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Zone CP9a; E. small spp. present

  IR	                 	Albian           	                  	CC9           	171	1052	E	 45	R	CC	   0.00	    561.0600	Watkins  	Nannofossils                                 	A              	VG                	                      	+                	+                   	                         	                   	                            	+                   	                   	                   	                         	+                          	                        	+                     	+                  	                           	                   	                            	                       	+                                   	                              	                   	+                            	                      	                     	+                      	+                   	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Albian           	                  	CC9           	171	1052	E	 46	R	CC	   8.00	    575.6600	Watkins  	Nannofossils                                 	C              	G                 	+                     	                 	                    	+                        	                   	+                           	                    	                   	                   	                         	+                          	                        	                      	+                  	+                          	                   	                            	                       	                                    	                              	                   	+                            	+                     	+                    	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Albian           	                  	CC9           	171	1052	E	 47	R	 7	  42.00	    587.4200	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	+                        	                   	+                           	                    	                   	+                  	+                        	+                          	+                       	+                     	+                  	+                          	                   	                            	                       	+                                   	+                             	                   	+                            	+                     	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9a

  IR	                 	Albian           	                  	CC9           	171	1052	E	 48	R	CC	  19.00	    597.4100	Watkins  	Nannofossils                                 	C              	M                 	                      	+                	+                   	+                        	                   	                            	+                   	                   	                   	                         	                           	+                       	+                     	                   	+                          	                   	                            	                       	+                                   	                              	+                  	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC9a; much micrite

  IR	                 	Albian           	                  	CC9           	171	1052	E	 49	R	CC	   0.00	    604.3900	Watkins  	Nannofossils                                 	C              	G                 	                      	+                	                    	+                        	                   	                            	                    	                   	                   	                         	+                          	+                       	                      	                   	+                          	                   	                            	                       	+                                   	+                             	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Albian           	                  	CC9           	171	1052	E	 51	R	CC	  13.00	    619.3100	Watkins  	Nannofossils                                 	C              	G                 	+                     	                 	+                   	+                        	                   	                            	+                   	                   	                   	                         	+                          	                        	+                     	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a; E. small spp.

  IR	                 	Albian           	                  	CC9           	171	1052	E	 52	R	CC	  22.00	    627.6600	Watkins  	Nannofossils                                 	C              	G                 	                      	                 	                    	+                        	                   	+                           	+                   	+                  	                   	                         	+                          	                        	                      	                   	+                          	                   	                            	+                      	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a; E. small spp.

  IR	                 	Albian           	                  	CC9           	171	1052	E	 53	R	CC	   0.00	    635.1800	Watkins  	Nannofossils                                 	C              	G                 	+                     	+                	+                   	+                        	                   	                            	+                   	+                  	                   	                         	+                          	                        	                      	                   	+                          	                   	+                           	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a; E. small spp.

  IR	                 	Albian           	                  	CC9           	171	1052	E	 54	R	CC	   0.00	    640.3900	Watkins  	Nannofossils                                 	F              	G                 	                      	+                	                    	+                        	                   	+                           	                    	+                  	                   	                         	                           	                        	                      	                   	+                          	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a

  IR	                 	Albian           	                  	CC9           	171	1052	E	 55	R	 7	  39.00	    655.7900	Watkins  	Nannofossils                                 	F              	M                 	                      	                 	+                   	+                        	                   	+                           	                    	+                  	                   	                         	+                          	                        	+                     	+                  	+                          	+                  	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Subzone CC9a

  IR	                 	Albian           	                  	CC8           	171	1052	E	 57	R	CC	  23.00	    675.4800	Watkins  	Nannofossils                                 	               	                  	+                     	+                	+                   	+                        	+                  	+                           	+                   	+                  	+                  	+                        	+                          	+                       	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	CC8b: latest middle Albian

