Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Globotruncana ventricosa	Globotruncana arca	Globotruncanella petaloidea	Heterohelix semicostata	Planoglobulina acervulinoides	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Heterohelix dentata	Globotruncana rugosa	Abathomphalus mayaroensis	Rosita walfischensis	Gublerina acuta	Globotruncanella pschadae	Globotruncana rosetta	Planorotalites imitatus	Morozovella albeari	Morozovella kolchidica	Planorotalites planoconicus	Morozovella pseudobulloides	Subbotina triangularis	Truncorotaloides rohri	Pseudohastigerina naguewichiensis	Chiloguembelina midwayensis	Turborotalia increbescens	Subbotina angiporoides	Globigerina ampliapertura	Globigerina gortanii	Globigerina ouachitaensis	Tenuitella postcretacea	Tenuitella munda	Globigerina ciperoensis	Clavatorella sp. aff. C. nicobarensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia menardii	Globorotalia crassaformis	Globoquadrina hexagona	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida	Globigerina bulloides	Globorotalia truncatulinoides (dex.)	Globorotalia scitula	Globorotalia hirsuta	Globigerina digitata	P-D intergrade	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata	Globorotalia truncatulinoides (sin.)	Comment

  SR	                 	                 	                  	              	121	 758	A	 21	X	 1	 110.00	    190.4000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	1.3%                                 	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 21	X	 2	 110.00	    191.9000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	.4%                                  	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 21	X	 3	 110.00	    193.4000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	1.2%                   	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 22	X	CC	  36.00	    204.0800	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	1.1%            	.4%                    	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 23	X	 2	 110.00	    211.3000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	.4%                    	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 24	X	 2	 110.00	    220.9000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	.8%                    	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 25	X	 3	 110.00	    232.1000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	.7%                      	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 25	X	CC	  10.00	    236.0500	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	1.0%                     	6.3%                	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 26	X	 3	 110.00	    241.8000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	.6%                      	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 26	X	 4	 110.00	    243.3000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	.5%                      	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 26	X	CC	  40.00	    245.0600	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	.5%                      	2.0%                  	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 27	X	CC	  27.00	    248.7900	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	.5%                              	2.8%                       	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 27	X	CC	  32.00	    248.8400	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	.4%                   	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 28	X	 2	 110.00	    259.5000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	.5%                   	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 28	X	 4	 110.00	    262.5000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	.9%                   	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 28	X	CC	  34.00	    266.4200	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	.5%                        	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 30	X	 3	 110.00	    280.4000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	1.1%               	                      	1.0%                       	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 30	X	CC	  27.00	    282.3900	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	.5%                	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 31	X	 1	 110.00	    287.0000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	T                     	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 31	X	 3	 110.00	    290.0000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	.5%                	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 31	X	 4	 110.00	    291.5000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	T                      	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 31	X	CC	  39.00	    295.6000	van Eijden	Planktonic Foraminifers                      	               	                  	                      	.5%                     	1.9%              	                           	                       	                             	.5%                         	                         	                   	                    	                         	.9%                 	3.7%           	1.4%                     	8.9%                 	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 33	X	 1	 115.00	    306.4500	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	5.7%                        	.5%                      	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 33	X	CC	  44.00	    314.9300	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	.6%                         	.6%                      	.6%                	1.1%                	1.1%                     	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 34	X	CC	  42.00	    324.6600	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	2.1%              	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109

  SR	                 	                 	                  	              	121	 758	A	 35	X	CC	  46.00	    327.3800	van Eijden	Planktonic Foraminifers                      	               	                  	                      	                        	                  	.8%                        	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	                            	                 	                          	                   	                     	                         	                      	                          	                        	                          	                     	                           	                       	                             	                     	                       	                  	                     	                                    	                    	                    	                    	              	                                  	                    	                                    	additional species from ODP Leg 121 SR Chapter 3 Table 7 p 108-109
