Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira yabei	Thalassionema nitzschioides	Synedra jouseana	Stephanopyxis turris	Rouxia californica	Rhizosolenia barboi	Paralia sulcata	Grammatophora spp.	Denticulopsis hustedtii	Coscinodiscus marginatus	Chaetoceros spp.	Aulacoseira granulata	Actinoptychus senarius	Thalassionema schraderi	Thalassionema hirosakiensis	Rhizosolenia styliformis	Rhizosolenia hebetata	Opephora martyi	Denticulopsis dimorpha	Coscinodiscus elegans	Azpeitia endoi	Thalassiosira manifesta	Denticulopsis katayamae	Cocconeis scutellum	Cocconeis costata	Actinocyclus ingens	Goniothecium tenue	Coscinodiscus symbolophorus	Coscinodiscus obscurus	Odontella aurita	Nitzschia rolandii	Nitzschia pliocena	Thalassiosira marujamica	Nitzschia spp.	Hemiaulus polymorphus	Asteromphalus robustus	Asterolampra marylandica	Rhizosolenia miocenica	Neodenticula kamtschatica	Diploneis interrupta	Thalassiosira temperei	Pseudopodosira elegans	Nitzschia reinholdii	Denticulopsis praedimorpha	Thalassiosira antiqua	Stephanopyxis spp.	Coscinodiscus stellaris	Coscinodiscus oculus-iridis	Thalassiosira nidulus	Cocconeis californica	Cosmiodiscus insignis	Actinocyclus octonarius	Thalassiosira jacksonii	Thalassiosira zabellinae	Actinocyclus curvatulus	Diploneis smithii	Thalassiosira oestrupii	Thalassiosira sp. 1	Navicula lyra	Denticulopsis hyalina	Delphineis surirella	Cymatosira debyi	Rhizosolenia alata	Cocconeis disculus	Thalassiosira trifulta	Thalassiosira lineata	Thalassiosira eccentrica	Thalassionema bacillaris	Nitzschia sicula	Navicula spp.	Diploneis coffeiformis	Achnanthes lanceolata	Thalassiothrix frauenfeldii	Thalassiosira plicata	Thalassiosira gravida	Eunotia spp.	Thalassiosira pacifica	Rossiella tatsunokuchiensis	Trachyneis aspera	Thalassiosira leptopus	Thalassiosira hyalina	Thalassiosira convexa	Rhopalodia gibberula	Rhaphoneis amphiceros	Navicula mutica	Mastogloia capitata	Gomphonema abbreviatum	Fragilaria construens	Epithemia turgida	Diploneis oculata	Cymbella sinensis	Cyclotella striata	Cocconeis placentula var. euglypta	Actinocyclus ochotensis	Achnanthes brevipes	Lithodesmium undulatum	Hemidiscus cuneiformis	Rhizosolenia setigera	Melosira albicans	Coscinodiscus marginatus (girdles)	Chaetoceros spores	Thalassiosira nordenskioeldii	Neodenticula koizumii	Diploneis bombus	Cymatotheca weissflogii	Nitzschia granulata	Rouxia sp.	Actinocyclus sp.	Coscinodiscus radiatus	Thalassiosira lacustris	Cocconeis pseudomarginatus	Bacterosira fragilis	Neodenticula seminae	Plagiogramma staurophorum	Navicula pygmaea	Cyclotella kutzingiana	Cyclotella antiqua	Porosira glacialis	Diploneis elliptica	Cocconeis fluminensis	Azpeitia nodulifer	Actinocyclus oculatus	Achnanthes diapar	Thalassiosira decipiens	Cyclotella styroleum	Rhizosolenia curvirostris	Gomphonema olivacium	Synedra ulna	Cyclotella chaetoceras	Roperia tesselata	Rhizosolenia bergonii	Gomphonema longiceps	Fragilaria leptostauron	Calloneis bacillum	Cymbella tumida	Pseudoeunotia doliolus	Pinnularia appendiculata	Gomphonema tergrstinum	Nitzschia fossilis	Nitzschia braarudii	Diploneis weissflogi	Biddulphia sinensis	Bacillaria paradoxa	Azpeitia tabularis	Comment

  SR	Late Miocene     	                 	N. kamtschatica   	              	127	 794	A	 23	X	 3	  44.00	    210.6400	Koizumi  	Diatoms                                      	               	                  	8                        	r1                 	102                        	                	3                   	2                 	1                  	               	                  	                       	34                      	12              	                     	10                    	                       	                           	1                       	                     	               	                      	                     	              	                       	                       	                   	2                	                   	                  	                           	1                     	1               	10                	                  	8                       	              	                     	3                     	                        	                      	5                        	                    	                      	1                     	                    	                          	1                    	1                 	1                      	                           	                     	                     	3                    	1                      	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	N. kamtschatica   	              	127	 794	A	 23	X	CC	  25.00	    216.8800	Koizumi  	Diatoms                                      	               	                  	2                        	                   	44                         	                	12                  	1                 	8                  	               	                  	                       	85                      	23              	                     	4                     	                       	                           	                        	1                    	               	                      	                     	              	                       	                       	1                  	2                	                   	                  	                           	                      	2               	6                 	                  	10                      	              	                     	                      	                        	                      	6                        	                    	2                     	                      	                    	                          	1                    	9                 	2                      	                           	1                    	1                    	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	N. kamtschatica   	              	127	 794	A	 25	X	 1	  44.00	    226.9400	Koizumi  	Diatoms                                      	               	                  	4                        	                   	137                        	1               	2                   	2                 	5                  	1              	                  	                       	31                      	13              	                     	3                     	                       	                           	1                       	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	1                 	                  	1                       	              	                     	                      	                        	                      	3                        	                    	1                     	                      	                    	                          	1                    	2                 	1                      	3                          	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	N. kamtschatica   	              	127	 794	A	 25	X	 5	  44.00	    232.9400	Koizumi  	Diatoms                                      	               	                  	6                        	                   	37                         	1               	1                   	3                 	15                 	1              	                  	                       	27                      	15              	                     	75                    	                       	                           	1                       	3                    	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	4               	2                 	4                 	12                      	2             	                     	                      	                        	                      	1                        	                    	2                     	1                     	1                   	r1                        	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	N. kamtschatica   	              	127	 794	A	 26	X	 3	  44.00	    239.6400	Koizumi  	Diatoms                                      	               	                  	2                        	                   	9                          	7               	1                   	3                 	                   	               	                  	                       	141                     	20              	                     	10                    	                       	                           	1                       	12                   	               	                      	                     	              	                       	                       	                   	                 	                   	r1                	                           	                      	                	3                 	1                 	4                       	3             	                     	                      	                        	                      	1                        	1                   	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	R. californica    	              	127	 794	A	 27	X	 1	  43.00	    246.4300	Koizumi  	Diatoms                                      	               	                  	6                        	                   	10                         	14              	2                   	2                 	32                 	1              	                  	                       	118                     	28              	                     	4                     	r1                     	                           	6                       	2                    	               	                      	                     	              	                       	                       	                   	1                	                   	                  	                           	                      	                	                  	                  	                        	1             	                     	                      	                        	1                     	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	R. californica    	              	127	 794	A	 27	X	 5	  43.00	    252.4300	Koizumi  	Diatoms                                      	               	                  	4                        	                   	15                         	1               	2                   	6                 	29                 	1              	                  	                       	107                     	21              	                     	18                    	                       	                           	6                       	3                    	               	                      	                     	              	1                      	                       	                   	1                	                   	                  	                           	                      	                	1                 	                  	1                       	1             	2                    	1                     	1                       	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 28	X	 2	  44.00	    257.6400	Koizumi  	Diatoms                                      	               	                  	4                        	                   	31                         	1               	                    	13                	34                 	               	1                 	                       	67                      	18              	                     	5                     	10                     	27                         	3                       	1                    	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	1                 	2                 	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 29	X	 1	  44.00	    265.8400	Koizumi  	Diatoms                                      	               	                  	2                        	                   	30                         	1               	                    	3                 	56                 	3              	1                 	r1                     	56                      	21              	                     	8                     	22                     	4                          	                        	7                    	               	r1                    	                     	              	1                      	                       	                   	1                	r1                 	                  	                           	                      	                	1                 	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 29	X	 5	  44.00	    271.8400	Koizumi  	Diatoms                                      	               	                  	1                        	                   	11                         	2               	                    	3                 	37                 	               	                  	                       	68                      	18              	                     	3                     	73                     	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	1               	1                 	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 30	X	 3	  44.00	    278.5400	Koizumi  	Diatoms                                      	               	                  	6                        	                   	21                         	2               	                    	6                 	65                 	4              	2                 	                       	65                      	38              	                     	7                     	9                      	8                          	1                       	1                    	               	                      	                     	              	                       	                       	                   	                 	                   	r1                	1                          	1                     	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 31	X	 1	  44.00	    285.0400	Koizumi  	Diatoms                                      	               	                  	3                        	                   	8                          	3               	2                   	5                 	30                 	1              	1                 	                       	65                      	29              	                     	53                    	10                     	6                          	4                       	2                    	               	                      	                     	              	1                      	r1                     	1                  	1                	r3                 	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 31	X	 5	  44.00	    291.0400	Koizumi  	Diatoms                                      	               	                  	2                        	                   	14                         	2               	4                   	1                 	8                  	               	2                 	                       	36                      	15              	                     	114                   	3                      	3                          	2                       	1                    	4              	r2                    	1                    	r1            	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269

  SR	Late Miocene     	                 	T. schraderi      	              	127	 794	A	 32	X	 1	  44.00	    293.9400	Koizumi  	Diatoms                                      	               	                  	1                        	1                  	1                          	1               	2                   	1                 	10                 	2              	1                 	r1                     	9                       	6               	1                    	167                   	                       	                           	                        	                     	               	                      	                     	              	                       	                       	                   	                 	                   	                  	                           	                      	                	                  	                  	                        	              	                     	                      	                        	                      	                         	                    	                      	                      	                    	                          	                     	                  	                       	                           	                     	                     	                     	                       	                       	                        	                       	                 	                       	                   	             	                     	                    	                	                  	                  	                      	                     	                        	                        	                	             	                      	                     	                           	                     	                     	            	                      	                           	                 	                      	                     	                     	                    	                     	               	                   	                      	                     	                 	                 	                 	                  	                                  	                       	                   	                      	                      	                     	                 	                                  	                  	                             	                     	                	                       	                   	          	                	                      	                       	                          	                    	                    	                         	                	                      	                  	                  	                   	                     	                  	                     	                 	                       	                    	                         	                    	            	                      	                 	                     	                    	                       	                  	               	                      	                        	                      	                  	                   	                    	                   	                   	                  	from ODP Legs 127&128 SR Chapter 15 Table 2 p 264-269
