Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stilostomella antillea	Pullenia subcarinata	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Lagena spp.	Heronallenia crosbyi	Hanzawaia spp.	Gyroidina spp.	Gyroidina soldanii	Gavelinopsis cf. prageri	Fissurina spp.	Eponides weddellensis	Epistominella exigua	Eggerella bradyi	Cibicidoides mundulus	Cassidulina subglobosa	Cassidulina laevigata	Bulimina alazanensis	Bolivinita trunctum	Bolivina pseudoplicata	Turrila spp.	Trifarina angulosa	Tosaia hanzawai	Stilostomella spp.	Siphotextularia rolshauseni	Nonion spp.	Neoconorbina spp.	Fursenkoina pontoni	Elphidium spp.	Discorbinella spp.	Brizalina spathulata	Bolivinita spp.	Bolivina inflata	Pleurostomella spp.	Oolina spp.	Lenticulina spp.	Lamarckina spp.	Dentalina spp.	Bulimina spp.	Quinqueloculina seminulum	Nonion barleeanum	Hopkinsina spp.	Gyroidina polius	Fursenkoina fusiformis	Cibicidoides robertsonianus	Uvigerina spp.	Miliolid taxa	Florilus spp.	Bolivina pygmaea	Sigmoilina tenuis	Globobulimina auriculata	Eponides tumidulus	Stilostomella bradyi	Stetsonia arctica	Quinqueloculina stalkeri	Pyrgo williamsoni	Gyroidina orbicularis	Cibicides wuellerstorfi	Trifarina fluens	Nonion auriculata	Gavelinopsis translucens	Bulimina marginata	Bolivina decussata	Valvulineria arctica	Patellina corrugata	Elphidium excavatum	Discorbis spp.	Brizalina lowmani	Bolivina subspinescens	Astrononion gallowayi	Anomalina globulosa	Glabratella spp.	Gavelinopsis lobatulus	Elphidium crispum	Cibicides lobatulus	Nonionella atlantica	Spiroloculina spp.	Brizalina pseudopunctata	Haynesina orbiculare	Epistominella takayanagii	Elphidium discoidale	Ammodiscoides japonicus	Ophthalmidium pusillum	Planulina ariminensis	Nonionella turgida	Cassidulina spp.	Bolivina arctica	Valvulineria laevigata	Fursenkoina pauciloculata	Pseudopolymorphina novangliae	Karreriella bradyi	Pyrgo murrhyna	Buliminella elegantissima	Elphidium poeyanum	Cyclogyra involvens	Brizalina subaenariensis	Uvigerina peregrina	Elphidium advenum	Planorbulina mediterreansis	Eoeponides pulchella	Elphidium gunteri	Elphidium galvestonense	Ammobaculites agglutinans	Rosalina columbiensis	Glabratella wrightii	Anomalina spp.	Ammonia beccarii	Bulimina striata	Sigmoilopsis schlumbergeri	Quinqueloculina agglutinans	Hoeglundina elegans	Triloculina tricarinata	Textularia conica	Rosalina floridana	Hyalina balthica	Comment

  SR	                 	                 	                  	              	149	 898	A	 15	X	 4	  68.00	    137.8800	Collins  	Benthic Foraminifers                         	               	                  	                      	2.9%                	                  	                     	.4%                   	           	                    	              	              	2.1%              	                        	1.2%          	11.5%                	.4%                 	                	                     	18.9%                 	2.5%                 	                    	                   	                      	            	                  	1.2%           	                  	                           	           	                 	                   	              	                  	9.1%                	               	                	                   	           	.4%             	               	1.2%          	             	                         	                 	               	                	16.9%                 	                           	              	             	             	1.2%            	                 	                        	1.6%              	.4%                 	.8%              	                        	                 	4.9%                 	3.3%                   	5.8%            	                 	                        	.8%               	5.3%              	2.5%                	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	4.5%                    	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	38880 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 16	X	 1	  26.00	    139.0600	Collins  	Benthic Foraminifers                         	               	                  	                      	6.9%                	                  	25.9%                	1.5%                  	1.1%       	                    	              	              	.7%               	                        	4.0%          	23.0%                	1.5%                	                	                     	5.1%                  	                     	                    	                   	                      	            	                  	.7%            	                  	                           	           	                 	                   	              	                  	.4%                 	               	                	                   	.7%        	                	               	.7%           	             	1.1%                     	                 	               	                	4.4%                  	                           	              	             	             	                	                 	                        	1.8%              	                    	8.0%             	.4%                     	1.5%             	                     	2.9%                   	                	                 	                        	                  	.7%               	                    	                   	                   	              	                 	                      	                     	5.8%               	                	                      	                 	                   	                    	                  	.7%                     	                    	                         	                    	                       	.4%                   	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	577 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 16	X	 5	   5.00	    144.8500	Collins  	Benthic Foraminifers                         	               	                  	                      	                    	.4%               	.4%                  	                      	           	                    	              	              	1.2%              	                        	.8%           	.4%                  	.4%                 	                	2.0%                 	8.6%                  	15.3%                	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	10.2%               	               	                	                   	           	                	               	              	             	.8%                      	                 	               	                	                      	                           	              	             	             	                	                 	                        	                  	.4%                 	                 	                        	                 	                     	                       	3.1%            	                 	8.6%                    	5.9%              	2.4%              	                    	                   	                   	2.0%          	                 	                      	.8%                  	                   	                	                      	.8%              	26.7%              	                    	                  	.4%                     	.4%                 	.4%                      	7.5%                	.4%                    	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	4080 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 17	X	 1	  90.00	    149.4000	Collins  	Benthic Foraminifers                         	               	                  	                      	14.0%               	                  	2.3%                 	18.0%                 	.3%        	                    	              	              	10.3%             	                        	4.3%          	14.0%                	4.0%                	.3%             	.3%                  	12.7%                 	.3%                  	                    	                   	                      	            	                  	2.3%           	                  	.7%                        	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	.3%           	             	                         	1.0%             	               	                	2.0%                  	                           	              	             	             	                	                 	                        	6.0%              	                    	1.0%             	.3%                     	.3%              	1.0%                 	2.0%                   	.3%             	                 	                        	                  	                  	.7%                 	                   	                   	              	                 	                      	                     	.7%                	                	                      	                 	                   	                    	                  	.3%                     	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1043 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 17	X	 2	 138.00	    151.3800	Collins  	Benthic Foraminifers                         	               	                  	                      	9.7%                	.4%               	7.7%                 	3.2%                  	           	                    	              	              	4.9%              	                        	3.6%          	29.1%                	2.0%                	                	.4%                  	7.7%                  	                     	                    	                   	                      	            	                  	3.2%           	                  	2.8%                       	           	                 	                   	              	                  	                    	               	                	                   	.4%        	                	               	              	             	                         	.4%              	               	                	3.2%                  	                           	              	             	             	                	                 	                        	4.5%              	                    	                 	                        	1.2%             	.8%                  	5.7%                   	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	8.1%               	                	                      	                 	                   	                    	.4%               	.4%                     	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1976 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 17	X	 3	 132.00	    152.8200	Collins  	Benthic Foraminifers                         	               	                  	                      	15.2%               	.4%               	5.1%                 	10.5%                 	.4%        	                    	              	              	3.0%              	                        	3.8%          	26.2%                	3.0%                	                	                     	5.5%                  	                     	                    	                   	                      	            	                  	2.1%           	                  	.8%                        	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	7.2%             	               	                	3.4%                  	.8%                        	              	             	             	                	                 	                        	9.7%              	                    	                 	2.1%                    	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	.8%                 	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1053 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 17	X	 5	 133.00	    155.8300	Collins  	Benthic Foraminifers                         	               	                  	                      	1.2%                	                  	.4%                  	.4%                   	           	                    	              	              	                  	                        	.4%           	.8%                  	1.2%                	                	                     	10.2%                 	6.3%                 	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	7.4%                	               	                	                   	1.2%       	                	               	.4%           	             	                         	.4%              	               	                	                      	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	5.9%            	                 	11.3%                   	3.9%              	6.6%              	                    	                   	7.8%               	.4%           	                 	.8%                   	                     	                   	2.0%            	2.7%                  	2.0%             	25.8%              	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	11703 Total individuals/10 cm3. 0.8% Reworked foraminifers. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 17	X	 6	  39.00	    156.3900	Collins  	Benthic Foraminifers                         	               	                  	                      	6.7%                	1.0%              	6.4%                 	11.8%                 	           	                    	              	              	1.6%              	                        	2.6%          	15.7%                	14.1%               	                	2.6%                 	10.9%                 	                     	                    	                   	                      	            	                  	1.0%           	                  	.6%                        	           	                 	                   	              	                  	                    	               	                	                   	.6%        	.3%             	               	              	             	1.0%                     	2.2%             	               	                	1.6%                  	.6%                        	              	             	             	                	                 	                        	2.6%              	                    	.3%              	                        	                 	15.3%                	.6%                    	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2504 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 18	X	 1	  46.00	    158.5600	Collins  	Benthic Foraminifers                         	               	                  	                      	6.7%                	                  	2.1%                 	2.1%                  	.4%        	                    	              	              	.8%               	                        	7.1%          	3.3%                 	.4%                 	                	                     	5.4%                  	                     	                    	                   	                      	            	                  	               	                  	                           	           	                 	                   	              	                  	.8%                 	               	                	                   	           	                	               	.4%           	             	                         	                 	               	                	30.1%                 	                           	              	             	             	                	                 	                        	                  	.4%                 	                 	                        	                 	4.6%                 	1.3%                   	.4%             	                 	                        	                  	13.8%             	2.9%                	.4%                	.4%                	3.8%          	9.2%             	1.3%                  	.8%                  	.8%                	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	319 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 18	X	 2	  13.00	    159.7500	Collins  	Benthic Foraminifers                         	               	                  	                      	25.2%               	                  	7.7%                 	8.9%                  	2.0%       	                    	              	              	2.0%              	                        	5.3%          	8.9%                 	4.5%                	                	                     	6.1%                  	                     	                    	                   	                      	            	                  	               	                  	.8%                        	           	                 	                   	              	                  	1.2%                	               	                	                   	           	.4%             	               	.4%           	             	                         	2.8%             	               	                	.8%                   	                           	              	             	             	                	                 	                        	1.6%              	                    	.4%              	.4%                     	1.2%             	11.4%                	4.1%                   	.4%             	.4%              	.4%                     	.4%               	2.0%              	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	2072 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 18	X	 3	  58.00	    161.7000	Collins  	Benthic Foraminifers                         	               	                  	                      	19.9%               	.4%               	4.2%                 	6.4%                  	           	                    	              	              	2.5%              	                        	10.6%         	11.4%                	.8%                 	1.3%            	                     	9.3%                  	                     	                    	                   	                      	            	                  	6.4%           	                  	2.1%                       	           	                 	                   	              	                  	.4%                 	               	                	                   	.4%        	.4%             	               	              	             	                         	                 	               	                	3.4%                  	                           	              	             	             	                	                 	                        	4.7%              	.4%                 	6.4%             	1.7%                    	3.8%             	2.8%                 	.4%                    	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	944 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 18	X	CC	  10.00	    167.6700	Collins  	Benthic Foraminifers                         	               	                  	                      	8.6%                	3.6%              	7.7%                 	19.9%                 	           	                    	              	              	2.7%              	                        	.9%           	22.6%                	4.5%                	                	                     	5.9%                  	                     	                    	                   	                      	            	                  	3.6%           	                  	.5%                        	2.3%       	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	12.7%        	                         	1.4%             	               	                	                      	.9%                        	              	             	             	                	.5%              	.5%                     	1.4%              	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	1964 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 22	X	 4	 111.00	    202.3100	Collins  	Benthic Foraminifers                         	               	                  	                      	4.0%                	                  	7.2%                 	1.2%                  	.4%        	                    	12.0%         	              	4.4%              	1.6%                    	              	.4%                  	17.7%               	                	                     	28.9%                 	                     	                    	                   	                      	            	2.4%              	.8%            	2.4%              	                           	.4%        	                 	                   	              	                  	                    	7.2%           	                	                   	.4%        	                	               	.8%           	1.2%         	                         	.4%              	               	                	2.0%                  	.8%                        	.4%           	.4%          	2.0%         	.4%             	                 	                        	                  	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	738 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 23	X	 4	  97.00	    211.8900	Collins  	Benthic Foraminifers                         	               	                  	                      	5.7%                	16.9%             	5.7%                 	34.0%                 	           	                    	              	              	3.8%              	                        	              	3.8%                 	3.8%                	                	                     	11.3%                 	                     	                    	                   	                      	            	                  	1.9%           	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	3.8%             	               	1.9%            	5.7%                  	1.9%                       	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	31 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 25	X	 2	  72.00	    227.8400	Collins  	Benthic Foraminifers                         	               	                  	10.7%                 	10.7%               	4.0%              	14.7%                	15.8%                 	1.1%       	                    	              	2.3%          	5.6%              	                        	1.1%          	                     	11.3%               	1.7%            	.6%                  	13.0%                 	                     	                    	                   	                      	            	                  	               	.6%               	.6%                        	           	                 	1.1%               	              	                  	                    	               	                	1.1%               	           	.6%             	               	.6%           	             	.6%                      	1.7%             	.6%            	                	                      	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	111 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 28	X	 2	  54.00	    256.5400	Collins  	Benthic Foraminifers                         	               	                  	.6%                   	4.0%                	.6%               	5.1%                 	1.1%                  	.6%        	                    	7.4%          	1.1%          	8.6%              	1.7%                    	10.9%         	4.0%                 	10.3%               	.6%             	                     	20.6%                 	                     	                    	                   	                      	            	1.7%              	               	                  	.6%                        	2.3%       	1.1%             	                   	              	2.3%              	                    	10.3%          	                	.6%                	.6%        	.6%             	.6%            	1.7%          	.6%          	                         	                 	               	                	                      	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	103 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 29	X	 5	  15.00	    270.3500	Collins  	Benthic Foraminifers                         	               	                  	2.1%                  	3.3%                	3.8%              	2.5%                 	9.2%                  	           	                    	8.3%          	1.3%          	5.8%              	2.5%                    	.4%           	2.1%                 	4.2%                	                	.8%                  	27.9%                 	                     	                    	3.8%               	.4%                   	.4%         	2.1%              	.4%            	.8%               	1.3%                       	2.5%       	1.7%             	.8%                	.8%           	1.3%              	1.7%                	7.1%           	.8%             	                   	           	                	               	              	             	                         	                 	               	                	                      	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	267 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.

  SR	                 	                 	                  	              	149	 898	A	 30	X	 2	  64.00	    275.9400	Collins  	Benthic Foraminifers                         	               	                  	2.7%                  	13.7%               	2.7%              	6.8%                 	19.2%                 	1.4%       	4.1%                	5.5%          	1.4%          	6.8%              	1.4%                    	2.7%          	1.4%                 	6.8%                	1.4%            	2.7%                 	13.7%                 	1.4%                 	1.4%                	1.4%               	1.4%                  	            	                  	               	                  	                           	           	                 	                   	              	                  	                    	               	                	                   	           	                	               	              	             	                         	                 	               	                	                      	                           	              	             	             	                	                 	                        	                  	                    	                 	                        	                 	                     	                       	                	                 	                        	                  	                  	                    	                   	                   	              	                 	                      	                     	                   	                	                      	                 	                   	                    	                  	                        	                    	                         	                    	                       	                      	                     	                  	                	                	                      	                         	                             	                  	              	                         	                  	                   	                        	                   	                 	                           	                    	                 	                       	                         	                     	                    	              	                	                	                          	                           	                   	                       	                 	                  	                	41 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 1. pages 221-228.
