Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira zabellinae	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira jacksonii	Thalassiosira hyalina	Thalassionema nitzschioides	Stephanopyxis turris	Stephanopyxis spp.	Rhizosolenia styliformis	Rhizosolenia hebetata	Odontella aurita	Nitzschia sp. 1	Neodenticula kamtschatica	Melosira albicans	Grammatophora spp.	Delphineis ischaboensis	Coscinodiscus marginatus	Cocconeis scutellum	Cocconeis costata	Chaetoceros spp.	Actinoptychus senarius	Thalassiosira nidulus	Thalassiosira marujamica	Thalassiosira leptopus	Thalassiosira gravida	Thalassiosira antiqua	Rhizosolenia barboi	Paralia sulcata	Navicula sp. 1	Melosira polaris	Denticulopsis dimorpha	Delphineis surirella	Cymatosira debyi	Coscinodiscus obscurus	Calloneis bacillum	Thalassiosira manifesta	Rouxia californica	Rossiella tatsunokuchiensis	Pseudopodosira elegans	Denticulopsis hustedtii	Cocconeis pseudomarginatus	Cocconeis californica	Bacillaria paradoxa	Rhizosolenia setigera	Rhizosolenia alata	Rhaphoneis amphiceros	Nitzschia cylindrica	Coscinodiscus stellaris	Cocconeis placentula var. euglypta	Thalassiosira nordenskioeldii	Navicula directa	Lithodesmium undulatum	Coscinodiscus oculus-iridis	Thalassiosira pacifica	Thalassiosira eccentrica	Thalassionema schraderi	Hemidiscus cuneiformis	Asteromphalus darwinii	Thalassiosira temperei	Rhabdonema japonicum	Gomphonema lanceolata	Thalassiosira lineata	Pinnularia borealis	Delphineis angustata	Asteromphalus flabellatus	Actinocyclus ochotensis	Thalassiosira glacilis	Nitzschia rolandii	Actinocyclus curvatulus	Nitzschia fossilis	Cocconeis disculus	Actinocyclus ingens	Coscinodiscus elegans	Aulacoseira granulata	Thalassionema nitzschioides var. nitzschioides	Opephora martyi	Coscinodiscus marginatus (girdles)	Coscinodiscus radiatus	Neodenticula koizumii	Bacterosira fragilis	Asteromphalus robustus	Rhizosolenia curvirostris	Chaetoceros spores	Azpeitia endoi	Thalassiosira sp. 1	Nitzschia reinholdii	Thalassiothrix frauenfeldii	Synedra jouseana	Nitzschia extincta	Denticulopsis hyalina	Actinocyclus sp.	Goniothecium tenue	Actinocyclus oculatus	Actinocyclus octonarius	Thalassiosira yabei	Thalassiosira convexa	Diploneis bombus	Diploneis smithii	Trachyneis aspera	Plagiogramma staurophorum	Nitzschia granulata	Navicula pygmaea	Mediaria splendida	Cocconeis antiqua	Stephanodiscus niagarae	Porosira glacialis	Diploneis suborbicularis	Coscinodiscus symbolophorus	Cocconeis decipiens	Thalassiosira plicata	Neodenticula seminae	Denticulopsis katayamae	Cyclotella striata	Coscinodiscus subtilis	Cyclotella kutzingiana	Azpeitia nodulifer	Thalassiosira lacustris	Tetracyclus lacustris	Epithemia argus	Rhizosolenia bergonii	Thalassionema hirosakiensis	Thalassionema bacillaris	Pinnularia alphina	Achnanthes brevipes	Thalassiosira sp.	Synedra ulna	Gomphonema angustatum	Fragilaria construens	Diploneis coffeiformis	Pseudoeunotia doliolus	Nitzschia marina	Nitzschia grunowii	Amphora ovalis	Stephanodiscus astraea	Cyclotella chaetoceras	Diploneis interrupta	Rhizosolenia  semispina	Rhizosolenia imbricata	Nitzschia sicula	Diploneis oculata	Azpeitia tabularis	Actinoptychus splendens	Comment

  SR	                 	                 	N. koiz./N. kamtsch.	              	127	 795	A	 22	X	 6	 120.00	    199.9000	White    	Diatoms                                      	A              	G                 	                         	C                       	                      	                       	                       	                     	C                          	                    	                  	                        	                     	                	               	                         	                 	                  	                       	C                       	                   	                 	                	                      	                     	                        	                      	                     	                     	                   	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	F                                 	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 20 Table 2 p 346-347

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 22	X	 7	  29.00	    200.4900	Koizumi  	Diatoms                                      	               	                  	3                        	                        	3                     	3                      	                       	1                    	57                         	24                  	                  	                        	                     	3               	               	77                       	1                	                  	1                      	9                       	                   	5                	36              	2                     	1                    	1                       	                      	4                    	                     	                   	1              	              	                	                      	1                   	                	                      	                  	                       	                  	                           	                      	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	1                     	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	1                      	                  	                  	                   	                     	                     	                                              	1              	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 25	X	 2	  29.00	    222.1900	Koizumi  	Diatoms                                      	               	                  	1                        	5                       	2                     	3                      	                       	                     	9                          	42                  	2                 	7                       	1                    	                	2              	77                       	5                	                  	5                      	22                      	                   	2                	50              	7                     	                     	                        	                      	1                    	                     	1                  	               	              	                	                      	                    	                	                      	                  	                       	                  	                           	                      	                       	                          	2                    	                   	                     	                  	                     	                    	                       	                                  	1                            	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	1                 	                       	                  	                  	                   	                     	                     	1                                             	1              	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 25	X	 7	  29.00	    228.6000	Koizumi  	Diatoms                                      	               	                  	1                        	11                      	1                     	5                      	                       	                     	20                         	36                  	                  	2                       	                     	1               	1              	75                       	1                	                  	                       	19                      	1                  	2                	42              	10                    	2                    	                        	                      	                     	1                    	3                  	1              	              	                	                      	                    	                	                      	                  	                       	                  	                           	1                     	                       	                          	1                    	                   	1                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	1                     	                      	                    	                     	                     	                   	1                   	                         	                       	                      	                  	                       	                  	                  	                   	1                    	1                    	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 26	X	 4	  29.00	    234.8900	Koizumi  	Diatoms                                      	               	                  	5                        	2                       	1                     	1                      	                       	                     	22                         	17                  	2                 	9                       	                     	                	               	99                       	                 	                  	2                      	7                       	                   	2                	38              	13                    	                     	                        	                      	                     	9                    	2                  	               	              	                	                      	3                   	                	                      	                  	                       	                  	                           	1                     	                       	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	1                      	                      	                  	2                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 27	X	 1	  31.00	    240.2100	Koizumi  	Diatoms                                      	               	                  	3                        	4                       	                      	6                      	3                      	                     	31                         	19                  	2                 	2                       	1                    	                	               	83                       	                 	2                 	1                      	13                      	2                  	4                	43              	6                     	1                    	1                       	                      	1                    	4                    	5                  	               	              	                	                      	                    	                	1                     	                  	                       	r1                	                           	                      	r1                     	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	r1                     	                      	                      	                      	                    	                     	                     	                   	                    	                         	1                      	                      	                  	                       	                  	1                 	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 27	X	 5	  31.00	    246.2100	Koizumi  	Diatoms                                      	               	                  	3                        	                        	                      	4                      	4                      	1                    	44                         	11                  	1                 	5                       	1                    	2               	1              	71                       	3                	1                 	                       	15                      	4                  	3                	56              	7                     	                     	                        	                      	1                    	6                    	2                  	2              	              	                	                      	                    	                	                      	                  	                       	                  	1                          	                      	                       	                          	1                    	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	1                     	                      	                    	                     	                     	                   	                    	1                        	                       	                      	                  	                       	2                 	1                 	r1                 	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 28	X	CC	  21.00	    251.3600	Koizumi  	Diatoms                                      	               	                  	4                        	4                       	                      	2                      	1                      	                     	6                          	8                   	4                 	5                       	1                    	1               	2              	83                       	4                	2                 	2                      	35                      	                   	6                	70              	11                    	2                    	                        	                      	1                    	2                    	2                  	               	              	                	r1                    	                    	1               	                      	                  	                       	                  	                           	2                     	r1                     	                          	1                    	                   	1                    	                  	                     	                    	1                      	                                  	                             	                	                      	                           	                      	                        	                       	1                     	                      	                      	                    	                     	                     	                   	                    	                         	                       	1                     	1                 	1                      	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 29	X	CC	  30.00	    264.3000	Koizumi  	Diatoms                                      	               	                  	3                        	1                       	3                     	3                      	1                      	                     	14                         	5                   	4                 	4                       	                     	1               	               	120                      	1                	1                 	                       	16                      	                   	                 	31              	5                     	                     	                        	                      	1                    	3                    	                   	1              	              	                	r1                    	                    	                	                      	                  	                       	                  	1                          	                      	r1                     	                          	                     	                   	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	1                    	1                  	2                   	1                        	1                      	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 30	X	 1	  31.00	    269.6100	Koizumi  	Diatoms                                      	               	                  	4                        	4                       	                      	4                      	2                      	                     	15                         	5                   	2                 	1                       	2                    	                	5              	93                       	2                	                  	                       	15                      	2                  	4                	33              	6                     	1                    	                        	r2                    	1                    	1                    	11                 	1              	              	                	                      	                    	                	                      	                  	2                      	                  	                           	3                     	                       	                          	1                    	                   	                     	                  	                     	4                   	                       	                                  	                             	                	                      	                           	                      	1                       	                       	                      	                      	r1                    	3                   	1                    	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 30	X	 5	  31.00	    275.6100	Koizumi  	Diatoms                                      	               	                  	4                        	                        	                      	3                      	                       	                     	7                          	12                  	5                 	13                      	                     	2               	3              	108                      	1                	                  	1                      	6                       	1                  	5                	37              	11                    	1                    	                        	                      	1                    	                     	4                  	               	1             	                	                      	2                   	1               	1                     	                  	                       	                  	                           	                      	                       	1                         	                     	                   	1                    	                  	                     	                    	                       	                                  	                             	                	                      	                           	1                     	1                       	r1                     	1                     	1                     	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 31	X	 2	  29.00	    280.8900	Koizumi  	Diatoms                                      	               	                  	5                        	                        	1                     	2                      	3                      	2                    	7                          	6                   	1                 	12                      	                     	1               	               	108                      	2                	1                 	                       	15                      	1                  	4                	54              	                      	1                    	1                       	                      	                     	2                    	10                 	2              	1             	                	                      	                    	1               	                      	                  	1                      	                  	                           	1                     	                       	                          	1                    	1                  	                     	                  	                     	1                   	2                      	                                  	1                            	1               	1                     	1                          	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 31	X	 6	  15.00	    286.7500	Koizumi  	Diatoms                                      	               	                  	3                        	1                       	                      	2                      	1                      	                     	10                         	3                   	2                 	8                       	1                    	                	2              	111                      	1                	2                 	2                      	14                      	1                  	8                	65              	8                     	3                    	                        	                      	                     	                     	5                  	               	              	                	r1                    	                    	1               	                      	                  	                       	                  	                           	1                     	                       	                          	2                    	                   	1                    	1                 	1                    	1                   	1                      	1                                 	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281

  SR	Early Pliocene   	                 	T. oestrupii      	              	127	 795	A	 34	X	 1	  29.00	    308.1900	Koizumi  	Diatoms                                      	               	                  	2                        	2                       	                      	4                      	3                      	1                    	13                         	4                   	5                 	7                       	3                    	1               	2              	116                      	                 	                  	2                      	8                       	                   	2                	20              	1                     	1                    	3                       	                      	2                    	1                    	5                  	2              	              	                	                      	                    	                	                      	                  	1                      	r1                	1                          	1                     	r1                     	1                         	3                    	1                  	                     	                  	                     	                    	                       	                                  	                             	                	                      	                           	                      	                        	                       	                      	                      	                      	                    	                     	                     	                   	                    	                         	                       	                      	                  	                       	                  	                  	                   	                     	                     	                                              	               	                                  	                      	                     	                    	                      	                         	                  	              	                   	                    	                           	                	                  	                     	                	                  	                     	                       	                   	                     	                	                 	                 	                         	                   	                	                  	                 	                       	                  	                        	                           	                   	                     	                    	                       	                  	                      	                      	                  	                       	                     	               	                     	                           	                        	                  	                   	                 	            	                     	                     	                      	                      	                	                  	              	                      	                      	                    	                       	                      	                	                 	                  	                       	from ODP Legs 127&128 Chapter 15 Table 4 p 276-281
