Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Unilocular species,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Nuttallides umbonifera,Melonis pompilioides,Laticarinina pauperata,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Discorbinella bertheloti,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Bolivina pacifica,Alabaminella weddellensis,Tosaia hanzawai,Siphotextularia catenata,Schackoinella sp.,Oridorsalis tenera,Miliolid taxa,Gyroidina orbicularis,Cibicides  bradyi,Bulimina sp. A,Pyrgo murrhina,Pullenia zaandamae,Gyroidinoides neosoldanii,Uvigerina hispida,Melonis barleeanus,Gyroidina regularis,Miliolid taxa (thin-walled),Cassidulina spp.,Bolivina spp.,Astrononion echolsi,Nonionella sp.,Abditodentrix pseudothalmanni,Sphaeroidina bulloides,Gyroidina spp.,Pyrgo sp.,Cibicidoides kullenbergi,Anomalinoides globulosus,Stainforthia fusiformis,Pullenia bulloides,Orthomorphina sp.,Pseudoparrella sp.,Cibicides lobatulus,Uvigerina spp.,Nodogenerina sp.,Uvigerina peregrina,Oridorsalis sp.,Cibicidoides robertsonianus,Comment
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 1,  24.00,     80.7400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,            ,1                   ,9                 ,1                 ,12                   ,9                     ,2                   ,                      ,7                ,13                        ,                  ,28                         ,2                  ,18                  ,                        ,3                         ,11                   ,                 ,68                       ,6              ,1                       ,                 ,1                 ,5            ,                     ,1                ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,2                     ,              ,         ,                        ,                        ,5                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 220; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 1,  60.00,     81.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,4           ,9                   ,8                 ,2                 ,8                    ,54                    ,                    ,2                     ,4                ,6                         ,3                 ,16                         ,3                  ,70                  ,                        ,2                         ,6                    ,                 ,10                       ,3              ,3                       ,5                ,3                 ,4            ,                     ,                 ,2             ,              ,                  ,1                        ,                 ,                  ,                   ,                           ,1               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 244; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 2,  19.00,     82.1900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,2           ,3                   ,9                 ,                  ,6                    ,45                    ,3                   ,                      ,4                ,                          ,3                 ,15                         ,2                  ,73                  ,                        ,1                         ,7                    ,                 ,15                       ,3              ,                        ,13               ,2                 ,             ,                     ,                 ,2             ,              ,                  ,1                        ,                 ,                  ,1                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 234; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 2,  60.00,     82.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,4           ,                    ,9                 ,                  ,11                   ,33                    ,                    ,                      ,1                ,2                         ,                  ,12                         ,2                  ,76                  ,                        ,4                         ,11                   ,                 ,14                       ,4              ,2                       ,5                ,5                 ,6            ,                     ,                 ,2             ,              ,                  ,                         ,                 ,2                 ,                   ,                           ,                ,1            ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 221; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 3,  60.00,     84.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,2           ,5                   ,24                ,3                 ,8                    ,32                    ,2                   ,1                     ,10               ,12                        ,4                 ,31                         ,2                  ,18                  ,1                       ,2                         ,7                    ,                 ,12                       ,1              ,2                       ,3                ,3                 ,5            ,                     ,                 ,4             ,              ,                  ,1                        ,                 ,1                 ,                   ,                           ,1               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 217; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 4,  11.00,     85.1100,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,12                ,10          ,7                   ,15                ,3                 ,19                   ,42                    ,                    ,                      ,3                ,8                         ,                  ,45                         ,16                 ,26                  ,                        ,4                         ,6                    ,                 ,13                       ,3              ,6                       ,1                ,3                 ,7            ,                     ,                 ,4             ,              ,                  ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 262; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 4,  60.00,     85.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,7                 ,            ,2                   ,9                 ,                  ,                     ,46                    ,1                   ,                      ,2                ,7                         ,                  ,39                         ,3                  ,60                  ,                        ,                          ,7                    ,                 ,4                        ,6              ,2                       ,7                ,1                 ,3            ,1                    ,                 ,4             ,              ,                  ,1                        ,                 ,                  ,                   ,                           ,                ,9            ,                   ,1             ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 225; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 4, 145.00,     86.4500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,1           ,9                   ,21                ,1                 ,18                   ,44                    ,                    ,                      ,3                ,6                         ,2                 ,47                         ,2                  ,30                  ,                        ,2                         ,                     ,                 ,12                       ,3              ,4                       ,                 ,1                 ,             ,                     ,                 ,3             ,              ,                  ,                         ,                 ,1                 ,2                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 235; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 5,  60.00,     87.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,1           ,3                   ,16                ,2                 ,3                    ,41                    ,                    ,                      ,6                ,7                         ,                  ,11                         ,4                  ,43                  ,                        ,                          ,8                    ,                 ,11                       ,3              ,4                       ,7                ,7                 ,3            ,1                    ,1                ,4             ,1             ,                  ,                         ,                 ,4                 ,                   ,                           ,                ,             ,                   ,1             ,                             ,1                     ,              ,         ,                        ,                        ,2                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 211; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 6,  60.00,     88.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,2           ,4                   ,7                 ,2                 ,14                   ,35                    ,1                   ,                      ,12               ,3                         ,                  ,12                         ,2                  ,63                  ,                        ,2                         ,3                    ,                 ,23                       ,2              ,3                       ,                 ,1                 ,6            ,2                    ,                 ,3             ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,3               ,1            ,                   ,1             ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 220; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 6,  89.00,     88.8900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,16                ,4           ,6                   ,17                ,2                 ,11                   ,17                    ,1                   ,                      ,4                ,12                        ,                  ,17                         ,9                  ,31                  ,                        ,3                         ,7                    ,1                ,25                       ,3              ,2                       ,                 ,2                 ,7            ,                     ,1                ,              ,              ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,5             ,                             ,2                     ,              ,         ,2                       ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count =213 ; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 10,H, 7,  20.00,     89.2000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,4           ,                    ,7                 ,1                 ,9                    ,29                    ,                    ,                      ,2                ,6                         ,                  ,52                         ,2                  ,22                  ,                        ,2                         ,4                    ,1                ,31                       ,3              ,3                       ,1                ,                  ,2            ,1                    ,                 ,2             ,              ,                  ,3                        ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,1                     ,              ,1        ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 249; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 1,  60.00,     90.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,5                 ,4           ,4                   ,7                 ,4                 ,10                   ,18                    ,                    ,1                     ,3                ,8                         ,                  ,37                         ,1                  ,30                  ,                        ,1                         ,3                    ,                 ,39                       ,2              ,4                       ,2                ,1                 ,4            ,2                    ,                 ,3             ,1             ,1                 ,                         ,                 ,                  ,3                  ,                           ,2               ,             ,                   ,3             ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 206; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 2,  60.00,     92.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,4           ,1                   ,11                ,1                 ,8                    ,18                    ,                    ,1                     ,1                ,10                        ,                  ,29                         ,3                  ,42                  ,                        ,                          ,3                    ,                 ,24                       ,4              ,1                       ,5                ,1                 ,3            ,                     ,                 ,2             ,              ,                  ,                         ,                 ,                  ,3                  ,                           ,                ,             ,                   ,2             ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 209; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 3,  26.00,     93.2600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,15                ,            ,6                   ,20                ,6                 ,8                    ,14                    ,2                   ,3                     ,2                ,4                         ,3                 ,42                         ,1                  ,34                  ,                        ,4                         ,13                   ,                 ,13                       ,4              ,2                       ,3                ,4                 ,3            ,2                    ,1                ,13            ,1             ,                  ,                         ,                 ,1                 ,                   ,                           ,11              ,             ,                   ,3             ,                             ,1                     ,              ,1        ,                        ,                        ,                       ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 248; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 3,  60.00,     93.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,1           ,2                   ,21                ,1                 ,9                    ,12                    ,1                   ,                      ,5                ,5                         ,                  ,47                         ,3                  ,22                  ,                        ,5                         ,1                    ,                 ,25                       ,3              ,4                       ,1                ,1                 ,2            ,1                    ,                 ,              ,1             ,                  ,                         ,                 ,1                 ,                   ,                           ,                ,             ,                   ,2             ,                             ,1                     ,              ,         ,                        ,                        ,4                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 201; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 4,  60.00,     95.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,8                 ,1           ,2                   ,5                 ,1                 ,                     ,36                    ,2                   ,                      ,4                ,8                         ,                  ,27                         ,3                  ,70                  ,1                       ,                          ,2                    ,                 ,19                       ,1              ,5                       ,7                ,5                 ,4            ,                     ,1                ,              ,1             ,                  ,                         ,                 ,2                 ,                   ,                           ,                ,1            ,                   ,1             ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 226; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 4,  69.00,     95.1900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,6           ,2                   ,5                 ,2                 ,6                    ,15                    ,                    ,1                     ,3                ,7                         ,3                 ,24                         ,3                  ,88                  ,                        ,                          ,1                    ,                 ,10                       ,2              ,1                       ,6                ,1                 ,4            ,                     ,                 ,              ,              ,                  ,                         ,                 ,1                 ,3                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,1                       ,                        ,3                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 2; Total count = 221; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 5,  60.00,     96.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,3           ,8                   ,22                ,1                 ,10                   ,24                    ,                    ,                      ,6                ,12                        ,                  ,36                         ,3                  ,22                  ,                        ,2                         ,2                    ,                 ,11                       ,8              ,1                       ,1                ,2                 ,3            ,                     ,                 ,              ,              ,                  ,1                        ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,1        ,2                       ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 201; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 5, 110.00,     97.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,12                ,3           ,2                   ,14                ,2                 ,12                   ,14                    ,1                   ,                      ,2                ,8                         ,1                 ,17                         ,                   ,11                  ,                        ,4                         ,9                    ,                 ,69                       ,1              ,4                       ,                 ,4                 ,2            ,                     ,1                ,              ,1             ,                  ,                         ,                 ,                  ,                   ,                           ,                ,             ,                   ,              ,                             ,1                     ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 199; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 6,  35.00,     97.8500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,3           ,6                   ,19                ,3                 ,20                   ,9                     ,2                   ,                      ,2                ,13                        ,5                 ,46                         ,                   ,9                   ,                        ,4                         ,                     ,5                ,41                       ,5              ,7                       ,                 ,4                 ,             ,                     ,                 ,              ,              ,                  ,1                        ,                 ,1                 ,1                  ,                           ,2               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 230; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 6,  60.00,     98.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,            ,2                   ,10                ,4                 ,2                    ,11                    ,                    ,                      ,5                ,10                        ,3                 ,46                         ,6                  ,9                   ,                        ,                          ,                     ,                 ,45                       ,4              ,                        ,3                ,16                ,3            ,                     ,1                ,              ,              ,                  ,3                        ,                 ,                  ,7                  ,                           ,1               ,             ,                   ,1             ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 215; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 11,H, 7,  20.00,     99.2000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,5           ,6                   ,7                 ,                  ,5                    ,5                     ,1                   ,                      ,11               ,7                         ,4                 ,29                         ,                   ,11                  ,                        ,3                         ,1                    ,                 ,81                       ,4              ,                        ,                 ,1                 ,3            ,1                    ,                 ,              ,              ,1                 ,                         ,                 ,                  ,                   ,                           ,1               ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,3                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 6; Total count = 206; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 1,  32.00,     99.8200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,2           ,1                   ,8                 ,3                 ,4                    ,8                     ,                    ,                      ,2                ,13                        ,4                 ,42                         ,                   ,27                  ,1                       ,                          ,5                    ,                 ,42                       ,               ,                        ,4                ,5                 ,6            ,2                    ,                 ,              ,2             ,                  ,                         ,                 ,1                 ,5                  ,                           ,1               ,1            ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 207; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 2, 134.00,    102.3400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,9                 ,            ,2                   ,17                ,3                 ,6                    ,16                    ,                    ,                      ,5                ,11                        ,2                 ,40                         ,2                  ,19                  ,1                       ,2                         ,5                    ,                 ,36                       ,2              ,                        ,2                ,2                 ,5            ,                     ,2                ,              ,              ,                  ,                         ,                 ,                  ,1                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 3; Total count = 194; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 3,  72.00,    103.2200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,13                ,1           ,                    ,9                 ,2                 ,17                   ,56                    ,                    ,                      ,8                ,10                        ,2                 ,29                         ,1                  ,41                  ,                        ,1                         ,3                    ,                 ,18                       ,4              ,                        ,                 ,                  ,2            ,1                    ,                 ,              ,1             ,                  ,                         ,                 ,1                 ,2                  ,                           ,                ,             ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,2                      ,1                 ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 8; Total count = 233; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 4,  19.00,    104.1900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,14                ,4           ,                    ,17                ,3                 ,8                    ,12                    ,3                   ,                      ,6                ,3                         ,2                 ,28                         ,4                  ,39                  ,1                       ,1                         ,2                    ,1                ,34                       ,2              ,1                       ,4                ,3                 ,4            ,1                    ,                 ,              ,              ,2                 ,                         ,                 ,4                 ,1                  ,                           ,                ,1            ,                   ,              ,                             ,1                     ,              ,         ,1                       ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 1; Total count = 215; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 5, 132.00,    106.8200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,3           ,8                   ,20                ,3                 ,10                   ,12                    ,                    ,                      ,5                ,12                        ,7                 ,40                         ,3                  ,23                  ,3                       ,1                         ,3                    ,                 ,11                       ,               ,                        ,2                ,3                 ,5            ,                     ,                 ,              ,              ,3                 ,                         ,                 ,1                 ,3                  ,                           ,2               ,1            ,                   ,              ,                             ,                      ,              ,         ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 215; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 6, 132.00,    108.3200,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,10                ,1           ,3                   ,10                ,3                 ,7                    ,23                    ,                    ,                      ,4                ,                          ,                  ,59                         ,1                  ,25                  ,                        ,6                         ,4                    ,1                ,19                       ,1              ,                        ,2                ,                  ,3            ,3                    ,1                ,              ,              ,                  ,1                        ,                 ,                  ,6                  ,                           ,                ,             ,3                  ,              ,                             ,                      ,              ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 4; Total count = 204; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 12,H, 7,  18.00,    108.6800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,5                 ,3           ,1                   ,8                 ,3                 ,7                    ,27                    ,                    ,                      ,3                ,1                         ,1                 ,45                         ,2                  ,56                  ,1                       ,3                         ,3                    ,                 ,32                       ,               ,                        ,                 ,2                 ,1            ,                     ,                 ,              ,              ,2                 ,1                        ,                 ,                  ,                   ,                           ,                ,             ,3                  ,              ,                             ,3                     ,              ,1        ,                        ,                        ,                       ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 5; Total count = 219; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 13,H, 1,  99.00,    109.9900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,4           ,3                   ,7                 ,5                 ,12                   ,11                    ,1                   ,1                     ,5                ,7                         ,6                 ,40                         ,1                  ,30                  ,1                       ,1                         ,8                    ,                 ,27                       ,               ,2                       ,2                ,2                 ,4            ,                     ,1                ,              ,              ,3                 ,1                        ,                 ,2                 ,                   ,                           ,                ,             ,                   ,2             ,                             ,                      ,1             ,         ,                        ,                        ,1                      ,                  ,                 ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 1; Total count = 346; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 929,A, 13,H, 2, 105.00,    111.5500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,11                ,4           ,2                   ,8                 ,                  ,12                   ,10                    ,1                   ,                      ,3                ,9                         ,2                 ,47                         ,2                  ,24                  ,                        ,3                         ,24                   ,                 ,31                       ,5              ,1                       ,2                ,1                 ,             ,                     ,                 ,              ,              ,1                 ,4                        ,1                ,                  ,3                  ,                           ,                ,             ,1                  ,              ,                             ,                      ,              ,1        ,                        ,                        ,1                      ,1                 ,2                ,                  ,                   ,              ,                ,                   ,               ,                           ,Other taxa = 7; Total count = 225; from Leg 154SR Ch 27 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
