Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Reticulofenestra minutula	Reticulofenestra haqii	Orthorhabdus serratus	Helicosphaera mediterranea	Helicosphaera kamptneri	Discoaster variabilis	Discoaster petaliformis	Discoaster exilis	Discoaster druggii	Cyclicargolithus floridanus	Coronocyclus nitescens (circular)	Coccolithus pelagicus	Triquetrorhabdulus auritus	Sphenolithus abies	Solidopons petrae	Pontosphaera multipora	Helicosphaera granulata	Coccolithus eopelagicus	Discoaster sanmiguelensis	Discoaster deflandrei	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera intermedia	Geminilithella rotula	Discoaster signus	Coronocyclus nitescens (oval)	Calcidiscus premacintyrei	Calcidiscus macintyrei	Discoaster moorei	Calcidiscus leptoporus	Sphenolithus moriformis	Scapholithus fossilis	Discoaster kugleri	Discoaster braarudii	Discoaster bollii	Syracosphaera? fragilis	Discoaster toralis	Coccolithus miopelagicus	Discoaster triradiatus	Pontosphaera japonica	Helicosphaera stalis	Reticulofenestra ampliumbilicus	Catinaster mexicanus	Discoaster brouweri	Catinaster coalitus	Helicosphaera orientalis	Discoaster prepentaradiatus	Discoaster hamatus	Helicosphaera pacifica	Discoaster pseudovariabilis	Helicosphaera obliqua	Catinaster calyculus	Discoaster loeblichii	Discoaster tristellifer	Sphenolithus neoabies	Discoaster pentaradiatus	Discoaster calcaris	Quadrum giganteum	Discoaster neohamatus	Minylitha convallis	Discoaster neorectus	Discoaster asymmetricus	Discoaster berggrenii	Reticulofenestra minuta	Helicosphaera rhomba	Helicosphaera burkei	Discoaster surculus	Discoaster challengeri	Discoaster quinqueramus	Amaurolithus delicatus	Triquetrorhabdulus farnsworthii	Amaurolithus tricorniculatus	Amaurolithus primus	Reticulofenestra rotaria	Helicosphaera sellii	Discoaster tamalis	Amaurolithus amplificus	Discoaster subsurculus	Syracosphaera pulchra	Florisphaera profunda	Discoaster pansus	Ceratolithus armatus/rugosus	Ceratolithus armatus	Ceratolithus rugosus	Rhabdosphaera clavigera	Coccolithus pelagicus (w/ bar)	Ceratolithus separatus	Pontosphaera indooceanica	Pseudoemiliania lacunosa (small)	Gephyrocapsa spp. (small)	Gephyrocapsa aperta	Pseudoemiliania lacunosa	Pontosphaera plana	Discoaster blackstockae	Discoaster decorus	Helicosphaera scissura	Helicosphaera elongata	Reticulofenestra astoni	Umbilicosphaera sibogae	Ceratolithus cristatus	Helicosphaera inversa	Gephyrocapsa caribbeanica	Comment

  SR	Late Miocene     	                 	CN7b              	              	159	 959	B	 16	H	 7	  59.00	    147.5900	Shafik   	Nannofossils                                 	A              	M                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	+                     	                       	                       	                         	                     	                          	+                               	                        	+                    	+                	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	+                	                       	                  	                        	                      	                     	                    	                               	                    	                   	                   	                        	                           	+                 	                      	                           	                     	                    	                     	+                      	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN7b              	              	159	 959	B	 17	H	 1	  59.00	    148.0900	Shafik   	Nannofossils                                 	A              	M                 	                          	+                        	                      	                     	                          	                       	+                    	                       	                 	                  	                           	                                 	                     	                          	+                 	                 	+                     	+                      	                       	                         	                     	+                         	+                               	                        	+                    	+                	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	+                	                       	                  	+                       	+                     	                     	                    	                               	                    	                   	                   	                        	                           	+                 	                      	                           	+                    	+                   	+                    	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN7b              	              	159	 959	B	 17	H	 2	  59.00	    149.5900	Shafik   	Nannofossils                                 	A              	M                 	                          	+                        	                      	                     	                          	+                      	R                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	+                     	                       	                       	                         	                     	+                         	+                               	+                       	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	+                	                       	                  	                        	                      	                     	                    	                               	                    	+                  	+                  	+                       	                           	+                 	+                     	                           	+                    	+                   	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN7a              	              	159	 959	B	 17	H	 3	  59.00	    151.0900	Shafik   	Nannofossils                                 	A              	M                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	                 	                  	                           	                                 	+                    	                          	                  	                 	                      	+                      	                       	                         	                     	                          	+                               	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	F                	                       	                  	                        	                      	                     	                    	                               	                    	                   	C                  	                        	                           	C                 	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN7a              	              	159	 959	B	 17	H	 4	  59.00	    152.5900	Shafik   	Nannofossils                                 	A              	M                 	                          	                         	                      	                     	                          	                       	+                    	                       	+                	                  	                           	                                 	+                    	                          	+                 	                 	+                     	                       	                       	                         	                     	                          	+                               	+                       	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	                  	                    	+                	                       	                  	                        	                      	                     	                    	                               	                    	                   	+                  	+                       	                           	F                 	+                     	+                          	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Late Miocene     	                 	CN6               	              	159	 959	B	 17	H	 5	  59.00	    154.0900	Shafik   	Nannofossils                                 	A              	M                 	                          	                         	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	+                 	+                	+                     	                       	                       	                         	                     	+                         	+                               	+                       	+                    	                 	                             	                         	                      	                 	+                     	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	+                   	R                  	C                  	F                       	+                          	+                 	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN6               	              	159	 959	B	 17	H	 6	  59.00	    155.5900	Shafik   	Nannofossils                                 	C              	M                 	                          	                         	                      	                     	                          	                       	+                    	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	+                      	                       	                         	                     	+                         	+                               	                        	+                    	                 	                             	                         	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	                      	                     	                    	                               	C                   	                   	C                  	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 17	H	 7	  59.00	    157.0900	Shafik   	Nannofossils                                 	C              	M                 	                          	                         	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	+                    	                          	                  	                 	+                     	                       	                       	                         	                     	+                         	+                               	                        	                     	                 	                             	                         	+                     	                 	                      	                       	                     	                  	+                   	                 	                       	                  	+                       	                      	                     	                    	                               	                    	+                  	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 17	H	CC	  21.00	    157.4400	Shafik   	Nannofossils                                 	C              	M                 	                          	                         	                      	                     	                          	                       	+                    	                       	+                	                  	                           	                                 	+                    	                          	                  	+                	+                     	                       	                       	                         	                     	+                         	+                               	                        	                     	+                	                             	                         	+                     	                 	                      	+                      	                     	                  	+                   	                 	                       	+                 	+                       	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 1	  59.00	    157.5900	Shafik   	Nannofossils                                 	C              	                  	                          	                         	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	                          	+                               	                        	                     	                 	                             	                         	+                     	+                	                      	                       	                     	                  	                    	+                	                       	                  	+                       	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 2	  59.00	    159.0900	Shafik   	Nannofossils                                 	C              	                  	                          	+                        	                      	                     	                          	                       	+                    	                       	                 	                  	                           	                                 	                     	                          	+                 	                 	+                     	+                      	                       	                         	                     	                          	+                               	+                       	+                    	                 	                             	                         	+                     	                 	+                     	                       	                     	+                 	                    	                 	                       	                  	                        	                      	                     	                    	                               	+                   	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 3	  59.00	    160.5900	Shafik   	Nannofossils                                 	C              	M                 	                          	+                        	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	                      	+                      	                       	                         	                     	+                         	+                               	                        	                     	                 	                             	                         	+                     	                 	                      	                       	                     	F                 	                    	                 	                       	                  	+                       	                      	                     	                    	+                              	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 4	  59.00	    162.0900	Shafik   	Nannofossils                                 	A              	M                 	                          	                         	                      	                     	                          	                       	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	+                     	                       	                       	                         	                     	+                         	                                	                        	+                    	                 	                             	                         	+                     	+                	                      	                       	                     	+                 	                    	                 	                       	+                 	+                       	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 5	  59.00	    163.5900	Shafik   	Nannofossils                                 	C              	M                 	                          	                         	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	+                     	                       	                       	                         	+                    	+                         	                                	+                       	+                    	                 	                             	+                        	+                     	                 	                      	                       	                     	                  	                    	                 	                       	                  	                        	                      	+                    	+                   	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 6	  59.00	    165.0900	Shafik   	Nannofossils                                 	C              	M                 	                          	                         	                      	                     	                          	                       	                     	                       	                 	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	+                         	+                               	                        	                     	                 	                             	                         	+                     	                 	                      	                       	                     	+                 	                    	+                	                       	                  	+                       	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 18	H	 7	  59.00	    166.5900	Shafik   	Nannofossils                                 	A              	M                 	                          	                         	                      	                     	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	+                     	                       	                       	                         	                     	+                         	+                               	                        	                     	                 	+                            	                         	                      	                 	                      	                       	                     	+                 	+                   	+                	                       	                  	                        	+                     	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 19	H	 1	  59.00	    167.0900	Shafik   	Nannofossils                                 	A              	M                 	                          	                         	                      	+                    	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	                      	                       	                       	                         	                     	+                         	+                               	                        	                     	                 	+                            	                         	+                     	                 	                      	                       	                     	+                 	+                   	+                	                       	                  	+                       	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2

  SR	Middle Miocene   	                 	CN5b              	              	159	 959	B	 19	H	 2	  59.00	    168.5900	Shafik   	Nannofossils                                 	A              	M                 	                          	+                        	                      	+                    	                          	+                      	+                    	                       	+                	                  	                           	                                 	                     	                          	                  	                 	+                     	+                      	+                      	                         	                     	+                         	+                               	+                       	                     	                 	+                            	                         	+                     	                 	                      	+                      	+                    	                  	                    	                 	+                      	+                 	                        	                      	                     	                    	                               	                    	                   	                   	                        	                           	                  	                      	                           	                     	                    	                     	                       	                     	                        	                   	                 	                     	                   	                    	                       	                     	                       	                    	                    	                   	                      	                       	                      	                               	                            	                   	                        	                    	                  	                       	                      	                     	                     	                 	                            	                    	                    	                       	                              	                      	                         	                                	                         	                   	                        	                  	                       	                  	                      	                      	                       	                       	                      	                     	                         	From Leg 159SR Ch 37 Table 2
