Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Umbilicosphaera sp.,Sphenolithus sp.,Sphenolithus pseudoradians,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus distentus,Reticulofenestra umbilica,Reticulofenestra sp. (5-7 microns),Pedinocyclus larvalis,Helicosphaera compacta,Discoaster sp. (5-rayed),Discoaster sp.,Discoaster nodifer,Discoaster deflandrei,Discoaster brouweri,Discoaster adamanteus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus,Coronocyclus nitescens,Coccolithus sp.,Coccolithus pelagicus,Clausicoccus fenestratus,Chiasmolithus altus,Helicosphaera sp.,Discoaster barbadiensis,Pontosphaera segmenta,Discoaster tanii,Catinaster umbrellus,Discoaster saipanensis,Calcidiscus sp.,Sphenolithus ciperoensis,Sphenolithus radians,Discoaster sp. (9-rayed),Triquetrorhabdulus carinatus,Dictyococcites sp.,Sphenolithus tribulosus,Sphenolithus abies/neoabies,Reticulofenestra sp. (<5 microns),Reticulofenestra pseudoumbilica (>7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Helicosphaera granulata,Hayaster perplexus,Discoaster variabilis,Discoaster surculus,Calcidiscus macintyrei,Calcidiscus leptoporus,Umbilicosphaera mirabilis,Scyphosphaera sp.,Pontosphaera sp.,Discoaster triradiatus,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster asymmetricus,Amaurolithus delicatus,Syracosphaera sp.,Rhabdosphaera sp.,Oolithotus fragilis,Coronocyclus sp.,Syracosphaera pulchra,Scapholithus fossilis,Rhabdosphaera clavigera,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Pontosphaera japonica,Helicosphaera sellii,Ceratolithus rugosus,Ceratolithus cristatus,Discosphaera tubifera,Ceratolithus sp.,Umbellosphaera irregularis,Pontosphaera multipora,Discoaster berggrenii,Ceratolithus telesmus,Helicosphaera euphratis,Discoaster tamalis,Discoaster challengeri,Braarudosphaera bigelowii,Sphenolithus heteromorphus,Emiliania huxleyi,Umbilicosphaera angustiforamen,Discoaster pansus,Gephyrocapsa spp. large (>5.5 microns),Ceratolithus simplex,Amaurolithus tricorniculatus,Comment
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 6,  29.00,     78.6900,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,C                        ,A                      ,C                     ,                         ,C                                 ,R                    ,                      ,R                       ,C             ,R                 ,C                    ,C                  ,R                    ,R                       ,S                      ,V                          ,A                         ,R                     ,R              ,C                    ,S                       ,                   ,R                ,                       ,                     ,R               ,                    ,                      ,R              ,R                       ,                    ,R                       ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 6, 119.00,     79.5900,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,                          ,C                        ,A                      ,A                     ,                         ,C                                 ,                     ,                      ,R                       ,C             ,R                 ,C                    ,C                  ,                     ,R                       ,S                      ,V                          ,C                         ,R                     ,               ,C                    ,S                       ,                   ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A,  9,H, 7,  40.00,     80.3000,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,C                        ,A                      ,C                     ,                         ,C                                 ,                     ,                      ,R                       ,R             ,R                 ,C                    ,C                  ,R                    ,S                       ,C                      ,V                          ,S                         ,R                     ,S              ,A                    ,S                       ,                   ,                 ,                       ,                     ,R               ,                    ,                      ,R              ,R                       ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 1,  30.00,     80.7000,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,A                        ,A                      ,A                     ,                         ,C                                 ,                     ,                      ,R                       ,S             ,R                 ,C                    ,C                  ,R                    ,R                       ,C                      ,A                          ,S                         ,R                     ,S              ,C                    ,S                       ,                   ,                 ,                       ,                     ,R               ,R                   ,                      ,               ,R                       ,R                   ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 1, 130.00,     81.7000,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,C                        ,C                      ,A                     ,                         ,R                                 ,                     ,R                     ,R                       ,C             ,R                 ,C                    ,C                  ,R                    ,R                       ,S                      ,V                          ,S                         ,R                     ,S              ,A                    ,R                       ,                   ,                 ,R                      ,                     ,                ,R                   ,R                     ,R              ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 3,  30.00,     83.7000,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,C               ,R                         ,A                        ,A                      ,A                     ,                         ,C                                 ,                     ,R                     ,R                       ,S             ,R                 ,S                    ,S                  ,                     ,R                       ,C                      ,A                          ,S                         ,R                     ,R              ,C                    ,R                       ,                   ,                 ,                       ,R                    ,R               ,                    ,                      ,R              ,R                       ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 4,  30.00,     85.2000,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,A               ,R                         ,C                        ,C                      ,C                     ,                         ,S                                 ,                     ,R                     ,S                       ,C             ,R                 ,C                    ,C                  ,R                    ,S                       ,C                      ,V                          ,R                         ,R                     ,R              ,A                    ,R                       ,                   ,                 ,                       ,                     ,R               ,                    ,                      ,R              ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 5,  30.00,     86.7000,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,C               ,R                         ,A                        ,A                      ,C                     ,                         ,C                                 ,                     ,R                     ,                        ,S             ,R                 ,C                    ,C                  ,R                    ,R                       ,C                      ,V                          ,R                         ,R                     ,R              ,A                    ,R                       ,                   ,                 ,                       ,                     ,R               ,                    ,R                     ,               ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 6,  30.00,     88.2000,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,A               ,R                         ,A                        ,A                      ,R                     ,                         ,C                                 ,                     ,R                     ,S                       ,R             ,R                 ,S                    ,S                  ,                     ,C                       ,C                      ,V                          ,R                         ,R                     ,               ,A                    ,R                       ,                   ,                 ,                       ,                     ,R               ,                    ,R                     ,               ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP17              ,CP18          ,134, 828,A, 10,H, 7,  10.00,     89.5000,Staerker ,Nannofossils                                 ,A              ,F                 ,                       ,                   ,C               ,R                         ,A                        ,A                      ,R                     ,                         ,C                                 ,                     ,R                     ,R                       ,S             ,                  ,C                    ,C                  ,                     ,R                       ,C                      ,V                          ,C                         ,R                     ,               ,A                    ,R                       ,                   ,                 ,                       ,R                    ,R               ,R                   ,                      ,               ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16c             ,              ,134, 828,A, 10,H,CC,  26.00,     90.2100,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,                   ,C               ,R                         ,C                        ,A                      ,R                     ,R                        ,C                                 ,R                    ,R                     ,R                       ,              ,                  ,R                    ,R                  ,                     ,R                       ,C                      ,V                          ,                          ,R                     ,               ,A                    ,C                       ,                   ,R                ,R                      ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16c             ,              ,134, 828,A, 11,H, 1,  62.00,     90.5200,Staerker ,Nannofossils                                 ,A              ,F                 ,R                      ,R                  ,S               ,R                         ,A                        ,A                      ,C                     ,R                        ,C                                 ,R                    ,R                     ,R                       ,R             ,R                 ,R                    ,R                  ,R                    ,R                       ,C                      ,V                          ,R                         ,R                     ,R              ,C                    ,C                       ,R                  ,                 ,                       ,                     ,                ,                    ,                      ,               ,                        ,                    ,                        ,                            ,                  ,                       ,                           ,                                 ,                                           ,                        ,                       ,                       ,                  ,                     ,                   ,                      ,                      ,                         ,                 ,                ,                      ,                       ,                        ,                       ,                      ,                 ,                 ,                   ,                ,                     ,                     ,                       ,                                      ,                                       ,                     ,                    ,                    ,                      ,                     ,                ,                          ,                      ,                     ,                     ,                       ,                  ,                      ,                         ,                          ,                 ,                              ,                 ,                                      ,                    ,                            ,from ODP Leg 134 SR Chapter 10 Table 2 pp190-193
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
