Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Agglutinated spp. (indeterminate),Nonionella miocenica,Cassidulina minuta,Epistominella pacifica,Uvigerina peregrina,Quinqueloculina sp.,Globobulimina pacifica,Valvulineria araucana,Bulimina striata mexicana,Lagena spp.,Calcareous spp. (indeterminate),Melonis pompilioides,Gyroidina soldanii rotundimargo,Gyroidina soldanii altiformis,Fissurina spp.,Elphidium excavatum f. clavatum,Cibicidoides wuellerstorfi,Oridorsalis umbonatus,Elphidium spp.,Fursenkoina sp.,Elphidiella hannai,Cassidulina spp.,Uvigerina senticosa,Bolivina spissa,Fursenkoina bradyi,Cibicides spp.,Chilostomella oolina,Cassidulinoides bradyi,Bulimina subacuminata,Cassidulina limbata,Pyrgo spp.,Pullenia bulloides,Nonionella labradorica,Cassidulina translucens,Buliminella subfusiformis,Bulimina subcalva,Bulimina exilis,Bulimina barbata,Buccella frigida,Uvigerina hispida,Trifarina angulosa,Nodosaria spp.,Globocassidulina subglobosa,Dorothia sp.,Cibicidoides spp.,Cassidulina californica,Buccella tenerrima,Chilostomella ovoidea,Elphidiella oregonense,Cassidulina teretis,Uvigerina dirupta,Lenticulina sp.,Guttulina sp.,Cassidulinoides cornuta,Bolivina spp.,Bolivina subspinescens,Eponides healdi,Pullenia salisburyi,Glandulina laevigata,Cibicidoides mckannai,Globobulimina affinis,Buliminella elegantissima,Nonionella globosa,Trichohyalus ornatissima,Eggerella bradyi,Cassidulina carinata,Karreriella sp.,Cassidulina norcrossi,Cassidulina cushmani,Bulimina spp.,Bolivina seminuda,Bolivina interjuncta,Bolivina argentea,Astrononion sp.,Triloculina sp.,Epistominella sp.,Epistominella exigua,Reophax sp.,Bolivina translucens,Suggrunda sp.,Globobulimina auriculata,Bolivina pseudobeyrichi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 48,X,CC,  25.00,    423.7500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,S                 ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,S                     ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 50,X,CC,  24.00,    442.7400,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,S                              ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 51,V,CC,   7.00,    452.0700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,              ,               ,S                 ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,S                    ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 53,X,CC,  36.00,    460.8600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 53,X,CC,  61.00,    461.1100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,R                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 54,X, 1,   2.00,    469.4200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,S                   ,R                 ,R                     ,R                  ,S                  ,                      ,                     ,                         ,           ,S                              ,                    ,                               ,                             ,              ,R                              ,                          ,                     ,R             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,S                    ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 54,X,CC,  31.00,    471.4800,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,S                                ,                    ,                  ,F                     ,F                  ,R                  ,                      ,                     ,R                        ,           ,R                              ,                    ,F                              ,S                            ,              ,                               ,                          ,R                    ,              ,               ,                  ,                ,R                  ,R              ,                  ,R             ,                    ,                      ,R                    ,R                  ,          ,                  ,S                     ,                       ,S                        ,                 ,               ,                ,S               ,S                ,R                 ,S             ,R                          ,R           ,R                ,S                      ,S                 ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 55,X,CC,  25.00,    478.6500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,C                     ,S                  ,S                  ,                      ,R                    ,S                        ,           ,                               ,                    ,                               ,S                            ,              ,                               ,S                         ,S                    ,              ,               ,                  ,                ,S                  ,S              ,                  ,R             ,R                   ,                      ,R                    ,                   ,S         ,S                 ,S                     ,S                      ,S                        ,S                ,R              ,S               ,R               ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 56,X,CC,  36.00,    488.1100,Zellers  ,Benthic Foraminifers                         ,               ,M                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,S                  ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 57,X, 1, 104.00,    497.2400,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,S                 ,S             ,R                   ,R                     ,S                    ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 57,X, 2, 105.00,    498.7500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,S                  ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,S              ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 57,X,CC,  37.00,    501.2900,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,R                 ,R                     ,                   ,S                  ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,S                  ,S              ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 58,X, 1,  18.00,    505.2800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,S               ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 58,X, 2, 135.00,    507.9700,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,S              ,S                 ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 58,X, 4,  52.00,    510.1600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,S                    ,R             ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 60,X,CC,  35.00,    515.7500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,R                  ,                   ,                      ,                     ,                         ,           ,                               ,R                   ,S                              ,S                            ,S             ,S                              ,R                         ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 61,X, 2,  38.00,    524.6800,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,                   ,                   ,                      ,                     ,                         ,S          ,R                              ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 61,X,CC,  29.00,    525.8500,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,R                     ,R                  ,                   ,                      ,S                    ,S                        ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 62,X, 1,  36.00,    532.0600,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,S                 ,S                     ,                   ,S                  ,S                     ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 62,X, 3,  63.00,    535.1000,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 62,X,CC,  33.00,    536.1100,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,                      ,S                  ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 64,X, 1,  92.00,    550.1200,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,                                 ,                    ,                  ,S                     ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,146, 888,B, 64,X, 3,  33.00,    552.5300,Zellers  ,Benthic Foraminifers                         ,               ,G                 ,S                                ,                    ,                  ,                      ,                   ,                   ,                      ,                     ,                         ,           ,                               ,                    ,                               ,                             ,              ,                               ,                          ,                     ,              ,               ,                  ,                ,                   ,               ,                  ,              ,                    ,                      ,                     ,                   ,          ,                  ,                      ,                       ,                         ,                 ,               ,                ,                ,                 ,                  ,              ,                           ,            ,                 ,                       ,                  ,                     ,                      ,                   ,                 ,               ,             ,                       ,             ,                      ,               ,                   ,                    ,                     ,                     ,                         ,                  ,                        ,                ,                    ,               ,                     ,                    ,             ,                 ,                    ,                 ,               ,               ,                 ,                    ,           ,                    ,             ,                        ,                       ,from Leg 146 SR; Ch 5; Table 1; p. 82-90
