Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Watznaueria barnesae	Tranolithus orionatus	Prediscosphaera cretacea	Parhabdolithus angustus	Lithastrinus floralis	Gartnerago obliquum	Gartnerago nanum	Eiffellithus turriseiffelii	Cretarhabdus surirellus	Cretarhabdus conicus	Chiastozygus litterarius	Broinsonia signata	Biscutum constans	Ahmuellerella octoradiata	Kamptnerius magnificus	Zygodiscus diplogrammus	Micula staurophora	Lithraphidites carniolensis	Cylindralithus sp.	Cyclagelosphaera margerelii	Biscutum magnum	Reinhardtites anthophorus	Seribiscutum primitivum	Lucianorhabdus cayeuxii	Eiffellithus trabeculatus	Eiffellithus eximius	Biscutum coronum	Arkhangelskiella cymbiformis	Broinsonia enormis	Broinsonia parca	Prediscosphaera spinosa	Reinhardtites levis	Zygodiscus spiralis	Nephrolithus frequens	Nephrolithus corystus	Cribrosphaerella ehrenbergii	Cribrosphaerella daniae	Markalius inversus (oval)	Thoracosphaera spp.	Microrhabdulus decoratus	Biscutum sp.	Crepidolithus sp.	Prediscosphaera stoveri	Toweius sp.	Markalius inversus	Cruciplacolithus tenuis	Zygodiscus sigmoides	Biantholithus sparsus	Prinsius dimorphosus	Markalius inversus (circular)	Cruciplacolithus primus	Hornibrookina teuriensis	Cruciplacolithus subrotundus	Cyclagelosphaera reinhardtii	Coccolithus pelagicus	Cruciplacolithus edwardsii	Chiasmolithus danicus	Neochiastozygus modestus	Toweius pertusus	Toweius craticulus	Prinsius martinii	Neochiastozygus concinnus	Lapideacassis sp.	Neochiastozygus sp.	Fasciculithus ulii	Prinsius bisulcus	Fasciculithus tympaniformis	Chiasmolithus bidens	Markalius apertus	Coccolithus subpertusus	Sphenolithus primus	Fasciculithus pileatus	Toweius eminens	Heliolithus sp.	Heliolithus kleinpellii	Discoaster mohleri	Zygrhablithus bijugatus	Toweius callosus	Neococcolithes dubius	Discoaster nobilis	Discoaster multiradiatus	Chiasmolithus solitus	Chiasmolithus consuetus	Discoaster diastypus	Tribrachiatus orthostylus	Sphenolithus moriformis	Ellipsolithus distichus	Discoaster barbadiensis	Sphenolithus radians	Discoaster kuepperi	Coccolithus formosus	Chiasmolithus expansus	Reticulofenestra samodurovii	Discoaster lodoensis	Discoaster spp.	Clausicoccus fenestratus	Helicosphaera sp.	Chiasmolithus grandis	Discoaster sublodoensis	Discoaster praebifax	Reticulofenestra daviesii	Nannotetrina cristata	Comment

  SR	Danian           	                 	NA3               	              	119	 738	C	 19	R	 3	 135.00	    364.8500	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	rR                    	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	F                  	                        	            	                 	                       	           	                  	A                      	F                   	                     	V                   	                             	C                      	F                       	                            	                            	C                    	F                         	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 19	R	CC	   9.00	    365.0900	Wei      	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	rR                   	                     	                            	                       	                         	C                  	                        	            	                 	                       	C          	                  	A                      	C                   	                     	V                   	                             	A                      	F                       	                            	                            	A                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 1	  46.00	    370.6600	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	rR                      	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	C                      	C                   	                     	V                   	                             	R                      	F                       	                            	                            	R                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 20	R	 1	  71.00	    370.9100	Wei      	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	C                        	C                  	                        	            	                 	                       	           	                  	F                      	                    	                     	V                   	                             	                       	C                       	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 1	  98.00	    371.1800	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	rR                      	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	                  	F                      	C                   	                     	V                   	                             	                       	F                       	                            	                            	R                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 20	R	 1	 143.00	    371.6300	Wei      	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	rR                   	                     	                            	rR                     	                         	F                  	                        	            	                 	                       	           	                  	C                      	C                   	                     	V                   	                             	                       	C                       	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 2	  42.00	    372.1200	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	rR                   	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	C                      	C                   	                     	A                   	                             	R                      	F                       	                            	                            	R                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 2	 138.00	    373.0800	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	rR                         	                       	                    	                        	                  	rR               	                         	rR                    	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	rR                   	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	A                      	A                   	                     	A                   	                             	R                      	F                       	                            	                            	R                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 3	  17.00	    373.3700	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	C                      	C                   	                     	A                   	                             	R                      	F                       	                            	                            	R                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 20	R	 3	  23.00	    373.4300	Wei      	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	rR                    	                       	                  	                           	                  	                           	rR             	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	rR                     	R                        	C                  	                        	            	                 	                       	           	                  	C                      	C                   	                     	V                   	                             	F                      	C                       	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 3	  70.00	    373.9000	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	rR                      	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	A                      	C                   	                     	A                   	                             	R                      	F                       	                            	                            	F                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 3	 137.00	    374.5700	Pospichal	Nannofossils                                 	A              	G                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	rR               	                         	rR                    	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	A                      	C                   	                     	C                   	                             	R                      	R                       	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 4	  20.00	    374.9000	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	rR                      	                       	                     	                   	                	rR                         	                       	                    	                        	                  	                 	                         	rR                    	                       	                  	                           	                  	                           	               	                         	                       	rR                     	                         	                    	                	                            	                  	                	                       	                   	                   	rR                   	                     	                            	                       	                         	C                  	                        	            	                 	                       	           	R                 	C                      	C                   	                     	A                   	                             	F                      	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 4	 117.00	    375.8700	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	rR                      	                       	                     	                   	                	                           	                       	                    	                        	                  	rF               	                         	rR                    	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	rR                          	                  	                	                       	                   	                   	rR                   	                     	                            	rR                     	                         	F                  	                        	            	                 	                       	C          	R                 	C                      	C                   	                     	A                   	                             	R                      	R                       	                            	rR                          	R                    	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 20	R	 4	 120.00	    375.9000	Wei      	Nannofossils                                 	F              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	rR                   	                     	                            	                       	F                        	C                  	                        	            	                 	                       	R          	                  	C                      	C                   	                     	V                   	                             	                       	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 20	R	 4	 150.00	    376.2000	Wei      	Nannofossils                                 	F              	M                 	                    	                     	                        	                       	                     	                   	                	                           	                       	                    	                        	                  	                 	                         	                      	                       	                  	                           	                  	                           	               	                         	                       	                       	                         	                    	                	                            	                  	                	                       	                   	                   	                     	                     	                            	                       	R                        	C                  	                        	            	                 	                       	           	                  	A                      	A                   	                     	V                   	F                            	C                      	                        	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Early Paleocene  	                 	CP1b              	              	119	 738	C	 20	R	 5	   1.00	    376.2100	Wei      	Nannofossils                                 	F              	P                 	                    	                     	rR                      	                       	                     	rF                 	                	rC                         	                       	rR                  	                        	                  	                 	                         	rF                    	                       	rR                	rC                         	                  	                           	               	                         	                       	rC                     	                         	                    	                	                            	                  	                	                       	                   	                   	rA                   	                     	                            	rC                     	A                        	F                  	                        	            	rF               	rC                     	           	                  	F                      	A                   	                     	V                   	C                            	F                      	C                       	                            	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 26 Table 5 fold-out back pocket.

  SR	Danian           	                 	NA3               	              	119	 738	C	 20	R	 5	   2.00	    376.2200	Pospichal	Nannofossils                                 	A              	M                 	                    	                     	rR                      	                       	                     	                   	                	rR                         	                       	                    	                        	                  	rR               	                         	rR                    	                       	                  	                           	                  	                           	               	                         	                       	rF                     	                         	                    	                	rR                          	                  	                	                       	                   	                   	rR                   	                     	                            	rR                     	                         	C                  	                        	            	                 	                       	           	F                 	F                      	A                   	                     	A                   	                             	R                      	C                       	R                           	                            	                     	                          	                     	                        	                	                  	                 	                         	                 	                   	                  	                 	                           	                    	                 	                       	                   	                      	               	               	                       	                  	                       	                	                     	                  	                        	                     	                       	                    	                         	                       	                       	                       	                    	                   	                    	                      	                            	                    	               	                        	                 	                     	                       	                    	                         	                     	from 119 SR Chapter 27 Table 2 page 498-499.
