Exp,Hole,Core,Type,Section,Top Depth [m],Foraminiferal preservation,Foraminiferal abundance,Planktic foraminiferal %,Globigerina spp.,Globigerina bulloides,Globigerina falconensis,Globigerinella aequilateralis,Globigerinita glutinata,Globigerinopsis obesa,Globoconella inflata,Globoconella puncticuloides,Hirsutella scitula,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina universa,Turborotalita sp.,Turborotalita quinqueloba,Truncorotalia truncatulinoides,Zeaglobierina woodi,Bryozoa fragments,Echinoid plate fragments,Echinoid spines,Fish teeth,Ostracods,Otoliths,Radiolarians,Sponge spicules,Shell fragments,Micro mollusks,Comments,Site,Top [cm],Bottom [cm],Bottom Depth [m],A/W,Sample,eodp_id
317,B,89,X,CC,518.66,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,No planktics,U1353,,,,,317-U1353B-89X-CC-nan,d403e06e6c4e673ef302786c1749a754
317,B,90,X,CC,528.87,G,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,A,,No planktics,U1353,,,,,317-U1353B-90X-CC-nan,ec5fb4729dfdfbf3eb2d2548d24f621e
317,B,91,X,CC,537.83,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,No planktics,U1353,,,,,317-U1353B-91X-CC-nan,0797fb2bf6ed842903c58d22ef289d9b
317,B,92,X,CC,547.28,M,R,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,,No planktics,U1353,,,,,317-U1353B-92X-CC-nan,d59a6a27314ec90957fbe4483591fc88
317,B,93,X,CC,557.25,G,R,9,X,,,,,,,,,,,,,,,,,,,,,,,,,R,,,U1353,,,,,317-U1353B-93X-CC-nan,ac1940456d2495a6458dc84dedebd3fd
317,B,94,X,CC,566.41,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No planktics,U1353,,,,,317-U1353B-94X-CC-nan,8a33ecf4560cb9b198373764d6c04548
317,B,95,X,CC,576.47,G,C,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-95X-CC-nan,939e8fa340795dcd6eedfa47a3c8a3b6
317,B,96,X,CC,585.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,Barren,U1353,,,,,317-U1353B-96X-CC-nan,ba54851fda02dc1b3c3188394d1933b4
317,B,97,X,CC,595.20,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,No planktics,U1353,,,,,317-U1353B-97X-CC-nan,b444c953d7712cbf6a96b30934bf0673
317,B,98,X,CC,604.60,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,No planktics,U1353,,,,,317-U1353B-98X-CC-nan,2f6a72a496953c395a2198a217732cc4
