Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Tribrachiatus orthostylus	Toweius magnicrassus	Toweius callosus	Sphenolithus radians	Reticulofenestra pseudogammation	Reticulofenestra floridana	Neococcolithes dubius	Nannotetrina cristata	Ericsonia formosa	Discoaster sublodoensis	Discoaster lodoensis	Discoaster kuepperi	Discoaster gemmifer	Discoaster cf. saipanensis	Discoaster barbadiensis	Coccolithus pelagicus	Chiphragmalithus calathus	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus eograndis	Reticulofenestra dictyoda	Discoaster binodosus	Sphenolithus moriformis	Reticulofenestra sp.	Reticulofenestra samodurovii	Discoaster distinctus	Discoaster cf. septemradiatus	Discoaster sp.	Discoaster saipanensis	Chiasmolithus sp.	Nannotetrina fulgens	Discoaster cf. sublodoensis	Chiasmolithus modestus	Reticulofenestra hillae	Chiasmolithus titus	Pontosphaera duocava	Markalius inversus	Blackites tenuis	Discoaster multiradiatus	Cruciplacolithus delus	Chiasmolithus gigas	Chiasmolithus expansus	Neococcolithes sp.	Cyclicargolithus floridanus	Discoaster bifax	Reticulofenestra reticulata	Reticulofenestra bisecta	Rhabdosphaera sp.	Reticulofenestra spp.	Discoaster spp.	Reticulofenestra umbilica	Neococcolithes minutus	Isthmolithus recurvus	Isthmolithus recurvus s.s.	Dictyococcites spp.	Coccolithus eopelagicus	Reticulofenestra hampdenensis	Sphenolithus sp. cf. primus	Chiasmolithus medius	Discoaster tanii nodifer	Chiasmolithus oamaruensis	Reticulofenestra oamaruensis	Dictyococcites bisectus	Discoaster tanii	Isthmolithus recurvus triplus	Reticulofenestra minutula	Reticulofenestra perplexa	Pyrocyclus sp.	Discoaster deflandrei	Coronocyclus sp.	Reticulofenestra pseudoumbilica	Placolith (small)	Calcidiscus macintyrei	Reticulofenestra spp. (small)	Reticulofenestra gelida	Pseudoemiliania lacunosa	Discoaster brouweri	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Gephyrocapsa (small)	Calcidiscus leptoporus	Comment

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 83	X	 3	  10.00	    770.5000	Beaufort 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	C                               	C                         	R                    	R                    	F                	                       	                    	R                  	                   	                          	                       	C                    	                         	F                    	                     	                       	A                        	cf                  	                       	A                   	                            	R                    	                             	F             	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	R                  	                      	                  	                           	R               	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 83	X	 4	  51.00	    772.4100	Beaufort 	Nannofossils                                 	A              	M                 	                       	                         	                    	                	                    	R                               	C                         	R                    	                     	F                	                       	                    	                   	                   	                          	R                      	C                    	                         	R                    	R                    	                       	A                        	                    	R                      	A                   	                            	R                    	                             	R             	                      	                 	                    	                           	                      	                       	                   	                    	R                 	R               	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 83	X	 5	  64.00	    774.0400	Beaufort 	Nannofossils                                 	F              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	F                	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	A                        	                    	                       	A                   	                            	                     	                             	R             	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 83	X	 6	  51.00	    775.4100	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	                    	R                               	R                         	R                    	                     	                 	                       	                    	                   	                   	                          	                       	C                    	                         	R                    	R                    	                       	A                        	                    	                       	A                   	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	R               	                        	                      	R                  	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 83	X	 7	  65.00	    776.4000	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	R                   	                                	F                         	C                    	                     	F                	                       	                    	                   	                   	                          	                       	C                    	                         	R                    	R                    	                       	                         	                    	                       	                    	C                           	                     	                             	              	                      	                 	                    	                           	                      	                       	R                  	                    	F                 	                	                        	                      	                   	                      	                  	                           	cf              	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  SR	                 	Eocene           	                  	              	145	 884	B	 83	X	CC	  44.00	    777.0800	Olafsson 	Nannofossils                                 	A              	M                 	                       	R                        	                    	                	                    	                                	                          	                     	                     	F                	                       	                    	R                  	                   	                          	R                      	                     	                         	                     	                     	                       	                         	                    	R                      	                    	                            	                     	                             	              	                      	R                	                    	                           	                      	                       	                   	                    	R                 	                	                        	                      	                   	                      	R                 	C                          	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 39; Table 12; p 626-628

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 84	X	 1	  95.00	    777.9500	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	                    	                                	                          	R                    	                     	                 	                       	                    	R                  	                   	                          	                       	C                    	                         	R                    	R                    	                       	                         	                    	                       	A                   	R                           	                     	                             	              	                      	                 	                    	                           	                      	                       	R                  	                    	                  	                	                        	                      	R                  	R                     	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 84	X	 2	  52.00	    779.0200	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	R                	                       	                    	                   	                   	                          	                       	R                    	                         	R                    	                     	                       	C                        	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 84	X	 5	 100.00	    784.0000	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	R                               	R                         	                     	R                    	F                	                       	                    	                   	                   	                          	F                      	C                    	                         	R                    	R                    	                       	A                        	                    	                       	                    	R                           	R                    	                             	              	F                     	                 	                    	R                          	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 85	X	 3	  69.00	    790.3900	Beaufort 	Nannofossils                                 	C              	M                 	R                      	                         	                    	                	R                   	                                	                          	R                    	                     	R                	                       	R                   	R                  	                   	                          	R                      	A                    	                         	R                    	R                    	                       	A                        	                    	                       	A                   	R                           	R                    	R                            	              	R                     	                 	                    	R                          	                      	R                      	                   	                    	                  	R               	R                       	R                     	R                  	R                     	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 85	X	 4	 116.00	    792.3600	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	C                               	                          	R                    	                     	                 	                       	                    	                   	                   	                          	                       	                     	                         	                     	                     	                       	A                        	                    	                       	A                   	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 85	X	 5	 124.00	    793.9400	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	C                               	                          	R                    	                     	F                	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	A                        	                    	                       	A                   	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 85	X	 6	  96.00	    795.1600	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	R                   	C                               	                          	F                    	                     	C                	                       	                    	                   	                   	                          	                       	C                    	                         	R                    	                     	R                      	A                        	                    	                       	                    	                            	                     	                             	R             	                      	R                	                    	                           	R                     	                       	                   	cf                  	R                 	R               	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 86	X	 1	 110.00	    797.5000	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	                    	                                	                          	                     	R                    	C                	                       	R                   	R                  	                   	                          	R                      	C                    	                         	R                    	R                    	                       	A                        	                    	                       	R                   	                            	R                    	R                            	              	R                     	                 	                    	                           	R                     	R                      	R                  	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 86	X	 2	 127.00	    799.1700	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	R                   	                	                    	                                	                          	                     	                     	R                	                       	                    	                   	                   	                          	                       	C                    	                         	R                    	                     	                       	A                        	                    	                       	R                   	                            	R                    	                             	              	R                     	                 	R                   	                           	R                     	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 86	X	 3	  20.00	    799.6000	Beaufort 	Nannofossils                                 	A              	P                 	                       	                         	                    	                	                    	F                               	                          	R                    	                     	F                	                       	R                   	                   	                   	R                         	                       	C                    	                         	C                    	C                    	R                      	A                        	                    	                       	                    	R                           	                     	                             	C             	R                     	                 	R                   	R                          	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 86	X	 4	  20.00	    801.1000	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	                 	                       	R                   	                   	                   	                          	                       	C                    	                         	R                    	                     	                       	A                        	                    	                       	                    	                            	R                    	                             	C             	R                     	F                	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	Early Eocene     	Middle Eocene    	                  	              	145	 884	B	 86	X	 5	  65.00	    803.0500	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	                                	                          	                     	                     	A                	                       	                    	                   	                   	                          	                       	C                    	                         	                     	                     	                       	A                        	                    	                       	                    	R                           	R                    	                             	C             	R                     	F                	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	                 	                 	NP14              	              	145	 884	B	 87	X	 4	  93.00	    811.5300	Beaufort 	Nannofossils                                 	C              	P                 	                       	                         	                    	                	                    	R                               	                          	                     	                     	                 	R                      	                    	                   	                   	                          	C                      	C                    	                         	C                    	F                    	                       	A                        	                    	R                      	A                   	R                           	C                    	R                            	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	                 	                 	NP14              	              	145	 884	B	 87	X	 5	  70.00	    812.8000	Beaufort 	Nannofossils                                 	F              	M                 	R                      	R                        	                    	                	                    	                                	                          	R                    	R                    	R                	R                      	                    	                   	                   	                          	F                      	A                    	                         	F                    	                     	                       	A                        	R                   	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

  IR	                 	                 	NP14              	              	145	 884	B	 87	X	 6	  13.00	    813.7300	Beaufort 	Nannofossils                                 	F              	M                 	R                      	R                        	C                   	F               	R                   	R                               	C                         	R                    	R                    	F                	R                      	F                   	R                  	R                  	R                         	F                      	C                    	R                        	R                    	R                    	R                      	                         	                    	                       	                    	                            	                     	                             	              	                      	                 	                    	                           	                      	                       	                   	                    	                  	                	                        	                      	                   	                      	                  	                           	                	                           	                        	                 	                     	               	                         	                      	                     	                          	                   	                       	                             	                           	                    	                        	                         	                            	                       	                	                             	                         	                         	              	                     	                	                               	                 	                      	                             	                       	                        	                   	                     	                         	                    	                      	from Leg 145 SR; Ch 40; Table 2; p 636-638

