Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella simplex	Hedbergella planispira	Hedbergella delrioensis	Morozovella spinulosa	Globigerinoides higginsi	Acarinina spp.	Acarinina bullbrooki	Truncorotaloides rohri	Globorotaloides spp.	Globorotalia cerroazulensis frontosa	Globigerina hagni	Catapsydrax spp.	Acarinina pentacamerata	Acarinina broedermanni	Morozovella aragonensis	Globigerinatheka index	Acarinina pseudotopilensis	Globigerina senni	Morozovella spp.	Pseudohastigerina micra	Globorotaloides suteri	Globigerina linaperta	Globigerina ouachitaensis	Globigerina eocaena	Truncorotaloides topilensis	Globorotalia opima nana	Globorotalia cerroazulensis	Catapsydrax dissimilis	Globigerina tripartita	Globigerina praebulloides	Globigerina ampliapertura	Globigerina spp.	Globorotalia cerroazulensis cerroazulensis	Globigerina yeguaensis	Hantkenina spp.	Globoquadrina venezuelana	Globigerina cryptomphala	Marginotruncana spp.	Globorotalia increbescens	Globorotalia cocoaensis/cunialensis transition	Catapsydrax unicavus	Globigerina ciperoensis ciperoensis	Globigerina ciperoensis angustiumbilicata	Globigerina ciperoensis	Globigerina sellii	Globorotalia opima opima	Globorotalia opima nana/opima opima transition	Globorotalia obesa	Globoquadrina globularis	Globorotalia siakensis	Globigerina ciperoensis angulisuturalis	Globorotalia mayeri	Globoquadrina spp.	Globorotalia opima nana/continuosa transition	Globigerina binaiensis	Globorotalia fohsi peripheroronda	Globigerina gortanii	Globigerinoides primordius	Globoquadrina altispira altispira	Hastigerina praesiphonifera	Globorotalia praescitula	Globoquadrina dehiscens dehiscens	Globigerinoides trilobus/immaturus	Globigerinoides subquadratus	Globigerinita naparimaensis	Globigerina woodi woodi	Catapsydrax stainforthi	Globigerinoides spp.	Praeorbulina transitoria	Globorotalia miozea/conoidea	Globigerina bulloides	Orbulina universa	Orbulina suturalis	Neogloboquadrina pachyderma	Neogloboquadrina acostaensis	Globorotalia tumida	Globorotalia merotumida	Sphaeroidinellopsis seminulina	Globorotalia crassaformis ronda	Globorotalia puncticulata	Globorotalia crassaformis crassaformis	Orbulina bilobata	Globigerina falconensis	Sphaeroidinellopsis paenedehiscens	Hastigerina siphonifera	Globorotalia scitula	Globorotalia crassaformis	Globorotalia cf. Gr. hirsuta	Globigerinoides ruber (white)	Globigerinoides elongatus/obliquus extremus	Globigerinoides conglobatus	Globigerina decoraperta	Sphaeroidinella dehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus obliquus	Beella praedigitata	Globorotalia triangula	Globorotalia inflata	Neogloboquadrina atlantica	Globorotalia truncatulinoides	Globorotalia tosaensis	Hastigerina aequilateralis	Globigerina megastoma cariacoensis	Neogloboquadrina humerosa	Beella digitata	Pulleniatina obliquiloculata	Pulleniatina finalis	Globorotalia crassaformis hessi	Pulleniatina primalis	Rotalipora spp.	Comment

  SR	Late Eocene      	Early Oligocene  	P15               	P17           	149	 897	C	 49	R	 1	 125.00	    514.8500	Gervais  	Planktonic Foraminifers                      	C              	M                 	                   	                      	                       	r                    	                        	              	                    	                      	                    	                                    	R                	R               	r                      	                      	                       	                      	r                         	                 	                	F                      	R                     	                     	R                        	F                  	                           	R                      	R                          	R                     	R                     	                         	F                        	                	                                          	F                     	               	F                        	F                       	r                   	F                        	R                                             	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Eocene      	Early Oligocene  	P15               	P17           	149	 897	C	 50	R	 3	  27.00	    526.4800	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	F                      	                      	                     	                         	R                  	                           	                       	                           	R                     	                      	                         	                         	                	                                          	                      	               	R                        	R                       	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Eocene      	Early Oligocene  	P15               	P17           	149	 897	C	 51	R	 1	  13.00	    532.9300	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	R                     	                     	                         	R                  	                           	                       	                           	                      	R                     	                         	                         	                	                                          	R                     	R              	R                        	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Eocene      	Early Oligocene  	P15               	P17           	149	 897	C	 51	R	 3	  26.00	    536.0600	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	R                      	?                     	                     	                         	R                  	                           	                       	R                          	                      	                      	                         	                         	                	R                                         	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Eocene      	Early Oligocene  	P15               	P17           	149	 897	C	 52	R	 1	 103.00	    543.4300	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	R                        	R                  	                           	                       	                           	                      	                      	                         	                         	                	R                                         	R                     	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Late Eocene      	Early Oligocene  	P15               	P17           	149	 897	C	 53	R	 3	  81.00	    555.9200	Gervais  	Planktonic Foraminifers                      	               	P                 	                   	                      	                       	                     	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	R               	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	Only juvenile planktonic forams for group abundance. from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P13               	P14           	149	 897	C	 54	R	 3	   4.00	    564.8400	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	                     	                        	              	                    	R                     	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	R                  	                           	R                      	                           	                      	R                     	R                        	?                        	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P13               	P14           	149	 897	C	 55	R	 4	  69.00	    576.6900	Gervais  	Planktonic Foraminifers                      	C              	P                 	                   	                      	                       	F                    	                        	              	                    	C                     	                    	                                    	                 	R               	                       	                      	                       	                      	                          	R                	                	                       	R                     	R                    	R                        	F                  	R                          	R                      	R                          	R                     	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P13               	P14           	149	 897	C	 56	R	 6	  98.00	    589.6000	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	R                    	                        	              	                    	R                     	                    	                                    	                 	                	                       	                      	                       	R                     	                          	                 	                	                       	                      	                     	?                        	?                  	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P13               	P14           	149	 897	C	 57	R	 2	 133.00	    593.5300	Gervais  	Planktonic Foraminifers                      	F              	P                 	                   	                      	                       	R                    	                        	              	                    	R                     	                    	                                    	                 	                	                       	                      	                       	                      	                          	?                	R               	R                      	R                     	?                    	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P13               	P14           	149	 897	C	 57	R	 4	  87.00	    596.0800	Gervais  	Planktonic Foraminifers                      	R              	P                 	                   	                      	                       	R                    	                        	              	R                   	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	R               	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P12               	              	149	 897	C	 58	R	 2	 118.00	    603.1800	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	R                    	R                       	R             	R                   	R                     	R                   	R                                   	                 	                	                       	                      	                       	                      	                          	R                	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P11               	              	149	 897	C	 58	R	CC	  21.00	    606.1500	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	F                    	                        	              	                    	                      	                    	                                    	                 	                	                       	                      	R                      	R                     	R                         	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Middle Eocene    	                 	P11               	              	149	 897	C	 59	R	 3	  73.00	    613.8300	Gervais  	Planktonic Foraminifers                      	F              	M                 	                   	                      	                       	R                    	R                       	              	R                   	R                     	R                   	R                                   	R                	R               	R                      	R                     	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.

  SR	Early Eocene     	Middle Eocene    	P9                	P11           	149	 897	C	 59	R	 4	  35.00	    614.4800	Gervais  	Planktonic Foraminifers                      	R              	P                 	                   	                      	                       	                     	?                       	R             	R                   	                      	                    	                                    	                 	                	                       	                      	                       	                      	                          	                 	                	                       	                      	                     	                         	                   	                           	                       	                           	                      	                      	                         	                         	                	                                          	                      	               	                         	                        	                    	                         	                                              	                    	                                   	                                         	                       	                  	                        	                                              	                  	                        	                      	                                       	                   	                  	                                             	                      	                                 	                    	                          	                                 	                           	                        	                                 	                                  	                            	                           	                       	                       	                    	                        	                            	                     	                 	                  	                           	                            	                   	                       	                              	                               	                         	                                      	                 	                       	                                  	                       	                    	                         	                            	                             	                                           	                           	                       	                         	                          	                                 	                   	                      	                    	                          	                             	                      	                          	                                  	                         	               	                            	                    	                               	                     	               	from 149 SR. Chapter 6. Table 3. page 172.
