Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stephanopyxis turris,Stephanogonia hanzawae,Pseudopyxilla directa,Ikebea tenuis,Chaetoceros spp. (resting spores),Thalassionema lineatum,Rhizosolenia miocenica,Rhizosolenia hebetata f. semispina,Rhaphoneis ossiformis,Proboscia alata,Denticulopsis hustedtii,Rhizosolenia norwegica,Pseudopyxilla rossica,Porosira glacialis,Nitzschia pseudocylindrica,Goniothecium tenue,Denticulopsis lauta,Actinocyclus ehrenbergii,Stephanopyxis spinossima,Proboscia praebarboi,Coscinodiscus norwegicus,Thalassiosira grunowii,Stellarima microtrias,Rhaphoneis paralellica,Mediaria splendida,Eucampia aff. balaustium,Dimerogramma cf. aff. dubium,Coscinodiscus asteromphalus,Thalassiosira yabei,Rhizosolenia praebarboi,Coscinodiscus yabei,Coscinodiscus plicatus,Pterotheca reticulata,Pseudopodosira simplex,Denticulopsis praedimorpha,Rhizosolenia hebetata f. hebetata,Actinocyclus ingens,Coscinodiscus marginatus,Nitzschia donahuensis,Thalassiosira aff. gravida,Nitzschia heteropolica,Pterotheca aculeifera,Thalassiosira nordenskioeldii,Synedra pulchella,Actinocyclus curvatulus,Nitzschia evenscens,Rhaphoneis margaritalimbata,Synedra miocenica,Pseudodimerogramma sp.,Xanthiopyxis sp.,Nitzschia aff. cylindrica,Cymatosira biharensis,Cestodiscus sp.,Nitzschia riedelia,Coscinodiscus lewisianus,Rhizosolenia styliformis,Hemiaulus polycystinorum,Coscinodiscus flexuosus,Rhizosolenia barboi,Proboscia barboi,Thalassiosira kryophila,Thalassiothrix miocenica,Thalassiothrix longissima,Thalassiosira oestrupii,Thalassiosira decipiens,Thalassiosira baldaufii,Thalassiosira convexa,Thalassiosira sp. a,Thalassiosira jacksonii,Thalassiosira gravida vegetative,Thalassiosira eccentrica,Thalassiosira aff. nordenskioeldii,Thalassiosira sp. c,Thalassionema nitzschioides,Thalassiosira zabellinae,Thalassiosira sp. 1,Thalassiosira nidulus,Nitzschia kanayensis,Nitzschia atlantica,Thalassiosira gravida spore,Coscinodiscus oculus-iridis,Rhizosolenia bergonii,Proboscia curvirostris,Thalassiosira trifulta,Thalassiosira anguste-lineata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 16,H,CC,  27.00,    150.1800,Koc      ,Diatoms                                      ,A              ,G                 ,F                   ,+                     ,                     ,             ,A                                ,A                     ,                      ,F                                 ,                     ,               ,+                      ,                      ,                     ,                  ,+                         ,+                 ,                   ,                        ,                        ,F                   ,A                       ,F                     ,R                    ,                      ,                  ,+                       ,                            ,                           ,C                  ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,+                  ,                        ,C                    ,+                         ,+                     ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 17,H, 2,  84.00,    152.1400,Koc      ,Diatoms                                      ,F              ,P                 ,                    ,+                     ,                     ,             ,C                                ,R                     ,                      ,                                  ,                     ,               ,+                      ,                      ,                     ,                  ,+                         ,+                 ,                   ,                        ,                        ,R                   ,R                       ,                      ,                     ,                      ,                  ,+                       ,                            ,                           ,R                  ,+                      ,+                  ,+                     ,                     ,                      ,                          ,R                                ,+                  ,                        ,R                    ,R                         ,+                     ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 17,H, 3,  40.00,    153.2000,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,                      ,                     ,C            ,C                                ,C                     ,                      ,F                                 ,                     ,               ,F                      ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,C                   ,F                       ,F                     ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,F                    ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 17,H,CC,  23.00,    159.7700,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,+                     ,                     ,             ,A                                ,A                     ,                      ,A                                 ,                     ,C              ,+                      ,                      ,                     ,C                 ,F                         ,+                 ,                   ,                        ,                        ,C                   ,+                       ,F                     ,                     ,                      ,                  ,+                       ,                            ,                           ,                   ,+                      ,+                  ,+                     ,                     ,                      ,                          ,C                                ,+                  ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 18,H, 1,  40.00,    159.7000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,                      ,                     ,C            ,C                                ,C                     ,                      ,F                                 ,                     ,F              ,F                      ,R                     ,                     ,F                 ,R                         ,                  ,                   ,                        ,                        ,A                   ,F                       ,F                     ,                     ,                      ,R                 ,R                       ,                            ,                           ,F                  ,                       ,                   ,                      ,C                    ,                      ,F                         ,                                 ,F                  ,R                       ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,A. ingens         ,              ,151, 907,A, 18,H, 3,  83.00,    163.1300,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,+                     ,                     ,C            ,A                                ,C                     ,R                     ,C                                 ,                     ,F              ,+                      ,R                     ,                     ,                  ,+                         ,+                 ,+                  ,R                       ,                        ,C                   ,+                       ,C                     ,                     ,                      ,                  ,+                       ,                            ,                           ,C                  ,+                      ,+                  ,+                     ,                     ,                      ,R                         ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 18,H, 5,  84.00,    166.1400,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,+                     ,                     ,C            ,A                                ,A                     ,                      ,F                                 ,                     ,C              ,+                      ,                      ,                     ,C                 ,+                         ,+                 ,+                  ,                        ,                        ,A                   ,+                       ,                      ,                     ,                      ,                  ,+                       ,                            ,                           ,                   ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 18,H,CC,  23.00,    169.1300,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,F                     ,                     ,A            ,A                                ,A                     ,                      ,A                                 ,                     ,               ,+                      ,                      ,                     ,C                 ,+                         ,+                 ,C                  ,R                       ,                        ,C                   ,+                       ,                      ,                     ,                      ,                  ,F                       ,                            ,                           ,                   ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 19,H, 2,  40.00,    170.7000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,R                     ,R                    ,A            ,A                                ,C                     ,                      ,F                                 ,                     ,F              ,R                      ,F                     ,                     ,F                 ,                          ,                  ,F                  ,                        ,                        ,F                   ,R                       ,R                     ,                     ,                      ,                  ,                        ,R                           ,F                          ,R                  ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 19,H, 3, 122.00,    173.0200,Koc      ,Diatoms                                      ,A              ,G                 ,A                   ,+                     ,F                    ,A            ,A                                ,A                     ,                      ,                                  ,                     ,               ,+                      ,+                     ,R                    ,                  ,+                         ,+                 ,+                  ,                        ,                        ,A                   ,+                       ,C                     ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 19,H, 4,  39.00,    173.6900,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,R                     ,R                    ,C            ,A                                ,A                     ,                      ,                                  ,                     ,               ,F                      ,F                     ,                     ,                  ,F                         ,                  ,                   ,                        ,                        ,C                   ,C                       ,F                     ,                     ,                      ,                  ,                        ,                            ,                           ,R                  ,                       ,                   ,                      ,F                    ,C                     ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 19,H, 5,  78.00,    175.5800,Koc      ,Diatoms                                      ,A              ,G                 ,F                   ,+                     ,                     ,A            ,A                                ,A                     ,                      ,F                                 ,                     ,               ,+                      ,+                     ,                     ,                  ,F                         ,+                 ,+                  ,                        ,                        ,F                   ,A                       ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 19,H,CC,  21.00,    178.7600,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,C                     ,                     ,A            ,A                                ,A                     ,                      ,A                                 ,                     ,               ,+                      ,F                     ,                     ,F                 ,C                         ,+                 ,+                  ,R                       ,                        ,F                   ,                        ,C                     ,                     ,                      ,                  ,                        ,                            ,                           ,C                  ,+                      ,+                  ,+                     ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 20,H, 2,  40.00,    180.2000,Koc      ,Diatoms                                      ,A              ,G                 ,                    ,R                     ,                     ,C            ,C                                ,F                     ,                      ,F                                 ,                     ,R              ,F                      ,R                     ,                     ,F                 ,C                         ,                  ,                   ,                        ,                        ,F                   ,R                       ,R                     ,R                    ,R                     ,R                 ,R                       ,R                           ,R                          ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,C. norwegicus     ,              ,151, 907,A, 20,H, 4,  40.00,    183.2000,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,R                     ,                     ,F            ,C                                ,C                     ,                      ,F                                 ,                     ,               ,R                      ,F                     ,                     ,                  ,C                         ,                  ,                   ,                        ,R                       ,C                   ,R                       ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,G. tenue          ,              ,151, 907,A, 20,H,CC,  22.00,    188.1200,Koc      ,Diatoms                                      ,               ,                  ,                    ,                      ,                     ,A            ,A                                ,+                     ,                      ,F                                 ,                     ,               ,+                      ,                      ,                     ,A                 ,+                         ,+                 ,+                  ,R                       ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from 151IR. Ch 5. Fig 10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 907,A, 21,H, 1, 141.00,    189.2100,Koc      ,Diatoms                                      ,C              ,P                 ,C                   ,R                     ,                     ,C            ,A                                ,C                     ,                      ,C                                 ,                     ,               ,R                      ,R                     ,R                    ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 907,A, 21,H, 2,  40.00,    189.7000,Koc      ,Diatoms                                      ,C              ,G                 ,                    ,                      ,                     ,A            ,C                                ,C                     ,R                     ,C                                 ,R                    ,R              ,F                      ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,151, 907,A, 21,H, 5, 141.00,    195.2100,Koc      ,Diatoms                                      ,F              ,P                 ,R                   ,R                     ,R                    ,F            ,F                                ,                      ,                      ,                                  ,                     ,               ,                       ,                      ,                     ,                  ,                          ,                  ,                   ,                        ,                        ,                    ,                        ,                      ,                     ,                      ,                  ,                        ,                            ,                           ,                   ,                       ,                   ,                      ,                     ,                      ,                          ,                                 ,                   ,                        ,                     ,                          ,                      ,                     ,                             ,                 ,                       ,                   ,                           ,                 ,                      ,                ,                         ,                     ,               ,                  ,                        ,                        ,                        ,                       ,                   ,                ,                       ,                        ,                         ,                       ,                       ,                       ,                     ,                   ,                       ,                                ,                        ,                                  ,                   ,                           ,                        ,                   ,                     ,                    ,                   ,                           ,                           ,                     ,                      ,                      ,                             ,from Leg151SR; Ch 4; Table 1; pp. 63-65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
