Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Placolithus (unidentified taxa)	Coccolithus pelagicus	Reticulofenestra "small"	Pontosphaera sp.	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa caribbeanica	Dictyococcites productus	Calcidiscus leptoporus	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica	Gephyrocapsa aperta	Calcidiscus macintyrei	Reticulofenestra asanoi	Braarudosphaera bigelowii	Helicosphaera wallichii	Helicosphaera colombiana	Emiliania huxleyi	Comment
  SR	                 	                 	                  	              	128	 798	A	  9	H	 5	  71.00	     81.2700	Muza     	Nannofossils                                 	V              	P                 	                               	A                    	V                       	                	                     	                     	A                        	A                       	A                     	F                       	                    	A                    	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 6	   5.00	     82.1100	Muza     	Nannofossils                                 	V              	M                 	                               	A                    	A                       	                	                     	F                    	A                        	A                       	V                     	F                       	                    	A                    	A                  	                      	A                      	F                        	                       	                        	                 	Rare reworked Cretaceous taxa; from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 6	  72.00	     82.7800	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	A                       	                	                     	                     	C                        	F                       	C                     	                        	                    	A                    	A                  	                      	A                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	  9	H	 7	   5.00	     83.4800	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	C                       	                	                     	                     	                         	                        	                      	                        	                    	C                    	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 10	H	 2	  11.00	     85.1300	Muza     	Nannofossils                                 	A              	P                 	                               	C                    	A                       	                	                     	                     	C                        	                        	                      	A                       	                    	A                    	A                  	                      	A                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 10	H	 6	  81.00	     91.8300	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	C                       	                	R                    	                     	                         	                        	                      	                        	                    	                     	                   	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 10	H	 7	  11.00	     92.6300	Muza     	Nannofossils                                 	C              	P                 	                               	C                    	C                       	                	                     	                     	                         	                        	                      	                        	                    	                     	                   	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 10	H	 7	  81.00	     93.3300	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	C                       	F               	                     	R                    	                         	                        	                      	C                       	                    	                     	V                  	                      	                       	F                        	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 10	H	 8	  11.00	     94.1300	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	C                       	                	F                    	C                    	                         	                        	                      	                        	                    	                     	V                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 10	H	 8	  81.00	     94.8300	Muza     	Nannofossils                                 	V              	P                 	                               	V                    	C                       	                	F                    	C                    	                         	                        	                      	                        	                    	                     	V                  	                      	F                      	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

  SR	                 	                 	                  	              	128	 798	A	 11	H	 3	   5.00	     97.1500	Muza     	Nannofossils                                 	A              	P                 	                               	V                    	A                       	C               	                     	                     	                         	                        	                      	C                       	                    	                     	A                  	                      	                       	                         	                       	                        	                 	from ODP Leg 127&128 SR Chapter 10 Table 1 p 158-163

