Any taxon above genus,genus modifier,genus name,subgenera modifier,subgenera name,species modifier,species name,subspecies modifier,subspecies name,non-taxa descriptor,normalized_name,taxon_group,verbatim_name,name comment field,Comment,Notes (change to Internal only notes?),comments,eodp_id
,,Amphistegina,,,,radiata,,,,Amphistegina radiata,benthic_forams,Amphistegina radiata,,,"in PBDB, so it will be classified correctly",,125
,,Amphistegina,,,,sp.,,,,Amphistegina sp.,benthic_forams,Amphistegina sp.,,,"in PBDB, so it will be classified correctly",,126
,,Amphistegina,,,,spp.,,,,Amphistegina spp.,benthic_forams,Amphistegina spp.,,,"in PBDB, so it will be classified correctly",,127
,,Angulogerina,,,aff.,fueguina,,,,Angulogerina aff. fueguina,benthic_forams,Angulogerina aff. fueguina,,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)",,,128
,,Angulogerina,,,,angulosa,,,,Angulogerina angulosa,benthic_forams,Angulogerina angulosa,,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)",,,129
,,Angulogerina,,,,earlandi,,,,Angulogerina earlandi,benthic_forams,Angulogerina earlandi,,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)",,,130
,,Angulogerina,,,,fluens,,,,Angulogerina fluens,benthic_forams,Angulogerina fluens,,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)",,,131
,,Angulogerina,,,,pauperata,,,,Angulogerina pauperata,benthic_forams,Angulogerina pauperata,,"in PBDB but Unaccepted? Trifarina (Cushman, 1923)",,,132
,,Annectina,,,,sp.,,,,Annectina sp.,benthic_forams,Annectina sp.,,,"in PBDB, but higher taxonomic ranks are missing",,133
,,Anomalina,,,,aotea,,,,Anomalina aotea,benthic_forams,Anomalina aotea,,,"in PBDB, so it will be classified correctly",,134
,,Anomalina,,,,indica,,,,Anomalina indica,benthic_forams,Anomalina indica,,,"in PBDB, so it will be classified correctly",,135
,,Anomalina,,,,praeacuta,,,,Anomalina praeacuta,benthic_forams,Anomalina praeacuta,,,"in PBDB, so it will be classified correctly",,136
,,Anomalina,,,,sp.,,,,Anomalina sp.,benthic_forams,Anomalina sp.,,,"in PBDB, so it will be classified correctly",,137
,,Anomalina,,,,spp.,,,,Anomalina spp.,benthic_forams,Anomalina spp.,,,"in PBDB, so it will be classified correctly",,138
,,Anomalina,,,,visenda,,,,Anomalina visenda,benthic_forams,Anomalina visenda,,,"in PBDB, so it will be classified correctly",,139
,,Anomalinoides,,,,acutus,,,,Anomalinoides acutus,benthic_forams,Anomalinoides acutus,,,"in PBDB, but classification differs to WoRMS",,140
,,Anomalinoides,,,,affinis,,,,Anomalinoides affinis,benthic_forams,Anomalinoides affinis,,,"in PBDB, but classification differs to WoRMS",,141
,,Anomalinoides,,,,ammonoides,,,,Anomalinoides ammonoides,benthic_forams,Anomalinoides ammonoides,,,"in PBDB, but classification differs to WoRMS",,142
,,Anomalinoides,,,,capitatus,,,,Anomalinoides capitatus,benthic_forams,Anomalinoides capitatus,,,"in PBDB, but classification differs to WoRMS",,143
,,Anomalinoides,,,,fasciatus,,,,Anomalinoides fasciatus,benthic_forams,Anomalinoides fasciatus,,,"in PBDB, but classification differs to WoRMS",,144
,,Anomalinoides,,,,globosus,,,,Anomalinoides globosus,benthic_forams,Anomalinoides globosus,,,"in PBDB, but classification differs to WoRMS",,145
,,Anomalinoides,,,,globulosus,,,,Anomalinoides globulosus,benthic_forams,Anomalinoides globulosus,,,"in PBDB, but classification differs to WoRMS",,146
,,Anomalinoides,,,,orbiculus,,,,Anomalinoides orbiculus,benthic_forams,Anomalinoides orbiculus,,,"in PBDB, but classification differs to WoRMS",,147
,,Anomalinoides,,,,piripaua,,,,Anomalinoides piripaua,benthic_forams,Anomalinoides piripaua,,,"in PBDB, but classification differs to WoRMS",,148
,,Anomalinoides,,,,rubiginosus,,,,Anomalinoides rubiginosus,benthic_forams,Anomalinoides rubiginosus,,,"in PBDB, but classification differs to WoRMS",,149
,,Anomalinoides,,,,rubiginosus,,,,Anomalinoides rubiginosus,benthic_forams,Anomalinoides rubignosus,,,"in PBDB, but classification differs to WoRMS",,150
,,Anomalinoides,,,,semicribratus,,,,Anomalinoides semicribratus,benthic_forams,Anomalinoides semicribratus,,,"in PBDB, but classification differs to WoRMS",,151
,,Anomalinoides,,,,sp.,,,,Anomalinoides sp.,benthic_forams,Anomalinoides sp.,,,"in PBDB, but classification differs to WoRMS",,152
,,Anomalinoides,,,,sp. 1,,,,Anomalinoides sp. 1,benthic_forams,Anomalinoides sp. 1,,,"in PBDB, but classification differs to WoRMS",,153
,,Anomalinoides,,,,spissiformis,,,,Anomalinoides spissiformis,benthic_forams,Anomalinoides spissiformis,,,"in PBDB, but classification differs to WoRMS",,154
,,Anomalinoides,,,,spp.,,,,Anomalinoides spp.,benthic_forams,Anomalinoides spp.,,,"in PBDB, but classification differs to WoRMS",,155
,,Antarcticella,,,,antarctica,,,,Antarcticella antarctica,benthic_forams,Antarcticella antarctica,,,"in PBDB, so it will be classified correctly",,156
,,Aragonia,,,,sp.,,,,Aragonia sp.,benthic_forams,Aragonia,,,"in PBDB, so it will be classified correctly",,157
,,Aragonia,,,,aragonensis,,,,Aragonia aragonensis,benthic_forams,Aragonia aragonensis,,,"in PBDB, so it will be classified correctly",,158
,,Aragonia,,,,materna,,kugleri,,Aragonia materna kugleri,benthic_forams,Aragonia materna kugleri,,,"in PBDB, so it will be classified correctly",,159
,,Aragonia,,,,ouezzanensis,,,,Aragonia ouezzanensis,benthic_forams,Aragonia ouezzanensis,,,"in PBDB, so it will be classified correctly",,160
