Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus capricornutus	Reticulofenestra minutula	Reticulofenestra bisecta	Helicosphaera spp.	Discoaster spp.	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Discoaster variabilis	Helicosphaera granulata	Cyclicargolithus abisectus	Coronocyclus nitescens	Calcidiscus premacintyrei	Sphenolithus conicus	Calcidiscus leptoporus	Discoaster adamanteus	Helicosphaera carteri	Sphenolithus belemnos	Discoaster druggii	Reticulofenestra pseudoumbilicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Helicosphaera ampliaperta	Cyclolithus annulus	Calcidiscus macintyrei	Discoaster signus	Syracosphaera spp.	Rhabdosphaera clavigera	Discoaster intercalaris	Triquetrorhabdulus extensus	Pontosphaera spp.	Helicosphaera euphratis	Scapholithus spp.	Discoaster exilis	Discoaster musicus	Coccolithus streckerii	Tetralithoides symeonidesii	Discolithina multipora	Dictyococcites spp.	Sphenolithus abies	Discoaster petaliformis	Discoaster moorei	Discoaster pseudovariabilis	Discoaster prepentaradiatus	Triquetrorhabdulus rugosus	Umbilicosphaera sibogae	Oolithotus antillarum	Discoaster kugleri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Catinaster coalitus	Discoaster quinqueramus	Discoaster icarus	Discoaster hamatus	Catinaster calyculus	Discoaster surculus	Discoaster pansus	Discoaster neohamatus	Discoaster decorus	Discoaster loeblichii	Minylitha convallis	Sphenolithus neoabies	Discoaster neorectus	Discoaster calcaris	Discoaster berggrenii	Scapholithus fossilis	Discoaster challengeri	Gephyrocapsa spp. (small)	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus spp.	Amaurolithus amplificus	Helicosphaera wallichii	Discoaster triradiatus	Pyrocyclus spp.	Discoaster quadramus	Helicosphaera neogranulata	Ceratolithus acutus	Ceratolithus rugosus	Ceratolithus cristatus	Amaurolithus tricorniculatus	Discoaster asymmetricus	Discolithina japonica	Helicosphaera sellii	Discoaster tamalis	Pseudoemiliania lacunosa	Syracosphaera pulchra	Helicosphaera hyalina	Rhabdosphaera longistylis	Reticulofenestra minutula (circ. form)	Reticulofenestra ampla	Rhabdosphaera stylifera	Coccolithus crassipons	Comment

  SR	                 	                 	CN8a              	              	165	 998	A	 15	H	 2	  21.00	    134.0100	Kameo    	Nannofossils                                 	               	M                 	                            	3                      	                       	                    	                          	27                       	                        	10                	15             	                     	                           	20                   	                        	6                    	10                     	                          	                      	                         	                    	11                    	                     	1                    	                     	                  	6                               	                          	1                      	                         	22                 	2                     	                 	20                	+                      	11                     	                           	                 	                       	+                	                 	                  	                      	                           	                      	1                  	62                	                       	                 	1                          	2                          	1                         	                       	                     	                  	19                      	22                 	1                	1                	+                  	                       	+                	                  	                    	+                  	                 	12                   	                  	                     	10                 	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN8a              	              	165	 998	A	 15	H	 3	  20.00	    135.5000	Kameo    	Nannofossils                                 	               	M                 	                            	5                      	                       	                    	                          	25                       	                        	4                 	+              	                     	                           	32                   	                        	12                   	+                      	                          	                      	                         	                    	14                    	1                    	9                    	                     	                  	20                              	                          	                       	                         	22                 	1                     	                 	7                 	                       	6                      	                           	+                	                       	                 	                 	                  	                      	                           	                      	3                  	69                	                       	                 	+                          	11                         	+                         	                       	3                    	                  	3                       	20                 	+                	2                	                   	                       	                 	                  	                    	                   	                 	19                   	                  	                     	8                  	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 15	H	 4	  20.00	    137.0000	Kameo    	Nannofossils                                 	               	M                 	                            	3                      	                       	                    	                          	24                       	                        	1                 	20             	                     	                           	28                   	                        	15                   	8                      	                          	                      	                         	                    	9                     	+                    	4                    	                     	                  	23                              	                          	4                      	                         	4                  	6                     	                 	12                	1                      	18                     	                           	+                	                       	                 	                 	                  	                      	                           	1                     	1                  	17                	                       	                 	1                          	5                          	+                         	                       	                     	                  	10                      	19                 	25               	7                	1                  	                       	                 	+                 	+                   	                   	                 	20                   	                  	                     	5                  	1                    	3                   	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 15	H	 5	  20.00	    138.5000	Kameo    	Nannofossils                                 	               	M-G               	                            	1                      	                       	                    	                          	18                       	                        	1                 	1              	                     	                           	26                   	                        	13                   	6                      	                          	                      	                         	                    	15                    	1                    	+                    	                     	                  	29                              	                          	                       	                         	14                 	4                     	                 	4                 	                       	6                      	                           	+                	                       	                 	                 	                  	                      	                           	2                     	                   	41                	                       	                 	                           	8                          	1                         	                       	3                    	                  	1                       	24                 	26               	5                	                   	                       	1                	2                 	                    	+                  	                 	36                   	                  	                     	9                  	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 15	H	 6	  20.00	    140.0000	Kameo    	Nannofossils                                 	               	M                 	                            	+                      	                       	                    	                          	39                       	                        	2                 	6              	                     	                           	30                   	                        	26                   	11                     	                          	                      	                         	                    	3                     	2                    	2                    	                     	                  	24                              	                          	1                      	                         	8                  	8                     	                 	4                 	3                      	12                     	                           	1                	                       	                 	                 	                  	                      	                           	1                     	1                  	13                	                       	1                	                           	8                          	1                         	                       	                     	                  	6                       	29                 	22               	12               	2                  	                       	                 	5                 	1                   	                   	                 	7                    	                  	1                    	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 8 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 16	H	 1	  20.00	    142.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	                       	                       	                    	                          	37                       	                        	3                 	               	                     	                           	32                   	                        	22                   	1                      	                          	                      	                         	                    	9                     	2                    	+                    	                     	                  	13                              	                          	                       	                         	1                  	11                    	                 	10                	                       	13                     	                           	1                	                       	                 	                 	                  	                      	                           	                      	                   	6                 	                       	                 	                           	14                         	1                         	                       	                     	                  	4                       	50                 	49               	9                	                   	                       	                 	3                 	                    	+                  	1                	4                    	1                 	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 16	H	 3	  20.00	    145.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	                       	                       	                    	                          	37                       	                        	                  	7              	                     	                           	19                   	                        	33                   	6                      	                          	                      	                         	                    	8                     	3                    	2                    	                     	                  	31                              	                          	14                     	                         	4                  	13                    	                 	2                 	1                      	6                      	                           	                 	                       	                 	                 	                  	1                     	                           	                      	1                  	14                	                       	                 	                           	+                          	1                         	                       	                     	                  	                        	13                 	46               	3                	11                 	                       	1                	18                	1                   	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 16	H	 4	  22.00	    146.5200	Kameo    	Nannofossils                                 	               	P                 	                            	                       	                       	                    	                          	3                        	                        	                  	14             	                     	                           	1                    	                        	26                   	+                      	                          	                      	                         	                    	                      	2                    	+                    	                     	                  	1                               	                          	                       	                         	+                  	1                     	                 	+                 	1                      	13                     	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	+                 	                       	                 	1                          	1                          	1                         	                       	                     	                  	                        	10                 	32               	12               	68                 	                       	                 	6                 	1                   	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 6 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN7               	              	165	 998	A	 16	H	 5	  20.00	    148.0300	Kameo    	Nannofossils                                 	               	M-G               	                            	+                      	                       	                    	                          	67                       	                        	                  	2              	                     	                           	22                   	                        	18                   	9                      	                          	                      	                         	                    	8                     	1                    	3                    	                     	                  	45                              	                          	8                      	                         	5                  	17                    	2                	2                 	3                      	8                      	                           	+                	                       	                 	                 	                  	+                     	                           	1                     	                   	9                 	                       	                 	                           	2                          	+                         	                       	                     	                  	                        	10                 	27               	1                	14                 	1                      	+                	6                 	2                   	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 7 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN6               	              	165	 998	A	 16	H	 6	 120.00	    150.5300	Kameo    	Nannofossils                                 	               	M                 	                            	2                      	                       	                    	                          	41                       	                        	                  	8              	                     	                           	10                   	                        	35                   	1                      	                          	                      	                         	                    	+                     	2                    	1                    	                     	                  	22                              	                          	1                      	                         	+                  	9                     	+                	2                 	1                      	23                     	                           	                 	                       	                 	                 	                  	                      	                           	                      	2                  	2                 	                       	4                	19                         	1                          	4                         	                       	                     	                  	2                       	40                 	19               	3                	43                 	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	                  	              	165	 998	A	 17	H	 1	  20.00	    151.5000	Kameo    	Nannofossils                                 	               	P                 	                            	                       	                       	                    	                          	+                        	                        	                  	               	                     	                           	+                    	+                       	+                    	                       	                          	                      	                         	                    	                      	                     	                     	                     	                  	+                               	                          	+                      	                         	                   	                      	                 	                  	                       	                       	                           	                 	                       	                 	                 	                  	                      	                           	                      	                   	                  	                       	                 	                           	                           	                          	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	       

  SR	                 	                 	CN5               	              	165	 998	A	 17	H	 3	  20.00	    154.5000	Kameo    	Nannofossils                                 	               	M-G               	                            	1                      	                       	                    	                          	117                      	                        	2                 	9              	                     	+                          	27                   	2                       	18                   	13                     	                          	                      	+                        	                    	4                     	5                    	3                    	                     	                  	12                              	+                         	9                      	                         	3                  	3                     	2                	2                 	                       	9                      	                           	                 	                       	                 	18               	2                 	1                     	                           	1                     	19                 	4                 	                       	+                	5                          	1                          	3                         	                       	1                    	2                 	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN5               	              	165	 998	A	 17	H	 4	  20.00	    156.0300	Kameo    	Nannofossils                                 	               	P-M               	                            	1                      	                       	                    	                          	86                       	                        	1                 	21             	                     	+                          	32                   	3                       	16                   	2                      	                          	                      	4                        	                    	1                     	4                    	2                    	                     	                  	26                              	                          	5                      	                         	4                  	4                     	13               	1                 	                       	13                     	                           	1                	                       	                 	31               	                  	                      	                           	                      	8                  	1                 	                       	1                	8                          	+                          	2                         	                       	                     	7                 	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN5               	              	165	 998	A	 17	H	 5	  20.00	    157.5300	Kameo    	Nannofossils                                 	               	M-G               	                            	3                      	                       	                    	                          	120                      	                        	1                 	2              	                     	+                          	29                   	2                       	4                    	16                     	                          	                      	3                        	                    	1                     	+                    	3                    	                     	                  	16                              	+                         	16                     	                         	8                  	                      	1                	7                 	2                      	4                      	                           	                 	                       	                 	14               	4                 	+                     	                           	3                     	26                 	3                 	                       	2                	2                          	1                          	2                         	                       	                     	1                 	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 4 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN5               	              	165	 998	A	 17	H	 6	  20.00	    159.0300	Kameo    	Nannofossils                                 	               	P-M               	                            	7                      	                       	                    	                          	64                       	                        	                  	6              	                     	                           	13                   	                        	12                   	5                      	                          	                      	2                        	                    	1                     	5                    	+                    	                     	                  	13                              	                          	6                      	                         	3                  	                      	1                	4                 	                       	10                     	                           	                 	                       	                 	19               	8                 	                      	                           	                      	7                  	1                 	                       	2                	8                          	+                          	1                         	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 200 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN5               	              	165	 998	A	 18	X	 1	  20.00	    161.0000	Kameo    	Nannofossils                                 	               	P-M               	                            	1                      	                       	                    	                          	125                      	                        	2                 	5              	                     	                           	21                   	+                       	4                    	11                     	                          	                      	1                        	                    	3                     	                     	1                    	                     	                  	19                              	                          	4                      	                         	2                  	                      	12               	4                 	                       	11                     	                           	                 	                       	                 	12               	18                	                      	                           	+                     	28                 	5                 	                       	1                	3                          	                           	4                         	                       	1                    	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN5               	              	165	 998	A	 18	X	 2	  20.00	    162.5000	Kameo    	Nannofossils                                 	               	M                 	                            	+                      	                       	                    	                          	111                      	                        	5                 	3              	                     	+                          	33                   	1                       	1                    	10                     	                          	+                     	3                        	                    	5                     	1                    	1                    	                     	                  	8                               	                          	13                     	                         	2                  	                      	2                	5                 	1                      	8                      	                           	                 	                       	                 	9                	+                 	                      	                           	3                     	58                 	11                	                       	1                	1                          	                           	1                         	1                      	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN5               	              	165	 998	A	 18	X	 3	  20.00	    164.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	3                      	                       	                    	                          	121                      	                        	                  	3              	                     	                           	36                   	2                       	+                    	10                     	                          	2                     	4                        	                    	1                     	                     	+                    	                     	                  	15                              	                          	21                     	                         	1                  	                      	2                	3                 	1                      	9                      	                           	                 	                       	                 	12               	8                 	1                     	                           	3                     	30                 	7                 	                       	+                	4                          	                           	+                         	                       	                     	                  	                        	                   	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	                     	                      	                         	                   	                      	                 	                       	                       	                      	               	                    	                          	                   	                    	                      	                            	                       	                     	                    	                  	                        	                     	                     	                         	                                      	                      	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B
