Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	placolith (<2.0 microns)	Umbilicosphaera sp. A	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera cricota	Umbilicosphaera aequiscutum	Sphenolithus neoabies	Sphenolithus abies	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera multipora	Pontosphaera japonica	Neosphaera coccolithomorpha	Helicosphaera spp. (small)	Helicosphaera euphratis	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Discoaster blackstockae	Discoaster berggrenii	Cyclicargolithus floridanus	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Syracosphaera spp.	Schyphosphaera spp.	Rhabdosphaera clavigera	Triquetrorhabdulus rugosus	Helicosphaera inversa	Discoaster challengeri	Calciosolenia murrayi	Braarudosphaera bigelowii	Coccolithus streckerii	Pontosphaera discopora	Amaurolithus tricorniculatus	Schyphosphaera sp.	Reticulofenestra bisecta	Aspidolithus parcus	Sphenolithus compactus	Helicosphaera intermedia	Chiasmolithus solitus	Ceratolithus acutus	Tetralithoides quadrilaminata	Ceratolithus spp.	Ceratolithus armatus	Ceratolithus atlanticus	Discoaster asymmetricus	Discoaster triradiatus	Umbilicosphaera hulburtiana	Ericsonia formosa	Reticulofenestra umbilica	Umbilicosphaera sibogae var. foliosa	Ceratolithus separatus	Ceratolithus rugosus	Ceratolithus cristatus	Pseudoemiliania lacunosa	Sphenolithus grandis	Pseudoemiliania cf. P. lacunosa	Micula decussata	Helicosphaera sellii	Gephyrocapsa spp. (small)	Lithostromation perdurum	Discoaster tamalis	Cretarhabdus conicus	Discoaster hamatus	Placozygus sigmoides	Helicosphaera neogranulata	Umbellosphaera tenuis	Oolithotus fragilis	Helicosphaera pavimentum	Gephyrocapsa oceanica (medium)	Gephyrocapsa caribbeanica	Gephyrocapsa spp. medium	Watznaueria barnesae	Gephyrocapsa spp. (large)	Prediscosphaera cretacea	Ceratolithus simplex	Reticulofenestra asanoi	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Umbellosphaera irregularis	Emiliania huxleyi	Comment

  SR	                 	                 	CN12a             	              	164	 994	C	 25	X	 1	  39.00	    203.6900	Okada    	Nannofossils                                 	A              	G                 	4                       	                     	R                                   	1                      	14                         	                     	                  	                               	4                        	1                        	6                        	42                     	4                     	                       	                 	                      	R                    	                           	                          	                       	2                    	190                  	                     	F                  	                       	1                       	                       	1                  	                       	                     	                           	1                    	R                     	1                     	                   	                      	                       	2                 	R                  	                       	                          	                     	                      	                     	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	1                          	                 	                         	F                                   	                      	                    	                      	15                      	                    	                               	                	F                   	1                        	                        	R                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 25	X	 2	  77.00	    205.5700	Okada    	Nannofossils                                 	A              	G                 	8                       	                     	F                                   	R                      	11                         	                     	                  	                               	                         	                         	11                       	41                     	2                     	                       	                 	                      	R                    	                           	R                         	                       	2                    	284                  	                     	R                  	                       	R                       	                       	R                  	                       	                     	                           	1                    	R                     	1                     	                   	                      	                       	1                 	                   	R                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	F                      	                      	1                          	                 	                         	                                    	                      	                    	                      	18                      	                    	                               	                	F                   	2                        	                        	R                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 25	X	 4	  77.00	    208.5700	Okada    	Nannofossils                                 	A              	G                 	1                       	                     	R                                   	R                      	9                          	                     	                  	                               	2                        	                         	8                        	58                     	3                     	                       	                 	                      	R                    	                           	                          	                       	1                    	153                  	                     	F                  	                       	R                       	                       	F                  	                       	                     	                           	2                    	R                     	F                     	                   	                      	                       	1                 	                   	R                      	                          	                     	                      	R                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	R                     	13                      	                    	                               	                	1                   	1                        	                        	                  	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 25	X	CC	   0.00	    210.8000	Okada    	Nannofossils                                 	A              	M                 	5                       	                     	R                                   	1                      	9                          	                     	                  	                               	1                        	                         	6                        	52                     	2                     	                       	                 	                      	R                    	                           	                          	                       	1                    	243                  	                     	R                  	                       	1                       	                       	1                  	                       	                     	                           	2                    	1                     	1                     	                   	                      	                       	1                 	R                  	R                      	                          	                     	                      	                     	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	R                     	                           	                 	                         	                                    	                      	                    	                      	16                      	                    	                               	                	F                   	                         	                        	R                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Late Pliocene    	                 	CN12a             	              	164	 994	C	 25	X	CC	  29.00	    211.0900	Okada    	Nannofossils                                 	A              	M                 	                        	C                    	                                    	                       	                           	                     	                  	                               	                         	                         	A                        	C                      	                      	                       	                 	                      	R                    	F                          	                          	                       	C                    	A                    	                     	R                  	                       	F                       	                       	F                  	                       	                     	                           	C                    	C                     	F                     	                   	                      	                       	F                 	                   	R                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	C                       	                    	                               	                	R                   	F                        	                        	R                 	                    	                  	                    	F                         	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN12a             	              	164	 994	C	 26	X	 1	  77.00	    213.6700	Okada    	Nannofossils                                 	A              	M                 	4                       	                     	                                    	R                      	8                          	                     	                  	                               	1                        	                         	7                        	56                     	4                     	                       	                 	R                     	R                    	                           	R                         	                       	2                    	225                  	                     	F                  	                       	3                       	                       	F                  	                       	                     	                           	2                    	F                     	2                     	                   	                      	                       	F                 	                   	R                      	                          	                     	                      	                     	R                        	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	F                                   	R                     	                    	R                     	9                       	                    	                               	                	                    	                         	                        	R                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 26	X	 3	  77.00	    216.6700	Okada    	Nannofossils                                 	A              	M                 	1                       	                     	R                                   	1                      	6                          	                     	                  	                               	4                        	2                        	1                        	60                     	                      	                       	                 	                      	R                    	                           	                          	                       	F                    	307                  	                     	F                  	                       	1                       	R                      	F                  	                       	                     	                           	3                    	F                     	2                     	                   	                      	                       	1                 	                   	1                      	                          	                     	                      	                     	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	R                                   	                      	                    	R                     	13                      	                    	                               	                	R                   	3                        	                        	R                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Late Pliocene    	                 	CN12a             	              	164	 994	C	 26	X	CC	  17.00	    217.2300	Okada    	Nannofossils                                 	A              	M                 	                        	C                    	                                    	                       	                           	                     	                  	                               	F                        	                         	A                        	A                      	                      	                       	                 	                      	R                    	F                          	                          	                       	C                    	A                    	                     	R                  	                       	C                       	                       	F                  	                       	                     	                           	C                    	F                     	F                     	                   	                      	                       	F                 	                   	                       	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	R                	                    	                       	                       	                      	                           	                 	                         	                                    	                      	                    	R                     	                        	                    	                               	                	F                   	F                        	                        	R                 	                    	                  	                    	R                         	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN12a             	              	164	 994	C	 29	X	 1	  77.00	    232.8700	Okada    	Nannofossils                                 	A              	M                 	6                       	                     	R                                   	F                      	12                         	                     	                  	                               	                         	                         	8                        	48                     	                      	                       	                 	                      	R                    	                           	1                         	                       	1                    	128                  	                     	1                  	                       	F                       	R                      	F                  	                       	                     	                           	3                    	R                     	1                     	                   	                      	                       	1                 	1                  	R                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	R                     	                           	                 	                         	                                    	                      	                    	R                     	7                       	                    	                               	                	F                   	9                        	                        	F                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Late Pliocene    	                 	CN12a             	              	164	 994	C	 29	X	CC	  26.00	    234.3600	Okada    	Nannofossils                                 	A              	G                 	11                      	A                    	R                                   	R                      	11                         	                     	                  	                               	1                        	1                        	3                        	41                     	1                     	                       	R                	R                     	F                    	F                          	                          	                       	1                    	290                  	                     	F                  	                       	F                       	R                      	1                  	                       	                     	                           	2                    	F                     	2                     	                   	                      	                       	2                 	                   	R                      	                          	                     	                      	                     	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	F                      	R                     	                           	                 	                         	R                                   	                      	                    	                      	14                      	                    	                               	                	R                   	8                        	                        	R                 	                    	                  	                    	R                         	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN12a             	              	164	 994	C	 30	X	 2	  77.00	    243.9000	Okada    	Nannofossils                                 	A              	M                 	12                      	                     	                                    	F                      	8                          	                     	                  	                               	                         	                         	6                        	10                     	F                     	                       	                 	R                     	R                    	                           	                          	                       	1                    	186                  	R                    	F                  	                       	F                       	F                      	F                  	                       	                     	                           	5                    	F                     	1                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	                                    	                      	                    	                      	12                      	                    	                               	                	F                   	42                       	                        	F                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 30	X	 5	  77.00	    247.5300	Okada    	Nannofossils                                 	A              	M                 	13                      	                     	R                                   	F                      	12                         	                     	                  	                               	                         	                         	2                        	16                     	1                     	                       	                 	                      	R                    	                           	                          	                       	1                    	157                  	                     	R                  	                       	1                       	                       	F                  	                       	                     	                           	1                    	R                     	1                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	F                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	                                    	                      	                    	                      	14                      	                    	                               	                	F                   	36                       	                        	R                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Late Pliocene    	                 	CN12a             	              	164	 994	C	 30	X	CC	  78.00	    249.0400	Okada    	Nannofossils                                 	A              	M                 	12                      	C                    	                                    	F                      	7                          	                     	                  	                               	                         	                         	C                        	C                      	F                     	                       	F                	                      	R                    	F                          	R                         	                       	C                    	A                    	                     	R                  	                       	F                       	F                      	F                  	                       	                     	rR                         	1                    	R                     	1                     	                   	                      	                       	1                 	                   	R                      	                          	                     	                      	                     	R                        	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	F                      	                      	F                          	                 	                         	                                    	                      	                    	                      	C                       	                    	                               	                	F                   	A                        	                        	R                 	                    	rR                	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN12a             	              	164	 994	C	 31	X	 1	  77.00	    252.0700	Okada    	Nannofossils                                 	C              	M                 	5                       	                     	R                                   	1                      	12                         	                     	                  	                               	1                        	                         	4                        	36                     	1                     	                       	                 	R                     	                     	                           	                          	                       	F                    	271                  	                     	F                  	                       	2                       	F                      	3                  	                       	                     	                           	3                    	1                     	1                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	                     	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	21                      	                    	                               	                	R                   	7                        	                        	1                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 31	X	 3	  76.00	    255.0600	Okada    	Nannofossils                                 	A              	M                 	9                       	                     	R                                   	F                      	16                         	                     	                  	                               	F                        	                         	4                        	36                     	1                     	                       	                 	R                     	R                    	                           	                          	                       	1                    	75                   	                     	1                  	                       	1                       	                       	1                  	                       	                     	                           	3                    	R                     	1                     	                   	                      	                       	2                 	                   	R                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	                                    	                      	R                   	                      	8                       	                    	                               	                	F                   	17                       	                        	1                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 31	X	 5	  77.00	    258.0700	Okada    	Nannofossils                                 	A              	G                 	6                       	                     	                                    	1                      	6                          	                     	                  	                               	7                        	                         	3                        	65                     	                      	                       	                 	                      	R                    	                           	                          	                       	F                    	86                   	                     	R                  	                       	F                       	                       	F                  	                       	                     	                           	F                    	F                     	F                     	                   	                      	                       	1                 	                   	R                      	                          	                     	                      	R                    	R                        	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	F                      	                      	                           	                 	                         	                                    	                      	                    	R                     	10                      	                    	                               	                	F                   	F                        	                        	F                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN12a             	              	164	 994	C	 31	X	CC	   0.00	    260.8200	Okada    	Nannofossils                                 	A              	G                 	7                       	                     	                                    	1                      	1                          	                     	                  	                               	1                        	                         	4                        	58                     	1                     	1                      	                 	                      	                     	                           	                          	                       	1                    	97                   	                     	R                  	                       	F                       	                       	F                  	                       	                     	                           	1                    	F                     	F                     	                   	                      	                       	F                 	                   	R                      	                          	                     	                      	F                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	                                    	                      	R                   	R                     	15                      	                    	                               	                	F                   	8                        	                        	F                 	                    	                  	                    	                          	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Late Pliocene    	                 	CN12a             	              	164	 994	C	 31	X	CC	  21.00	    261.0300	Okada    	Nannofossils                                 	A              	M                 	                        	C                    	                                    	                       	                           	                     	                  	                               	                         	                         	A                        	A                      	                      	                       	F                	                      	                     	F                          	                          	                       	C                    	A                    	                     	R                  	                       	C                       	                       	R                  	                       	                     	                           	C                    	C                     	F                     	                   	                      	                       	F                 	                   	R                      	                          	                     	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	R                      	                      	                           	                 	                         	                                    	R                     	                    	R                     	A                       	                    	C                              	                	F                   	C                        	                        	                  	                    	                  	                    	R                         	                     	                   	                        	                              	                         	                        	                    	                         	                        	                    	                       	                        	                                 	                          	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C
