Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Theocorythium trachelium,Theocalyptra davisiana,Stylatractus universus,Stichocorys peregrina,Stichocorys johnsoni,Stichocorys delmontensis,Spongodiscus ambus,Spongaster tetras,Spongaster pentas,Spirocyrtis scalaris,Spirocyrtis gyroscalaris,Solenosphaera omnitubus,Siphostichartus corona,Pterocorys minythorax,Pterocorys hertwigii,Pterocanium prismatium,Pterocanium audax,Phormostichoartus doliolum,Nephrospyris renilla renilla,Lithopera bacca,Lamprocyrtis nigriniae,Lamprocyrtis neoheteroporos,Didymocyrtis penultima,Didymocyrtis avita,Didymocyrtis antepenultima,Dictyocoryne ontongensis,Collosphaera tuberosa,Collosphaera orthoconus,Collosphaera invaginata,Centrobotrys thermophila,Botryostrobus miralestensis,Botryostrobus euporus,Anthocyrtidium angulare,Androspyris huxleyi,Androspyris fenestrata,Androspyris anthropiscus,Amphirhopalum ypsilon,Acrobotrys tritubus,Comment
  SR,                 ,                 ,                  ,              ,111, 677,A, 19,X, 6, 144.00,    172.4400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,1                   ,1                       ,-                      ,-                     ,-                    ,-                   ,+                     ,-                ,+                         ,Fg1                         ,1              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 20,X, 1,  23.00,    173.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,Fg5               ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,-              ,-                     ,-                          ,3                     ,2                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 20,X,CC,  26.00,    180.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,1                       ,+                 ,-                ,2                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 21,X,CC,  15.00,    185.7200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,-                   ,+                       ,2                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,2                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 22,X,CC,  30.00,    199.7100,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,+                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,1                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,-              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 23,X, 4,  23.00,    206.8300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,2                     ,-                ,+                         ,-                           ,Fg             ,-                     ,-                          ,+                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 23,X, 4,  83.00,    207.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,2                     ,-                ,+                         ,-                           ,-              ,-                     ,-                          ,1                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 23,X, 4, 123.00,    207.8300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 23,X, 5,  74.00,    208.8400,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 23,X,CC,  30.00,    209.1600,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,1                       ,2                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,1              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 24,X, 1,  23.00,    211.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,+                ,+                         ,-                           ,-              ,-                     ,-                          ,+                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 24,X, 5, 123.00,    218.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,1                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,+                ,+                         ,-                           ,1              ,-                     ,-                          ,+                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 24,X, 6,  23.00,    219.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 24,X, 6,  83.00,    220.0300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,1                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,+                   ,-                       ,2                      ,-                     ,-                    ,-                   ,-                     ,-                ,1                         ,-                           ,+              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 24,X, 6, 123.00,    220.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,2                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,1                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 24,X,CC,  22.00,    221.2700,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,+                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 25,X,CC,  35.00,    229.0600,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,+                ,1                ,1                   ,-                       ,+                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 26,X,CC,   5.00,    239.8000,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,+                ,1                ,1                   ,+                       ,+                      ,-                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,+                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 27,X, 4,  83.00,    246.1300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,1                ,-                ,1                   ,1                       ,2                      ,-                     ,-                    ,-                   ,-                     ,3                ,1                         ,-                           ,+              ,-                     ,-                          ,1                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 27,X, 5,  83.00,    247.6300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,-                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,-                   ,-                       ,+                      ,-                     ,-                    ,-                   ,-                     ,+                ,1                         ,-                           ,-              ,-                     ,-                          ,-                     ,1                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 27,X, 6,  24.00,    248.5400,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,-                   ,-                       ,+                      ,+                     ,-                    ,-                   ,-                     ,+                ,-                         ,-                           ,-              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 27,X,CC,  31.00,    249.2200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,-                       ,+                 ,-                ,-                ,1                   ,+                       ,+                      ,1                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 28,X, 1,  83.00,    251.2300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,+                     ,+                    ,-                   ,1                       ,-                 ,-                ,-                ,-                   ,1                       ,+                      ,+                     ,-                    ,-                   ,-                     ,2                ,+                         ,-                           ,1              ,-                     ,-                          ,+                     ,+                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 28,X,CC,  38.00,    256.7800,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,+                       ,-                 ,-                ,-                ,2                   ,+                       ,+                      ,+                     ,-                    ,-                   ,-                     ,-                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,+                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 29,X,CC,  26.00,    265.5200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,+                       ,-                 ,1                ,-                ,+                   ,+                       ,+                      ,1                     ,-                    ,-                   ,-                     ,2                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,+                         ,1                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 30,X, 4,  83.00,    275.0300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,+                       ,-                 ,-                ,-                ,+                   ,+                       ,+                      ,-                     ,-                    ,-                   ,-                     ,3                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,2                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 30,X,CC,  29.00,    275.7700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,-                   ,+                       ,+                 ,-                ,-                ,-                   ,+                       ,+                      ,-                     ,-                    ,-                   ,-                     ,+                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,+                         ,-                       ,-                    ,-                      ,-                      ,1                       ,-                          ,-                    ,-                      ,-                  ,+                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 31,X, 1,  82.00,    280.1200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,+                   ,-                       ,+                 ,-                ,-                ,+                   ,+                       ,+                      ,-                     ,-                    ,-                   ,-                     ,+                ,+                         ,-                           ,-              ,-                     ,-                          ,+                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,+                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 31,X,CC,  29.00,    288.9700,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,+                   ,+                       ,-                 ,-                ,-                ,-                   ,+                       ,-                      ,-                     ,-                    ,-                   ,-                     ,2                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,+                 ,+                         ,-                       ,-                    ,-                      ,-                      ,1                       ,+                          ,-                    ,-                      ,-                  ,1                     ,-                       ,-                    ,1                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 32,X,CC,  32.00,    297.0900,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,+                   ,2                       ,+                 ,-                ,-                ,-                   ,-                       ,2                      ,-                     ,-                    ,-                   ,-                     ,+                ,+                         ,-                           ,+              ,-                     ,-                          ,+                     ,1                 ,+                         ,-                       ,-                    ,-                      ,-                      ,+                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 33,X, 3,  75.00,    302.3500,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,-                       ,-                     ,+                     ,+                    ,+                   ,-                       ,+                 ,-                ,-                ,+                   ,+                       ,+                      ,-                     ,-                    ,-                   ,-                     ,+                ,+                         ,-                           ,-              ,-                     ,-                          ,+                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,+                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A, 33,X,CC,  31.00,    306.5400,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,-                     ,-                     ,-                    ,-                   ,-                       ,-                 ,-                ,-                ,-                   ,-                       ,-                      ,-                     ,-                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,-                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
