Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotaloides suteri,Globorotalia opima nana,Globorotalia mayeri/siakensis,Globoquadrina venezuelana,Globoquadrina tripartita,Globoquadrina sellii,Globoquadrina binaiensis,Globigerina euapertura,Globigerina ciperoensis,Globigerina angulisuturalis,Dentoglobigerina globularis,Dentoglobigerina galavisi,Catapsydrax dissimilis,Globorotalia pseudokugleri,Globorotalia kugleri,Globigerinoides ruber s.l.,Clavatorella bermudezi,Globigerina praebulloides,Globoquadrina praedehiscens,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globigerinoides primordius,Globigerinita glutinata,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Dentoglobigerina altispira globosa,Globigerinoides altiaperturus,Globigerinatella insueta,Catapsydrax stainforthi,Globigerinoides bisphericus,Globorotalia praescitula,Sphaeroidinellopsis disjuncta,Globigerinoides diminutus,Globorotalia peripheroronda,Globorotaloides variabilis,Praeorbulina sicana,Praeorbulina glomerosa curva,Globorotalia peripheroacuta,Orbulina suturalis,Globorotalia scitula,Globorotalia praefohsi,Globorotalia fohsi fohsi,Globorotalia miozea,Orbulina universa,Globorotalia fohsi robusta,Globorotalia fohsi lobata,Globorotalia menardii s.l.,Sphaeroidinellopsis seminulina,Globoturborotalita nepenthes,Globigerinoides obliquus obliquus,Globorotaloides hexagona,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides obliquus extremus,Neogloboquadrina humerosa,Candeina nitida,Globigerinoides conglobatus,Pulleniatina primalis,Pulleniatina obliquiloculata,Globorotalia juanai,Globorotalia tumida tumida,Sphaeroidinella dehiscens,Globorotalia margaritae,Globorotalia tumida flexuosa,Beella digitata,Globorotalia crassaformis,Neogloboquadrina dutertrei,Globigerinoides fistulosus,Globoquadrina conglomerata,Globigerinoides elongatus,Globorotalia truncatulinoides,Globigerinella calida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 19,H, 6, 120.00,    178.6000,Vincent  ,Planktonic Foraminifers                      ,               ,P                 ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,                           ,                         ,+                     ,+?                        ,+?                  ,                          ,                      ,                         ,+                          ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 19,H,CC,  13.00,    179.6900,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+?                  ,+                       ,                      ,                       ,                           ,                           ,                         ,+                     ,+?                        ,+                   ,                          ,                      ,                         ,+                          ,+?                     ,+?                                  ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. ostracodes rare. fish remains rare. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H, 1, 120.00,    180.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,                           ,                         ,+                     ,+?                        ,+?                  ,                          ,                      ,                         ,+                          ,+?                     ,+?                                  ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H, 2, 120.00,    182.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+?                  ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,+?                        ,+                   ,                          ,                      ,                         ,+                          ,+?                     ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. sponge spicules rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H, 3, 120.00,    183.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+?                  ,+?                      ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,                    ,                          ,                      ,                         ,+                          ,+?                     ,+?                                  ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. foraminifers embedded few. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H, 4, 120.00,    185.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,+                   ,+?                        ,                      ,                         ,+                          ,                       ,                                    ,+?                        ,+                      ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians rare. sponge spicules common. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H, 5, 120.00,    186.7000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,+                   ,                          ,                      ,                         ,+                          ,                       ,+?                                  ,+?                        ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians rare. sponge spicules few. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H, 6, 120.00,    188.2000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,+                   ,                          ,                      ,                         ,+                          ,+                      ,                                    ,+?                        ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. sponge spicules common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 20,H,CC,  20.00,    189.4800,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,                           ,                         ,+                     ,+                         ,+                   ,                          ,                      ,                         ,+                          ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. radiolarians few. sponge spicules abundant. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 21,X, 1, 120.00,    190.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,                        ,                      ,                       ,                           ,                           ,                         ,+                     ,                          ,+                   ,                          ,                      ,                         ,+                          ,                       ,                                    ,+?                        ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes few. radiolarians rare. sponge spicules common. fish remains rare. calcareous aggregates rare. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 21,X, 2, 120.00,    191.8000,Vincent  ,Planktonic Foraminifers                      ,               ,P/M               ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+?                      ,                      ,                       ,                           ,+                          ,                         ,+                     ,                          ,+                   ,                          ,                      ,                         ,+                          ,+?                     ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers common. ostracodes rare. radiolarians rare. sponge spicules common. foraminifers embedded common. planktonic foraminifer fragments abundant. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 21,X, 3, 120.00,    193.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,                        ,                      ,                       ,                           ,+                          ,                         ,+                     ,+                         ,+                   ,                          ,                      ,                         ,+                          ,+?                     ,+?                                  ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. sponge spicules common. foraminifers embedded few. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 21,X, 4, 120.00,    194.8000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,                        ,                      ,                       ,                           ,+                          ,                         ,+                     ,                          ,+?                  ,                          ,                      ,                         ,+                          ,+?                     ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. sponge spicules common. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4b               ,              ,115, 709,C, 21,X, 5, 120.00,    196.3000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,+                          ,                         ,+                     ,                          ,+?                  ,                          ,                      ,                         ,+                          ,+?                     ,+?                                  ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes few. radiolarians common. sponge spicules common. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4a               ,              ,115, 709,C, 21,X, 6, 120.00,    197.8000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,+                          ,                         ,+                     ,+?                        ,                    ,                          ,                      ,                         ,+                          ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. radiolarians few.  sponge spicules common. foraminifers embedded common. planktonic foraminifer fragments common. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4a               ,              ,115, 709,C, 21,X,CC,  12.00,    198.2400,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,+                          ,                         ,+                     ,+                         ,+                   ,                          ,+?                    ,+?                       ,+                          ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians few. sponge spicules common. calcareous aggregates common. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4a               ,              ,115, 709,C, 22,X, 1, 120.00,    199.9000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,+                          ,                         ,+                     ,+?                        ,+?                  ,                          ,                      ,+?                       ,                           ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. radiolarians few. sponge spicules common. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4a               ,              ,115, 709,C, 22,X, 2, 120.00,    201.4000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,                       ,                           ,+                          ,                         ,+                     ,                          ,                    ,                          ,+?                    ,                         ,                           ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers rare. ostracodes rare. radiolarians common. sponge spicules common. calcareous aggregates rare. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,N4a               ,              ,115, 709,C, 22,X, 3, 120.00,    202.9000,Vincent  ,Planktonic Foraminifers                      ,               ,MG                ,+                     ,+                      ,+                            ,+                        ,                        ,+                   ,+                       ,                      ,+?                     ,                           ,+                          ,                         ,+                     ,+                         ,+                   ,+                         ,                      ,                         ,                           ,                       ,                                    ,                          ,                       ,                            ,                                  ,                                  ,                             ,                        ,                       ,                           ,                        ,                             ,                         ,                           ,                          ,                   ,                            ,                           ,                  ,                    ,                      ,                        ,                   ,                 ,                          ,                         ,                          ,                              ,                            ,                                 ,                        ,                            ,                    ,                          ,                         ,                         ,                                 ,                         ,               ,                           ,                     ,                            ,                   ,                          ,                         ,                       ,                            ,               ,                         ,                          ,                          ,                          ,                         ,                             ,                     ,benthic foraminifers few. ostracodes rare. radiolarians common. sponge spicules common. calcareous aggregates few. foraminifers embedded common. planktonic foraminifer fragments few. from 115 SR. Chapter 45. Table 7. pages 810-813.
