file,path,empty_rows_columns,remove_identical_rows,remove_identical_columns,add_expedition_section_cols,rename_label_id,add_sample_name
351_macroscopic_U1438B.csv,Lithology_CSV/351_macroscopic_U1438B.csv,False,False,False,False,False,False
329_sediment_U1368B.csv,Lithology_CSV/329_sediment_U1368B.csv,True,False,False,False,False,False
330_sediment_U1372A.csv,Lithology_CSV/330_sediment_U1372A.csv,False,False,False,False,True,False
368_macroscopic_U1501D.csv,Lithology_CSV/368_macroscopic_U1501D.csv,False,False,False,True,False,False
353_macroscopic_U1445A.csv,Lithology_CSV/353_macroscopic_U1445A.csv,False,False,False,True,False,False
320 Core Description_U1335B.csv,Lithology_CSV/320 Core Description_U1335B.csv,True,False,False,False,True,False
354_macroscopic_U1449A.csv,Lithology_CSV/354_macroscopic_U1449A.csv,False,False,False,True,False,False
376_macroscopic_U1528C_1.csv,Lithology_CSV/376_macroscopic_U1528C_1.csv,False,False,False,True,False,False
340_sediment_U1394B.csv,Lithology_CSV/340_sediment_U1394B.csv,False,False,False,False,True,False
366_macroscopic_U1491C.csv,Lithology_CSV/366_macroscopic_U1491C.csv,False,False,False,True,False,False
340_sediment_U1398A.csv,Lithology_CSV/340_sediment_U1398A.csv,False,False,False,False,True,False
323 Core Description Template_U1345C.csv,Lithology_CSV/323 Core Description Template_U1345C.csv,False,False,False,False,True,False
X363-U1490B-macroscopic.csv,Lithology_CSV/X363-U1490B-macroscopic.csv,False,False,False,True,False,False
340_sediment_U1401C.csv,Lithology_CSV/340_sediment_U1401C.csv,False,False,False,False,True,False
