Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rigaudella aemula	Peridictyocysta mirabilis	Oligosphaeridium sp. A	Meiourogonyaulax maculata	Meiourogonyaulax diaphanis	Leptodinium eumorphum	Egmontodinium torynum	Belodinium nereidis	Batioladinium spp.	Amphorula sp. A	Acanthaulax granulata	Wanaea spp.	Scriniodinium attadalense	Perisseiasphaeridium inusitatum	Gonyaulacysta jurassica	Fromea cylindrica	Wallodinium luna	Tubotuberella spp.	Meiourogonyaulax sp. A	Hystrichodinium group B	Dingodinium jurassicum	Ellipsoidictyum cinctum	Bourkidinium spp.	Tetrachacysta sp. A	Scriniodinium ceratophorum	Papuadinium apiculatum	Meiourogonyaulax stoveri	Prolixosphaeridium spp.	Meiourogonyaulax cf. maculatum	Sentusidinium sp. A	Pareodinia spp.	Scriniodinium crystallinum	Tanyosphaeridium spp.	Nannoceratopsis pellucida	Systematophora areolata	Leptodinium mirabile	Amphorula? sp. B	Hystrichodinium group A	Wallodinium spp.	Canninginopsis tabulata	Dissimulidinium lobispinosum	Scriniodinium playfordii	Tetrachacysta sp. B	Stiphrosphaeridium anthophorum	Pareodinia robusta	Liesbergia sp. A	Oligosphaeridium diluculum	Batioladinium reticulatum	Balcattia sp. A	Apteodinium granulatum	Dapsilidinium warrenii	Cassiculosphaeridia magna	Circulodinium deflandrei	Comment

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 37	R	 2	  48.00	    943.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	+               	                  	                      	+                      	                      	                       	+                	+                  	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 37	R	 3	  48.00	    945.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	+                     	+                        	                          	                     	+                    	                   	                  	               	                     	           	+                        	                               	                       	                 	+               	+                 	                      	                       	                      	                       	+                	+                  	                          	                      	+                       	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	+               	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 37	R	 4	  48.00	    946.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	+               	                  	                      	                       	                      	                       	+                	+                  	+r                        	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 37	R	 5	  48.00	    948.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	                          	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	+                	+               	+                 	                      	                       	                      	                       	                 	+                  	                          	                      	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 37	R	 6	  48.00	    949.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	+                        	+                              	                       	                 	+               	                  	                      	                       	+                     	                       	+                	+                  	                          	+                     	                        	                       	+                             	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 38	R	 1	  45.00	    951.5500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	                          	+                    	                     	+                  	+                 	               	                     	           	+                        	                               	                       	                 	+               	+                 	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	+                             	+                  	               	                          	                     	+                        	                       	                    	                	+                      	+               	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bi               	              	122	 763	C	 38	R	 2	  49.00	    953.0900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	+                 	               	                     	           	                         	                               	                       	                 	+               	                  	                      	                       	                      	+                      	+                	+                  	                          	+                     	+                       	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	+                           	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 38	R	 3	  46.00	    954.5600	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	+               	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 38	R	 4	  49.00	    956.0900	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	                     	+                    	                   	+                 	               	                     	           	                         	+                              	                       	                 	+               	+                 	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	+                             	                   	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 38	R	 5	  47.00	    957.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	                          	+                    	                     	                   	+                 	               	                     	           	+                        	+                              	+r                     	                 	                	+                 	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	+                             	                   	               	                          	+                    	+                        	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 38	R	 6	  45.00	    959.0500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	+                         	                     	                     	                   	+                 	               	                     	+r         	+                        	+                              	+r                     	                 	+               	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	+                             	                   	               	                          	                     	+                        	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 38	R	 7	  45.00	    960.5500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	                   	+r                        	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 39	R	 1	  48.00	    961.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	                         	                      	+                        	+                         	                     	+                    	                   	+                 	               	                     	           	                         	                               	                       	                 	                	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 39	R	 2	  48.00	    962.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	+                              	                       	                 	+               	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 39	R	 3	  48.00	    964.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	                   	+                 	               	                     	           	+                        	                               	                       	                 	                	                  	                      	+                      	+                     	                       	+                	                   	+r                        	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 39	R	 4	  48.00	    965.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	+                         	+                    	                     	                   	+                 	               	                     	+r         	                         	                               	+r                     	                 	+               	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	+                             	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 39	R	 5	  48.00	    967.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	+                        	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	+                              	                       	                 	+               	                  	+                     	                       	                      	                       	+                	                   	                          	                      	                        	                       	+                             	+                  	+              	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 39	R	 6	  48.00	    968.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	+                     	                         	+                         	+                    	                     	                   	+                 	               	                     	           	+                        	+                              	                       	                 	+               	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	+               	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 1	  48.00	    980.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	                     	                     	                   	+                 	               	                     	+r         	+                        	                               	+r                     	+                	+               	                  	                      	                       	+                     	                       	+                	                   	+r                        	+                     	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 2	  48.00	    981.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	                     	                     	                   	+                 	               	                     	           	+                        	+                              	                       	                 	+               	                  	+                     	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	               	                          	+                    	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 2	 105.00	    982.1500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	                   	                  	               	                     	           	+                        	+                              	+r                     	+                	+               	                  	+                     	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	                   	+              	                          	                     	                         	                       	                    	+               	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 3	  48.00	    983.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	+                    	                     	                   	                  	+              	                     	           	+                        	+                              	+r                     	                 	+               	                  	+                     	                       	+                     	+                      	+                	                   	+r                        	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	+               	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 4	  48.00	    984.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	+                    	                     	                   	+                 	+              	                     	           	+                        	+                              	                       	+                	                	                  	+                     	                       	                      	                       	+                	                   	                          	+                     	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 5	  48.00	    986.0800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	+                    	                     	+                  	+                 	               	                     	           	+                        	+                              	                       	+                	+               	                  	                      	                       	                      	                       	+                	+                  	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 41	R	 6	  48.00	    987.5800	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	+                    	                     	                   	+                 	+              	                     	           	+                        	+                              	                       	+                	+               	                  	                      	                       	                      	                       	                 	                   	                          	                      	                        	                       	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 42	R	 1	  47.00	    989.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	                          	                     	                     	+                  	                  	               	                     	           	+                        	+                              	                       	+                	+               	                  	+                     	                       	                      	                       	+                	+                  	+r                        	                      	                        	+                      	                              	                   	               	                          	                     	                         	                       	                    	+               	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 42	R	 2	  45.00	    990.9500	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	+                        	+                         	+                    	                     	+                  	                  	               	                     	           	+                        	+                              	                       	                 	+               	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	                         	                       	                    	+               	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 42	R	 3	  57.00	    992.5700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	                         	                          	+                    	                     	+                  	+                 	               	                     	           	                         	+                              	                       	                 	+               	+                 	                      	+                      	                      	                       	+                	                   	                          	                      	                        	+                      	                              	                   	               	                          	                     	                         	                       	                    	                	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 42	R	 4	 102.00	    994.5200	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                	+                        	                      	+                        	                          	                     	                     	+                  	                  	               	                     	           	+                        	                               	                       	                 	+               	                  	+                     	                       	                      	                       	+                	                   	                          	                      	                        	                       	                              	+                  	               	                          	                     	+                        	                       	                    	+               	+                      	+               	+                      	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 42	R	 5	  47.00	    995.4700	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	                          	+                    	                     	                   	                  	               	                     	           	                         	+                              	                       	                 	+               	                  	+                     	+                      	                      	                       	+                	                   	+r                        	                      	                        	                       	                              	                   	               	+r                        	                     	                         	                       	                    	+               	+                      	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513

  SR	Berriasian       	                 	4bii              	              	122	 763	C	 43	R	 1	  50.00	    999.1000	Brenner  	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                 	+                        	                      	                         	+                         	+                    	                     	+                  	                  	               	                     	           	+                        	+                              	+r                     	                 	+               	                  	                      	                       	                      	                       	+                	                   	                          	                      	                        	+                      	                              	                   	               	                          	                     	                         	                       	                    	                	                       	                	                       	                            	                        	                   	                              	                  	                	                          	                         	               	                      	                      	                         	                        	from ODP Leg 122 SR Chapter 31 Figure 5 p 516-521 & Fig 2 p 513
