Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus milowii	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus compactus	Ericsonia obruta	Discoaster variabilis	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Sphenolithus conicus	Helicosphaera intermedia	Hayaster perplexus	Coronocyclus nitescens	Coccolithus streckerii	Reticulofenestra minuta	Reticulofenestra haqii	Helicosphaera granulata	Pontosphaera spp.	Discoaster exilis	Reticulofenestra minutula	Discoaster adamanteus	Cyclolithella annula	Reticulofenestra pseudoumbilica	Reticulofenestra gelida	Triquetrorhabdulus rugosus	Calcidiscus premacintyrei	Coccolithus eopelagicus	Tetralithoides symeonidesii	Discoaster spp.	Discoaster druggii	Sphenolithus abies	Discoaster moorei	Dictyococcites productus	Sphenolithus belemnos	Sphenolithus heteromorphus	Discoaster formosus	Solidopons petrae	Scyphosphaera spp.	Helicosphaera carteri	Discoaster brouweri	Discoaster kugleri	Discoaster calcaris	Discoaster braarudii	Discoaster neohamatus	Discoaster triradiatus	Discoaster challengeri	Catinaster coalitus	Discoaster surculus	Discoaster pseudovariabilis	Discoaster hamatus	Discoaster bellus	Catinaster calyculus	Discoaster prepentaradiatus	Discoaster pentaradiatus	Discoaster neorectus	Discoaster loeblichii	Discoaster berggrenii	Discoaster quinqueramus	Helicosphaera wallichii	Discoaster asymmetricus	Sphenolithus grandis	Amaurolithus primus	Discoaster pansus	Discoaster blackstockae	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster intercalaris	Reticulofenestra asanoi	Ceratolithus acutus	Umbilicosphaera sibogae	Syracosphaera pulchra	Helicosphaera neogranulata	Ceratolithus rugosus	Amaurolithus tricorniculatus	Scapholithus fossilis	Helicosphaera sellii	Oolithotus fragilis	Discoaster tristellifer	Pseudoemiliania lacunosa	Discoaster quadramus	Catinaster altus	Gephyrocapsa sp. (small)	Gephyrocapsa aperta	Discoaster decorus	Discoaster tamalis	Comment

  SR	                 	                 	NN9               	              	130	 805	B	 30	X	 3	  23.00	    276.1300	Takayama 	Nannofossils                                 	               	                  	                          	                            	1                      	                       	                    	                      	                	3                    	                     	                           	24                   	1                       	12                    	9                     	                    	                        	1                 	                      	                      	                       	                      	T                      	                 	?                	                         	                     	T                   	11                             	127                    	5                         	                         	                       	                           	               	                  	2                 	                 	                        	                     	                          	                   	                 	                  	                     	?                  	                  	T                  	                    	?                    	                      	?                     	T                  	                   	                           	T                 	3                	?                   	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN9               	              	130	 805	B	 30	X	CC	  25.00	    282.0000	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	5                     	                	2                    	                     	                           	2                    	1                       	7                     	10                    	                    	                        	3                 	                      	                      	                       	3                     	1                      	                 	T                	1                        	                     	1                   	23                             	127                    	3                         	3                        	                       	                           	               	                  	2                 	                 	                        	                     	                          	                   	                 	                  	                     	                   	                  	?                  	                    	                     	                      	?                     	1                  	?                  	T                          	T                 	1                	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 4.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN8               	              	130	 805	B	 31	X	 3	  23.00	    285.7300	Takayama 	Nannofossils                                 	               	                  	                          	                            	3                      	                       	                    	2                     	                	2                    	                     	                           	18                   	4                       	6                     	17                    	                    	                        	T                 	?                     	1                     	                       	8                     	1                      	                 	T                	8                        	                     	1                   	22                             	101                    	1                         	1                        	                       	                           	               	                  	2                 	                 	                        	                     	                          	                   	                 	T                 	T                    	                   	                  	1                  	                    	                     	?                     	?                     	T                  	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 31	X	CC	  12.00	    291.4900	Takayama 	Nannofossils                                 	               	                  	                          	                            	T                      	                       	                    	                      	                	3                    	                     	                           	38                   	7                       	16                    	5                     	                    	                        	T                 	                      	2                     	                       	2                     	1                      	                 	                 	                         	                     	1                   	12                             	101                    	4                         	T                        	                       	                           	               	                  	8                 	                 	                        	                     	                          	                   	                 	                  	                     	                   	                  	                   	                    	?                    	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 32	X	 3	  23.00	    295.4300	Takayama 	Nannofossils                                 	               	                  	                          	                            	2                      	                       	                    	2                     	                	13                   	                     	                           	25                   	4                       	11                    	2                     	                    	                        	T                 	?                     	T                     	                       	8                     	T                      	                 	T                	                         	                     	T                   	9                              	106                    	4                         	T                        	                       	                           	1              	                  	10                	                 	                        	                     	                          	                   	                 	T                 	                     	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 3.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 32	X	CC	  26.00	    299.4100	Takayama 	Nannofossils                                 	               	                  	                          	                            	3                      	                       	                    	T                     	                	3                    	?                    	                           	12                   	2                       	4                     	19                    	                    	                        	T                 	                      	1                     	1                      	24                    	4                      	                 	1                	3                        	1                    	2                   	33                             	57                     	2                         	                         	                       	                           	1              	                  	4                 	                 	1                       	                     	                          	                   	                 	T                 	4                    	?                  	                  	T                  	?                   	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 18.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 33	X	 3	  23.00	    304.6300	Takayama 	Nannofossils                                 	               	                  	                          	                            	T                      	                       	                    	                      	                	7                    	1                    	                           	27                   	7                       	3                     	6                     	                    	                        	T                 	                      	?                     	                       	2                     	3                      	                 	3                	6                        	                     	                    	36                             	83                     	6                         	T                        	                       	                           	4              	                  	4                 	                 	1                       	                     	                          	                   	                 	                  	                     	                   	?                 	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 33	X	CC	  13.00	    310.3300	Takayama 	Nannofossils                                 	               	                  	                          	                            	                       	                       	                    	                      	                	?                    	3                    	                           	24                   	7                       	3                     	10                    	                    	                        	1                 	T                     	T                     	                       	40                    	1                      	T                	1                	12                       	                     	2                   	19                             	60                     	T                         	4                        	                       	                           	2              	                  	5                 	                 	                        	                     	                          	                   	                 	1                 	                     	                   	2                 	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 3.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 34	X	 3	  23.00	    314.2300	Takayama 	Nannofossils                                 	               	                  	                          	                            	3                      	                       	                    	5                     	                	8                    	1                    	                           	23                   	19                      	5                     	12                    	                    	                        	3                 	T                     	T                     	1                      	8                     	3                      	                 	T                	5                        	?                    	                    	23                             	57                     	4                         	4                        	                       	                           	2              	                  	4                 	                 	5                       	                     	                          	                   	                 	T                 	                     	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 5.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 34	X	CC	  24.00	    318.7400	Takayama 	Nannofossils                                 	               	                  	                          	                            	T                      	                       	                    	1                     	                	4                    	2                    	1                          	63                   	27                      	1                     	3                     	                    	                        	T                 	T                     	1                     	                       	5                     	4                      	                 	?                	5                        	                     	                    	23                             	50                     	5                         	T                        	                       	                           	               	                  	1                 	                 	1                       	                     	                          	                   	                 	                  	3                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN6               	NN7           	130	 805	B	 35	X	 3	  23.00	    323.7300	Takayama 	Nannofossils                                 	               	                  	                          	?                           	8                      	                       	                    	2                     	                	1                    	T                    	2                          	14                   	3                       	1                     	5                     	                    	                        	T                 	T                     	1                     	13                     	21                    	6                      	                 	?                	9                        	1                    	?                   	37                             	61                     	?                         	1                        	                       	                           	1              	                  	5                 	                 	4                       	                     	                          	                   	                 	T                 	3                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 35	X	CC	  27.00	    328.2700	Takayama 	Nannofossils                                 	               	                  	                          	                            	2                      	                       	                    	2                     	                	8                    	3                    	4                          	10                   	6                       	T                     	10                    	                    	                        	T                 	T                     	T                     	9                      	89                    	2                      	1                	?                	2                        	                     	T                   	11                             	16                     	2                         	T                        	                       	                           	4              	                  	5                 	                 	5                       	                     	3                         	                   	                 	                  	                     	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 6.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 36	X	 3	  23.00	    333.2300	Takayama 	Nannofossils                                 	               	                  	                          	                            	6                      	                       	                    	2                     	                	3                    	?                    	3                          	4                    	3                       	T                     	T                     	1                   	                        	T                 	T                     	T                     	2                      	83                    	4                      	T                	?                	5                        	?                    	?                   	24                             	36                     	3                         	2                        	                       	                           	               	                  	2                 	                 	                        	                     	5                         	                   	                 	T                 	6                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 6.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 36	X	CC	  12.00	    337.8700	Takayama 	Nannofossils                                 	               	                  	                          	                            	14                     	                       	                    	3                     	                	6                    	11                   	9                          	29                   	6                       	T                     	9                     	                    	                        	                  	T                     	T                     	7                      	32                    	2                      	                 	2                	12                       	                     	?                   	23                             	10                     	2                         	2                        	                       	                           	3              	?                 	                  	                 	1                       	                     	8                         	                   	                 	T                 	3                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 6.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 37	X	 3	  22.00	    342.9200	Takayama 	Nannofossils                                 	               	                  	                          	1                           	9                      	                       	                    	2                     	                	?                    	3                    	39                         	20                   	5                       	                      	4                     	?                   	                        	2                 	1                     	1                     	                       	9                     	3                      	                 	T                	21                       	                     	10                  	18                             	18                     	T                         	8                        	                       	T                          	1              	1                 	1                 	1                	1                       	                     	19                        	                   	                 	                  	1                    	1                  	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 37	X	CC	  21.00	    348.0800	Takayama 	Nannofossils                                 	               	                  	                          	                            	6                      	                       	                    	5                     	                	1                    	T                    	36                         	17                   	2                       	1                     	2                     	?                   	                        	1                 	2                     	1                     	2                      	17                    	2                      	                 	2                	26                       	                     	3                   	11                             	8                      	1                         	14                       	                       	1                          	4              	1                 	3                 	                 	1                       	                     	26                        	                   	                 	                  	1                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 3.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 38	X	 3	  23.00	    352.6300	Takayama 	Nannofossils                                 	               	                  	                          	                            	4                      	                       	                    	1                     	                	6                    	3                    	7                          	16                   	10                      	2                     	1                     	2                   	                        	1                 	3                     	                      	1                      	1                     	2                      	                 	16               	41                       	                     	?                   	7                              	20                     	5                         	4                        	                       	2                          	8              	3                 	3                 	                 	                        	                     	31                        	                   	                 	                  	T                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 38	X	CC	  20.00	    356.8800	Takayama 	Nannofossils                                 	               	                  	                          	3                           	10                     	                       	                    	5                     	2               	12                   	6                    	2                          	27                   	5                       	1                     	2                     	3                   	                        	3                 	                      	                      	                       	15                    	1                      	                 	17               	12                       	1                    	2                   	8                              	4                      	6                         	4                        	                       	                           	14             	4                 	2                 	                 	                        	                     	26                        	1                  	                 	                  	1                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 39	X	 3	  23.00	    362.2300	Takayama 	Nannofossils                                 	               	                  	2                         	                            	11                     	                       	                    	8                     	                	5                    	13                   	9                          	13                   	3                       	1                     	3                     	18                  	                        	1                 	T                     	                      	                       	15                    	1                      	                 	14               	31                       	                     	                    	3                              	2                      	5                         	3                        	                       	                           	11             	3                 	2                 	                 	                        	                     	22                        	                   	                 	                  	T                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 16.pages 208-213.

  SR	                 	                 	NN4               	NN5           	130	 805	B	 39	X	CC	  24.00	    367.9500	Takayama 	Nannofossils                                 	               	                  	?                         	                            	9                      	                       	                    	5                     	1               	6                    	8                    	18                         	17                   	7                       	3                     	15                    	3                   	1                       	T                 	1                     	                      	3                      	20                    	1                      	                 	1                	18                       	                     	                    	3                              	8                      	1                         	10                       	                       	6                          	2              	                  	1                 	                 	                        	                     	26                        	2                  	1                	T                 	1                    	                   	                  	                   	                    	                     	                      	                      	                   	                   	                           	                  	                 	                    	                           	                        	                    	                     	                     	                       	                       	                       	                    	                   	                 	                       	                      	                       	                       	                       	                   	                       	                     	                          	                    	                            	                     	                    	                   	                       	                        	                    	                	                        	                   	                  	                  	Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 16.pages 208-213.
