Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name
363-U1484A-5H-8-A,14,138.0,42.18,43.42,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,8,A,,,,
363-U1484A-5H-CC-A,0,38.0,43.42,43.8,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 4/1 (dark greenish gray),moderate [DB86],,,,,,gas expansion cracks; cm-scale sand layers,,,,,,,,,,,,,363,U1484,A,5,H,CC,A,,,,
363-U1484A-6H-1-A,0,47.0,43.0,43.47,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,gas expansion cracks,,,,,,,,,,,,,363,U1484,A,6,H,1,A,,,,
363-U1484A-6H-2-A,0,6.0,43.47,43.53,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,"gas expansion cracks, shell fragments, thin sand layers throughout cm-scale and smaller; sand layer bottom contacts sharp",,,,,,,,,,,,,363,U1484,A,6,H,2,A,,,,
363-U1484A-6H-2-A,6,16.0,43.53,43.63,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,6,H,2,A,,,,
363-U1484A-6H-2-A,16,78.0,43.63,44.25,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,"gas expansion cracks, shell fragments, thin sand layers throughout cm-scale and smaller; sand layer bottom contacts sharp",,,,,,,,,,,,,363,U1484,A,6,H,2,A,,,,
363-U1484A-6H-2-A,78,90.0,44.25,44.37,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,6,H,2,A,,,,
363-U1484A-6H-2-A,90,112.0,44.37,44.59,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,"gas expansion cracks, shell fragments, thin sand layers throughout cm-scale and smaller; sand layer bottom contacts sharp",,,,,,,,,,,,,363,U1484,A,6,H,2,A,,,,
363-U1484A-6H-3-A,0,13.0,44.59,44.72,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,"gas expansion cracks, shell fragments, thin sand layers throughout cm-scale and smaller; sand layer bottom contacts sharp",,,,,,,,,,,,,363,U1484,A,6,H,3,A,,,,
363-U1484A-6H-3-A,13,18.0,44.72,44.77,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,6,H,3,A,,,,
363-U1484A-6H-3-A,18,22.0,44.77,44.81,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,"gas expansion cracks, shell fragments, thin sand layers throughout cm-scale and smaller; sand layer bottom contacts sharp",,,,,,,,,,,,,363,U1484,A,6,H,3,A,,,,
363-U1484A-6H-3-A,22,26.0,44.81,44.85,,sand [Leg210],sand,,N 4 (dark gray),moderate [DB86],,,,,,sand,,,,,,,,,,,,,363,U1484,A,6,H,3,A,,,,
363-U1484A-6H-3-A,26,132.0,44.85,45.91,foraminifer-bearing nannofossil-rich [X363],clay [Leg210],foraminifer-bearing nannofossil-rich clay,,5GY 3/1 (very dark greenish gray),moderate [DB86],,,,,,"gas expansion cracks, shell fragments, thin sand layers throughout cm-scale and smaller; sand layer bottom contacts sharp",,,,,,,,,,,,,363,U1484,A,6,H,3,A,,,,
