Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1451A-23H-2-A,0,130,122.7,124,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-23H-2-A,0,130,122.7,124,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-23H-3-A,0,34,124,124.34,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-23H-3-A,0,34,124,124.34,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-23H-4-A,0,149,124.34,125.83,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,green,,,thick bed [B01],silt [Leg210],lamina [M&W53],,,mottling [BJ80],,,,,,,
354-U1451A-23H-5-A,0,22,125.83,126.05,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,green,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,mottling [BJ80],,,,,,,
354-U1451A-23H-5-A,34,111,126.17,126.94,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,green,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,mottling [BJ80],,,,,,,
354-U1451A-23H-6-A,0,90,126.94,127.84,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,bioturbated,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-23H-6-A,0,90,126.94,127.84,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-23H-6-A,90,100,127.84,127.94,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,
354-U1451A-23H-6-A,100,125,127.94,128.19,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,green,bioturbated,,,,,,,burrows,,,,,,,
354-U1451A-23H-6-A,125,133,128.19,128.27,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,inclined,,,,,,burrows,,,,,,,
354-U1451A-23H-6-A,133,148,128.27,128.42,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,bioturbated,,,,,,,burrows,,,,,,,
354-U1451A-23H-6-A,148,150,128.42,128.44,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1451A-23H-7-A,0,9,128.44,128.53,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,burrows,,,,,,,
354-U1451A-23H-7-A,9,21,128.53,128.65,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,green,bioturbated,,,,,,,burrows,,,,,,,
354-U1451A-23H-7-A,21,27,128.65,128.71,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,burrows,,,,,,,
354-U1451A-23H-7-A,27,44,128.71,128.88,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light green,bioturbated,,,,,,,burrows,,,,,,,
354-U1451A-23H-7-A,44,58,128.88,129.02,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,
354-U1451A-23H-7-A,58,78,129.02,129.22,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light green,bioturbated,,,,,,,burrows,,,,,,,
354-U1451A-23H-7-A,58,78,129.02,129.22,,,,,,,,,,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-23H-7-A,78,106,129.22,129.5,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],sand [Leg210],lamina [M&W53],,,mottling [BJ80],,,,,,,
354-U1451A-23H-7-A,106,110,129.5,129.54,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light green,bioturbated,,,,,,,burrows,,,,,,,
354-U1451A-23H-8-A,0,52,129.54,130.06,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light green,,,,,,,,,"ooze mixed with clay, drilling disturbance.",,,,,,
354-U1451A-23H-CC-A,0,15,130.06,130.21,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,green,,,,,,,,,"ooze mixed with clay, drilling disturbance.",,,,,,
354-U1451A-24H-1-A,0,29,131,131.29,,,calcareous clay [Leg210],,calcareous clay,calcareous clay,calcareous clay,,light gray,,,,,,,,,,,,breccia of ooze and clay caused by drilling disturbance,,,
354-U1451A-24H-1-A,33,87,131.33,131.87,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-1-A,87,150,131.87,132.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-1-A,87,150,131.87,132.5,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-24H-2-A,0,7,132.5,132.57,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,bioturbated,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-2-A,7,20,132.57,132.7,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-2-A,20,35,132.7,132.85,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,lamina [M&W53],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-24H-2-A,35,150,132.85,134,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-3-A,0,100,134,135,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-3-A,0,100,134,135,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-24H-4-A,0,100,135,136,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-4-A,0,100,135,136,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-24H-5-A,0,150,136,137.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-5-A,0,150,136,137.5,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-24H-6-A,0,54,137.5,138.04,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-24H-6-A,0,54,137.5,138.04,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-25H-1-A,0,150,140.5,142,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-2-A,0,150,142,143.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-3-A,0,137,143.5,144.87,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-3-A,137,150,144.87,145,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-4-A,0,150,145,146.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-5-A,0,150,146.5,148,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-6-A,0,150,148,149.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-7-A,0,56,149.5,150.06,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-25H-CC-A,0,33,150.06,150.39,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-1-A,0,150,150,151.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-2-A,0,58,151.41,151.99,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-3-A,0,109,151.99,153.08,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-4-A,0,30,153.08,153.38,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-4-A,30,35,153.38,153.43,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,brown,,,,,,,,,,,,,,,
354-U1451A-26H-4-A,41,150,153.49,154.58,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-5-A,0,150,154.58,156.08,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-6-A,0,73,156.08,156.81,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-26H-CC-A,0,9,156.81,156.9,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-27H-1-A,0,72,159.5,160.22,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,bioturbated,,,,,,,,,,,,,,
354-U1451A-27H-1-A,72,77,160.22,160.27,,,silt [Leg210],,silt,silt,silt,,greenish gray,sharp irregular,horizontal,,,,,,parallel lamination,,,,,,,
354-U1451A-27H-1-A,72,77,160.22,160.27,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-27H-1-A,77,150,160.27,161,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-27H-2-A,0,13,161,161.13,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light green,bioturbated,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-27H-2-A,13,37,161.13,161.37,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,dark green,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-27H-2-A,37,117,161.37,162.17,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-27H-3-A,0,145,162.17,163.62,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-27H-4-A,0,110,163.62,164.72,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,The lower part was disturbed by cutting with saw,,,
354-U1451A-27H-4-A,0,110,163.62,164.72,,,,,,,,,,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-27H-5-A,0,17,164.72,164.89,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,light green,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,
354-U1451A-27H-5-A,17,137,164.89,166.09,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,burrows,,,,,,,
354-U1451A-27H-5-A,137,145,166.09,166.17,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,,,burrows,,,,,,,
354-U1451A-27H-6-A,0,150,166.22,167.72,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-27H-7-A,0,65,167.72,168.37,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-28H-1-A,0,150,169,170.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-1-A,0,150,169,170.5,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-28H-2-A,0,150,170.5,172,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-2-A,0,150,170.5,172,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-28H-3-A,0,13,172,172.13,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,gradational,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-3-A,0,13,172,172.13,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-28H-3-A,13,25,172.13,172.25,,nannofossil rich,calcareous clay [Leg210],with ash [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with ash,calcareous clay with ash,,light gray,gradational,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-3-A,25,150,172.25,173.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-3-A,25,150,172.25,173.5,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-28H-4-A,0,95,173.5,174.45,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-4-A,0,95,173.5,174.45,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-28H-4-A,95,112,174.45,174.62,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,green,sharp planar,horizontal,,,,T,,,,,,,,,
354-U1451A-28H-4-A,112,132,174.62,174.82,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-4-A,132,139,174.82,174.89,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,green,sharp planar,horizontal,,,,T,,,,,,,,,
354-U1451A-28H-4-A,139,150,174.89,175,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,white,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-5-A,0,30,175,175.3,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-28H-5-A,30,70,175.3,175.7,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,sharp irregular,sub-horizontal,thin bed [B01],clay [Leg210],thin bed [B01],T?,,mottling [BJ80],,,,,,,
354-U1451A-28H-5-A,70,80,175.7,175.8,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark gray,,,,,,T,,,,,,,,,
354-U1451A-28H-CC-A,0,9,175.8,175.89,,,calcareous clay [Leg210],with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark gray,,,,,,T,,,,,,,,,
354-U1451A-29H-1-A,0,130,178.5,179.8,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-1-A,0,130,178.5,179.8,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-29H-2-A,0,16,179.8,179.96,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp irregular,sub-vertical,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-2-A,0,16,179.8,179.96,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-29H-2-A,16,93,179.96,180.73,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-3-A,0,11,180.73,180.84,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,sharp planar,sub-horizontal,,,,H,,color banding,,,,,,,
354-U1451A-29H-3-A,0,11,180.73,180.84,,,,,,,,,,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-29H-3-A,11,46,180.84,181.19,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,sub-horizontal,,,,T,,color banding,,,,,,,
354-U1451A-29H-3-A,46,58,181.19,181.31,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,dark gray,sharp planar,sub-horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,very thin to thin beds with silt lamina,,,
354-U1451A-29H-3-A,58,68,181.31,181.41,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-29H-3-A,68,107,181.41,181.8,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,dark gray,sharp planar,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-4-A,0,18,181.8,181.98,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-4-A,18,21,181.98,182.01,,silty [Leg339],calcareous clay [Leg210],,silty calcareous clay,silty calcareous clay,calcareous clay,,gray,sharp irregular,sub-horizontal,,,,H,,,,,,,,,
354-U1451A-29H-4-A,21,84,182.01,182.64,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,sharp irregular,horizontal,,,,H,,mottling [BJ80],,,,laminated silt layer at 54 cm,,,
354-U1451A-29H-5-A,0,60,182.64,183.24,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-6-A,0,12,183.24,183.36,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,sharp planar,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-6-A,12,24,183.36,183.48,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-6-A,24,150,183.48,184.74,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,H,,mottling [BJ80],,,,"gray-topped, mostly white ooze layer",,,
354-U1451A-29H-7-A,0,136,184.74,186.1,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-29H-8-A,0,91,186.1,187.01,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,gray flow-in disturbance throughout,,,
354-U1451A-29H-CC-A,0,59,187.01,187.6,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,gray flow-in disturbance throughout,,,
354-U1451A-30H-1-A,0,36,188,188.36,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-30H-2-A,0,12,188.36,188.48,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,gray,sharp irregular,horizontal,,,,H,,,,,,,,,
354-U1451A-30H-2-A,12,23,188.48,188.59,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,mud clast,,,,,,,
354-U1451A-30H-2-A,12,23,188.48,188.59,,,,,,,,,,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-30H-2-A,23,27,188.59,188.63,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,wavy strata,,,,"silty clay, laminae structure visible but wavy",,,
354-U1451A-30H-2-A,27,150,188.63,189.86,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,gray,,,medium bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,
354-U1451A-30H-3-A,0,47,189.86,190.33,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,gray,sharp planar,horizontal,,,,T,,,,,,,,,
354-U1451A-30H-3-A,47,136,190.33,191.22,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,gray,sharp planar,sub-horizontal,,,,T,,,,,,,,,
354-U1451A-30H-3-A,136,150,191.22,191.36,,silty [Leg339],clay [Leg210],with mica,silty clay,silty clay with mica,clay with mica,,gray,,,,,,T,,,,,,,,,
354-U1451A-30H-4-A,0,31,191.36,191.67,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,
354-U1451A-30H-4-A,31,72,191.67,192.08,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,sharp planar,horizontal,very thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-30H-4-A,72,150,192.08,192.86,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,,,,
354-U1451A-30H-5-A,0,150,192.86,194.36,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,drilling disturbance throuhout,,,
354-U1451A-30H-6-A,0,131,194.36,195.67,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,drilling disturbance throuhout,,,
354-U1451A-30H-7-A,0,64,195.67,196.31,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,drilling disturbance throuhout,,,
354-U1451A-30H-8-A,0,39,196.31,196.7,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,drilling disturbance throuhout,,,
354-U1451A-30H-CC-A,0,49,196.7,197.19,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,dark gray,,,,,,,,,,,,drilling disturbance throuhout,,,
354-U1451A-31F-1-A,0,105,197.5,198.55,,silty [Leg339],clay [Leg210],,silty clay,silty clay,clay,,gray,sharp planar,sub-horizontal,very thin bed [B01],silt [Leg210],lamina [M&W53],T,,,,,,,,,
