Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data
374-U1524A-13H-4-A,135,147,114.28,114.4,diatom rich,mud,,diatom rich mud,burrows,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-13H-5-A,0,65,114.4,115.05,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-13H-5-A,3,4,114.43,114.44,,,,,burrows,,,,,,,,,,,,,,,
374-U1524A-13H-5-A,65,81,115.05,115.21,diatom rich,mud,,diatom rich mud,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-13H-5-A,81,95,115.21,115.35,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-13H-5-A,95,107,115.35,115.47,diatom rich,mud,,diatom rich mud,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-13H-5-A,107,118,115.47,115.58,diatom rich,interbedded silt(stone) and mud(stone) [McKW53],,diatom rich interbedded silt(stone) and mud(stone),interlamination,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,mm- to cm- scale Interlamination of greenish mud and olive silt/sand mud.,,,
374-U1524A-13H-5-A,118,146,115.58,115.86,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-13H-6-A,0,70,115.86,116.56,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,"Faintly laminated with common lense/pods or dark silt/sands at 56, 61, 80-84, 101-102, 125-127, and 138-139 cm.",,,
374-U1524A-13H-6-A,70,75,116.56,116.61,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-13H-6-A,75,120,116.61,117.06,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,Faintly laminated with common lense/pods or dark silt/sands.,,,
374-U1524A-13H-6-A,120,127,117.06,117.13,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-13H-6-A,127,148,117.13,117.34,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,,,Faintly laminated with common lense/pods or dark silt/sands.,,,
374-U1524A-13H-7-A,0,35,117.34,117.69,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),slight [DB86],1,,,,,,,sharp boundary or contact,,Faint lamination with common dark sand laminae.,,,
374-U1524A-13H-7-A,35,40,117.69,117.74,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 43 cm.,,,
374-U1524A-13H-7-A,40,51,117.74,117.85,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-13H-7-A,51,64,117.85,117.98,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,lonestone,gradational boundary or contact,,Lonestone at 43 cm.,,,
374-U1524A-13H-7-A,64,68,117.98,118.02,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-13H-7-A,68,85,118.02,118.19,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,burrows,GLEY 1 6/5GY (greenish gray),heavy [DB86],3,,,,,,,gradational boundary or contact,,,,,
374-U1524A-13H-7-A,85,100,118.19,118.34,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-13H-CC-A,0,23,118.34,118.57,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-14H-1-A,0,10,118,118.1,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-1-A,0,150,118,119.5,,,,,lamination,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-14H-1-A,0,150,118,119.5,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-14H-1-A,10,29,118.1,118.29,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-1-A,29,37,118.29,118.37,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-14H-1-A,37,46,118.37,118.46,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-1-A,46,60,118.46,118.6,sandy,diatom ooze,with dispersed clasts,sandy diatom ooze with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-1-A,60,85,118.6,118.85,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-14H-1-A,85,107,118.85,119.07,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-1-A,107,140,119.07,119.4,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-14H-1-A,140,150,119.4,119.5,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-14H-2-A,0,151,119.5,121.01,diatom rich,mud,,diatom rich mud,lamination,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-14H-2-A,0,151,119.5,121.01,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-14H-2-A,0,151,119.5,121.01,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-14H-3-A,0,20,121.01,121.21,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-3-A,0,152,121.01,122.53,,,,,lamination,,heavy [DB86],3,,,,,,lonestone,,,Lonestones at 79-82,,,
374-U1524A-14H-3-A,0,152,121.01,122.53,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-14H-3-A,20,115,121.21,122.16,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-3-A,115,152,122.16,122.53,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-4-A,0,52,122.53,123.05,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-14H-4-A,0,55,122.53,123.08,,,,,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-14H-4-A,0,151,122.53,124.04,,,,,lamination,,,,,,,,,lonestone,,,Lonestones at 72,,,
374-U1524A-14H-4-A,0,151,122.53,124.04,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-14H-4-A,52,81,123.05,123.34,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,,,,,,,,,,,,,,,
374-U1524A-14H-4-A,55,151,123.08,124.04,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-14H-4-A,81,103,123.34,123.56,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-14H-4-A,103,118,123.56,123.71,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-14H-4-A,118,139,123.71,123.92,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-4-A,139,151,123.92,124.04,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-14H-5-A,0,88,124.04,124.92,muddy,diatom ooze,with dispersed clasts,muddy diatom ooze with dispersed clasts,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-5-A,0,150,124.04,125.54,,,,,lamination,,,,,,,,,lonestone,,,"Lonestones at 24, 38, 67, 78, 110, 111",,,
374-U1524A-14H-5-A,0,150,124.04,125.54,,,,,mottling [BJ80],,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-14H-5-A,88,150,124.92,125.54,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-14H-6-A,0,35,125.54,125.89,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-6-A,0,111,125.54,126.65,,,,,lamination,,heavy [DB86],3,,,,,,lonestone,,,"Lonestones at 21, 60, 62",,,
374-U1524A-14H-6-A,0,111,125.54,126.65,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-14H-6-A,35,41,125.89,125.95,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-6-A,41,111,125.95,126.65,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-14H-7-A,0,42,126.65,127.07,muddy,diatom ooze,,muddy diatom ooze,,GLEY 1 6/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-14H-7-A,0,57,126.65,127.22,,,,,lamination,,,,,,,,,,,,,,,
374-U1524A-14H-7-A,0,57,126.65,127.22,,,,,mottling [BJ80],,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-14H-7-A,42,57,127.07,127.22,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-14H-CC-A,0,25,127.22,127.47,diatom rich,mud,,diatom rich mud,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-14H-CC-A,0,25,127.22,127.47,,,,,lamination,,,,,,,,,,,,,,,
374-U1524A-14H-CC-A,0,25,127.22,127.47,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-15H-1-A,0,129,127.5,128.79,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-15H-1-A,0,129,127.5,128.79,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-15H-1-A,129,147,128.79,128.97,muddy,diatom ooze,,muddy diatom ooze,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-15H-1-A,129,147,128.79,128.97,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-15H-2-A,0,9,128.97,129.06,muddy,diatom ooze,,muddy diatom ooze,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-2-A,0,9,128.97,129.06,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,,,,,,
374-U1524A-15H-2-A,9,43,129.06,129.4,muddy,diatom ooze,,muddy diatom ooze,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-2-A,9,43,129.06,129.4,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-15H-2-A,43,80,129.4,129.77,muddy,diatom ooze,,muddy diatom ooze,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-2-A,43,80,129.4,129.77,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-15H-2-A,80,151,129.77,130.48,muddy,diatom ooze,,muddy diatom ooze,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-2-A,80,151,129.77,130.48,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-15H-3-A,0,149,130.48,131.97,muddy,diatom ooze,,muddy diatom ooze,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-15H-3-A,0,149,130.48,131.97,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-15H-4-A,0,147,131.97,133.44,muddy,diatom ooze,,muddy diatom ooze,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-15H-4-A,0,147,131.97,133.44,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-15H-5-A,0,125,133.44,134.69,muddy,diatom ooze,,muddy diatom ooze,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-15H-5-A,0,125,133.44,134.69,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-15H-5-A,125,144,134.69,134.88,muddy,diatom ooze,,muddy diatom ooze,,,,,,,,,,,,,,,,
374-U1524A-15H-5-A,125,144,134.69,134.88,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-15H-5-A,144,147,134.88,134.91,muddy,diatom ooze,,muddy diatom ooze,,,,,,,,,,,,,,,,
374-U1524A-15H-5-A,144,147,134.88,134.91,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-15H-6-A,0,14,134.91,135.05,muddy,diatom ooze,,muddy diatom ooze,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-15H-6-A,0,14,134.91,135.05,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-15H-6-A,14,86,135.05,135.77,muddy,diatom ooze,,muddy diatom ooze,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-6-A,14,86,135.05,135.77,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,,,,,,
374-U1524A-15H-6-A,86,142,135.77,136.33,muddy,diatom ooze,,muddy diatom ooze,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-15H-6-A,86,142,135.77,136.33,,,,,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-15H-7-A,0,15,136.38,136.53,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-15H-7-A,0,93,136.38,137.31,muddy,diatom ooze,,muddy diatom ooze,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-7-A,5,70,136.43,137.08,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-15H-7-A,70,93,137.08,137.31,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-15H-CC-A,0,32,137.31,137.63,diatom rich,mud,,diatom rich mud,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-15H-CC-A,0,32,137.31,137.63,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-16H-1-A,0,80.5,137,137.805,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,lonestone,sharp boundary or contact,,Lonestones at 79.5-80,,,
374-U1524A-16H-1-A,0,145,137,138.45,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-16H-1-A,80,120,137.8,138.2,,,with dispersed clasts,with dispersed clasts,,,,,,,,,,,,,,,,
374-U1524A-16H-1-A,80.5,105,137.805,138.05,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-16H-1-A,80.5,105,137.805,138.05,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-16H-1-A,105,145,138.05,138.45,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-16H-1-A,105,145,138.05,138.45,,,,,mottling [BJ80],,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-16H-2-A,0,24,138.45,138.69,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-16H-2-A,0,24,138.45,138.69,,,,,mottling [BJ80],,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-16H-2-A,24,146,138.69,139.91,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-16H-2-A,24,146,138.69,139.91,,,,,mottling [BJ80],,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-16H-2-A,85,92,139.3,139.37,,,with dispersed clasts,with dispersed clasts,,,,,,,,,,,,,,,,
374-U1524A-16H-3-A,0,30.5,139.91,140.215,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-16H-3-A,0,147,139.91,141.38,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-16H-3-A,30.5,35,140.215,140.26,muddy,diatom ooze,,muddy diatom ooze,,5Y 6/2 (light olive gray),,,,,,,,,,,,,,
374-U1524A-16H-3-A,35,52,140.26,140.43,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-16H-3-A,35,52,140.26,140.43,,,,,mottling [BJ80],,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-16H-3-A,52,90,140.43,140.81,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 7/5GY (light greenish grey),,,,,,,,lonestone,gradational boundary or contact,,Lonestones at 58-51,,,
374-U1524A-16H-3-A,52,147,140.43,141.38,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-16H-3-A,64,67,140.55,140.58,,,,,clast cluster or nest,,,,,,,,,,,,,,,
374-U1524A-16H-3-A,90,147,140.81,141.38,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-16H-4-A,0,31,141.38,141.69,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,lonestone,sharp boundary or contact,,Lonestones at 27-29,,,
374-U1524A-16H-4-A,0,146,141.38,142.84,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-16H-4-A,31,60,141.69,141.98,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 7/5GY (light greenish grey),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-16H-4-A,60,146,141.98,142.84,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-16H-5-A,0,147,142.84,144.31,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-16H-5-A,0,147,142.84,144.31,,,,,mottling [BJ80],,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-16H-6-A,0,145,144.31,145.76,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-16H-6-A,0,145,144.31,145.76,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-16H-7-A,0,17,145.76,145.93,muddy,diatom ooze,,muddy diatom ooze,lamination,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-16H-7-A,17,30,145.93,146.06,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-16H-7-A,30,83,146.06,146.59,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-17H-1-A,0,46,146.5,146.96,,,,,lamination,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-17H-1-A,0,146,146.5,147.96,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],,,,,,,,,lonestone,,,lonestone at 27 and sandy layer with dispersed clasts from 27-35 cm,,,
374-U1524A-17H-1-A,0,146,146.5,147.96,,,,,sand stringer,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-17H-1-A,46,101,146.96,147.51,,,,,sand stringer,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-1-A,101,118,147.51,147.68,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-17H-1-A,118,144,147.68,147.94,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-1-A,144,146,147.94,147.96,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-17H-2-A,0,10,147.96,148.06,,,,,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-17H-2-A,0,27,147.96,148.23,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-17H-2-A,10,103,148.06,148.99,,,,,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-2-A,27,37,148.23,148.33,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],with dispersed clasts,diatom rich sandy mud(stone) to muddy sand(stone) with dispersed clasts,,,,,,,,,,,,,,,,
374-U1524A-17H-2-A,37,146,148.33,149.42,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-17H-2-A,103,114,148.99,149.1,,,,,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-2-A,114,133,149.1,149.29,,,,,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-2-A,133,146,149.29,149.42,,,,,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-17H-3-A,0,30,149.42,149.72,,,,,,GLEY 1 5/5GY (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-17H-3-A,0,149,149.42,150.91,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-17H-3-A,30,80,149.72,150.22,,,,,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-17H-3-A,80,125,150.22,150.67,,,,,,GLEY 1 5/5GY (greenish gray),heavy [DB86],3,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-3-A,125,149,150.67,150.91,,,,,,5Y 5/2 (olive gray),heavy [DB86],3,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-4-A,0,9,150.91,151,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-17H-4-A,0,150,150.91,152.41,muddy,diatom ooze,,muddy diatom ooze,burrows,,,,,,,,,lonestone,,,"lonestone at 67, 87",,,
374-U1524A-17H-4-A,0,150,150.91,152.41,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-17H-4-A,9,25,151,151.16,,,,,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-4-A,25,50,151.16,151.41,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-4-A,50,150,151.41,152.41,,,,,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-5-A,0,58,152.41,152.99,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-17H-5-A,0,147,152.41,153.88,muddy,diatom ooze,,muddy diatom ooze,,,,,,,,,,lonestone,,,"lonestone at 74, 86. Burrow at 86",,,
374-U1524A-17H-5-A,0,147,152.41,153.88,,,,,,,heavy [DB86],3,,,,,,,,,,,,
374-U1524A-17H-5-A,58,71,152.99,153.12,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-5-A,71,83,153.12,153.24,,,,,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-5-A,83,120,153.24,153.61,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-5-A,120,147,153.61,153.88,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-17H-6-A,0,42,153.88,154.3,,,,,,5Y 5/2 (olive gray),,,,,,,,,,,,,,
374-U1524A-17H-6-A,0,147,153.88,155.35,,,,,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-17H-6-A,0,149,153.88,155.37,muddy,diatom ooze,,muddy diatom ooze,lamination,,,,,,,,,,,,,,,
374-U1524A-17H-6-A,42,59,154.3,154.47,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-6-A,59,73,154.47,154.61,,,,,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-6-A,73,112,154.61,155,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-6-A,112,139,155,155.27,,,,,,5Y 5/2 (olive gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-17H-6-A,139,149,155.27,155.37,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-7-A,0,21,155.37,155.58,,,,,,GLEY 1 5/5GY (greenish gray),,,,,,,,,,,,,,
374-U1524A-17H-7-A,0,96,155.37,156.33,muddy,diatom ooze,,muddy diatom ooze,,,,,,,,,,,,,,,,
374-U1524A-17H-7-A,0,96,155.37,156.33,,,,,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-17H-7-A,21,96,155.58,156.33,,,,,,5Y 5/2 (olive gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-17H-CC-A,0,21,156.33,156.54,muddy,diatom ooze,,muddy diatom ooze,,,,,,,,,,,,,,,,
374-U1524A-17H-CC-A,0,21,156.33,156.54,,,,,,5Y 5/2 (olive gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-18H-1-A,0,147,156,157.47,muddy,diatom ooze,,muddy diatom ooze,,5Y 5/2 (olive gray),complete [DB86],4,,,,,,,,,,,,
