column,type
Top [cm],taxa
Helicosphaera compacta,taxa
Subbotina eocaenica,taxa
Collosphaera macropora,taxa
Peneroplis sp. ?,taxa
Glabratella patelliformis,taxa
Vulvulina sp.,taxa
Octopyle stenozona,taxa
Cibicidoides spp.,taxa
Globoconella miotumida,taxa
Helicosphaera clarissima,taxa
Bulbobaculites problematicus,taxa
Orbulina suturalis _B_ _M6_,taxa
Sphaeroidinella dehiscens s.l.,taxa
Glomospirella,taxa
Prediscosphaera arkhangelskyi,taxa
Helicolithus trabeculatus,taxa
Nonion ?,taxa
Bolivina huneri,taxa
Dentoglobigerina tripartita s. str.,taxa
Thyrsocyrtis bromia,taxa
Acarinina mcgowrani,taxa
Cribrohantkenina inflata,taxa
Stephanopyxis palmeriana,taxa
Laevidentalina advena,taxa
Ceratolithus simplex,taxa
Globigerina linaperta,taxa
Spongurus sp.,taxa
Rotalinoides gaimardii,taxa
Cyclotella kutzingiana,taxa
Polypodium vulgare type,taxa
Thalassionema nitzschioides  var. parva,taxa
Theocyrtis perpumila n. sp.,taxa
Ammodiscus sp.,taxa
Globorotalia tosaensis _T and B_ _Pt1b_,taxa
Anomalinoides orbiculus,taxa
Globigerina officinalis,taxa
Selenopemphix kepion,taxa
Valvulina spinosa?,taxa
Discoaster mahmoudii,taxa
Bathropyramis woodringi,taxa
"Globigerinoides ruber s.l. Wang, 2000",taxa
Spiroloculina depressa,taxa
Actinocyclus actinochilus,taxa
Theocyrtis setanios,taxa
Ascidian spicules,taxa
Pullenia bulloides >200 m,taxa
Sphenolithus pseudoradians,taxa
Helicosphaera reticulata,taxa
Muircohedbergella delrioensis,taxa
Caudamina spp.,taxa
Octodendron spp. spines,taxa
Orbulina universa (juvenile),taxa
Gomphonema olivacium,taxa
Pyrgo serrata,taxa
Syracosphaera spp. (Paleogene),taxa
Globigerina rubescens (white),taxa
Operculina spp.,taxa
Calocycletta serrata,taxa
Cassidulina translucens,taxa
Dentalina communis,taxa
Globigerinoides seiglei,taxa
Thalassiosira antarctica,taxa
Actinomma leptodernum longispinum,taxa
Rossiella paleaceae var. elongata,taxa
Carpocanarium papillosum,taxa
Epistominella smithi,taxa
Miliammina echigoensis,taxa
Bolivina pusilla,taxa
Sigmopyrgo vespertilio,taxa
Cystammina pauciloculata,taxa
Ephedra distachya type,taxa
Lychnocanoma magnacornuta,taxa
Xestolebris spp.,taxa
Comments,taxa
Trochamminids,taxa
Triceratium cinnamomeum,taxa
Reticulofenestra minutula,taxa
Amorphous organic matter,taxa
Thyrsocyrtis lochites,taxa
Bulimina tuxpamensis,taxa
Umbilicosphaera rotula,taxa
Acarinina sibaiyaensis,taxa
Pseudoemiliania ovata,taxa
Thalassiosira pacifica,taxa
Cibicides neoperforatus,taxa
Melonis barleeanum,taxa
Denticulopsis katayamae,taxa
Rhizosolenia hebetata f. hiemalis,taxa
Didymocyrtis sp.,taxa
Pseudoschackoina saundersi,taxa
Quinqueloculina bosciana,taxa
342-U1408A-2H-2-W 100/102-FORAM,taxa
Botryostrobus sp.,taxa
Cibicidoides robertsoniana,taxa
Discosphaera tubifera,taxa
Marginotruncana schneegansi,taxa
Reticulofenestra samodurovii,taxa
Siphonodosaria sargrinensis,taxa
Stoverius achylosus,taxa
Sagrinella jugosa,taxa
Pterocorys hertwigii,taxa
Elongobula parallela,taxa
Cyclicargolithus floridanus (5-11µm),taxa
Liriospyris longicornuta,taxa
"Paragloborotalia opima (Bolli, 1957)",taxa
Thalassionema frauenfeldii,taxa
Quinqueloculina agglutinans,taxa
Centrobotrys thermophila,taxa
Heterostegina sp.,taxa
Group abundance,taxa
Arkhangelskiella sp.,taxa
Syracosphaera histrica,taxa
Glaukolithus bicrescenticus,taxa
Stichocorys delmontensis,taxa
Bathysiphon sp.,taxa
Ceratocyrtis histricosa,taxa
Cibicides spiralis,taxa
Vallodiscus sp.,taxa
Pleurostomella subnodosa,taxa
Lophocyrtis biaurita,taxa
Thyrsocyrtis triacantha,taxa
Discoaster spp. (Paleogene),taxa
Reticulofenestra hampdenensis,taxa
Fasciculithus thomasii,taxa
Asteromphalus hookeri,taxa
Cymatiosphaera spp.,taxa
Lophocyrtis longiventer,taxa
Fissurina sp.,taxa
Globotruncana aegyptiaca,taxa
Triquetrorhabdulus rugosus,taxa
Dyctiocha fibula,taxa
Globotruncanita stuartiformis,taxa
Globigerinoides ruber _pink_ T,taxa
Liebusella soldanii,taxa
Gephyrocapsa sp. (closed >4 microns),taxa
Melonis affinis,taxa
Cornutella clathrata,taxa
Sphaeropyle langii,taxa
Vozzhennikovia apertura,taxa
Bulimina impendens,taxa
Subbotina angiporoides,taxa
Spongurus cf. elliptica,taxa
Reticulofenestra bisecta (5-10 microns),taxa
Hemidiscus cuneiformis,taxa
Pterocodon ampla,taxa
Emiliania huxleyi (<5 microns),taxa
Didymocyrtis prismatica,taxa
Theocotyle ficus,taxa
Watznaueria biporta,taxa
Sphaeroidina spp.,taxa
Bulimina serratospina,taxa
Truncorotalia crassaconica,taxa
Globanomalina pseudomenardii,taxa
Trochamminoides cf. variolarius,taxa
Trilete psilate,taxa
Discoaster calcaris,taxa
Globorotalia praescitula,taxa
Cymatiosphaera brown sp. 3,taxa
Lagena laevis,taxa
Coccolithus miopelagicus,taxa
Cruciplacolithus asymmetricus,taxa
Eurossia irregularis var. incurvatus,taxa
Praeorbulina sicana,taxa
Prunopyle hayesi,taxa
Neogloboquadrina incompta,taxa
Theocorys acroria,taxa
Dextral:Sinistral _N. acostaensis_,taxa
Denticulopsis okunoi,taxa
Azpeitia endoi,taxa
Bekoma bidartensis,taxa
Uvigerina sp. 1,taxa
Vulvulina spinosa,taxa
Microhedbergella praeplanispira,taxa
Gartnerago chiasta,taxa
Thalassiosira grunowii,taxa
Spongodiscus cruciferus,taxa
Cyclammina sp.,taxa
Globigerinelloides asper,taxa
Quinqueloculina subpolygona,taxa
Globorotalia crassaformis,taxa
Corocalyptra cervus,taxa
Ceratolithus atlanticus,taxa
Perichlamydium praetextum,taxa
Pullenia cf. jarvisis,taxa
Martinottiella communis,taxa
Druppatractus hastatus,taxa
Cibicidoides globulosus,taxa
Cyclicargolithus abisectus (>11 microns),taxa
Globobulimina spinescens,taxa
Heterolepa bradyi,taxa
Whiteinella aprica,taxa
Artobotrys auriculaleporis,taxa
Diatom preservation fragmentation,taxa
Stilostomella gracillima,taxa
Baculogypsina sphaerulata,taxa
Stichocorys peregrina,taxa
Bottom [cm],taxa
Nitzschia praereinholdii,taxa
Globigerinoidesella fistulosa _T and B_ _Pt1a,taxa
Dictyococcites bisectus,taxa
Paragloborotalia pseudocontinuosa (D),taxa
Sprioloculina corrugata,taxa
Miliolids,taxa
Actinocyclus sp. C H&M1992,taxa
Frondicularia cf. bulla,taxa
Subreophax scalaris,taxa
Planispiral,taxa
Rudigaudryina minor,taxa
pc_fossil_name,taxa
Sigmoilopsis spp.,taxa
Globobulimina affinis,taxa
Eiffellithus monechiae,taxa
Globigerinoides altiapertura,taxa
Globorotalia anfracta,taxa
Allomorphina conica,taxa
Gyroidinoides beisseli,taxa
Ranunculaceae,taxa
Oolithotus fragilis,taxa
Pseudoglandulina glanduliformis,taxa
Paragloborotalia pseudokugleri,taxa
Botrychium type,taxa
Contusotruncana contusa,taxa
Reticulofenestra asanoi,taxa
Carpinus,taxa
Calcidiscus tropicus +grill,taxa
Pyrulina spp.,taxa
Stylodictya spp.,taxa
Rosaceae,taxa
Paragloborotalia partimlabiata,taxa
PF Group Abundance,taxa
Cycladophora humerus,taxa
Globoconella miotumida (SIN),taxa
Pterocanium trilobum,taxa
Zeugrhabdotus kerguelenensis,taxa
Uvigerina spp.,taxa
Umbilicosphaera sibogae,taxa
Helicosphaera bramlettei,taxa
Discoaster mediosus,taxa
Lophocyrtis jacchia hapsis,taxa
Aragonia sp. 1,taxa
Siphocampe lineata,taxa
Globorotalites,taxa
Thalassiosira nodulolineata,taxa
Bulimina striata,taxa
Dendrospyris uruyaensis,taxa
Phelodinium sp.,taxa
Hanzawaia turgida,taxa
Fraxinus excelsior type,taxa
Reticulofenestra asanoi (<6 microns),taxa
Siphonosphaera tenera,taxa
Caudammina ovula,taxa
Alabammina spp.,taxa
Pseudohastigerina wilcoxensis,taxa
Nitzschia rolandii,taxa
Lithastrinus grillii,taxa
Amphymenium splendiarmatum,taxa
Gephyrocapsa sinuosa,taxa
Rhodospyris ?sp.,taxa
Reticulofenestra bisecta (>10 microns),taxa
Perchnielsenella stradneri,taxa
Kalamopsis grzybowskii,taxa
Pullenia sp.,taxa
Neogloboquadrina nympha,taxa
Neodenticula seminae,taxa
Periphaena decora,taxa
Globoturborotalita nepenthes _T and B_PL2 and M11,taxa
Anomalina spp.,taxa
Lithelius nautiloides,taxa
Rutherfordoides mexicanus,taxa
Antarcticella antarctica,taxa
Praeglobobulimina cf. spinescens,taxa
Euloxostomum pseudobeyrichi,taxa
Coryphostoma midwayensis,taxa
Hormosina velascoensis,taxa
Discoaster neorectus,taxa
Porosira glacialis,taxa
Theocalyptra sp.,taxa
Fasciculithus clinatus,taxa
Acritarchs,taxa
Reticulofenestra pseudoumbilicus,taxa
Discoaster deflandrei (small),taxa
Cricrostomoides spp.,taxa
Carpocanistrum favosum,taxa
Paragloborotalia incognita,taxa
Kisseleviella cicatricata,taxa
Nuttalides carinotruempyi,taxa
Globorotalia conoidea,taxa
Neoeponides hillebrandti,taxa
Desmospyris rhodospyroides,taxa
Allomorphina whangaia,taxa
Lithraphidites quadratus,taxa
Cibicides temperatus,taxa
Elphidid taxa,taxa
Rugoglobigerina rugosa,taxa
Acrosphaera lappacea,taxa
Globigerinoides sp.,taxa
Bolivina spissa,taxa
Cymbella tumida,taxa
Stylodictya multispina,taxa
Lithelius minor gr.,taxa
Eucyrtidium cienkowskii,taxa
Discoaster bellus,taxa
Globorotalia pertenuis _T and B_,taxa
Reussella sp.,taxa
?Acarinina spp.,taxa
Helenea chiastia,taxa
Helicosphaera kamptnerii,taxa
Dentalina inornata,taxa
Praeglobobulimina pupoides,taxa
Micula concava,taxa
Sphaeroidnellopsis disjuncta,taxa
Sahulia spp.,taxa
Reusella spp.,taxa
Morozovella subbotinae,taxa
Ammobaculites wallalensis,taxa
Helicosphaera spp.,taxa
Olgia spp.,taxa
Gyroidinoides neosoldanii,taxa
Pleurostomella brevis,taxa
Amphicoryna sp.,taxa
Globorotalia scitula (sin),taxa
Reticulofenestra lockeri,taxa
Bolivina ordinaria,taxa
Discoaster pansus,taxa
Cibicides cf. lobatulus,taxa
Cibicides grossepunctatus,taxa
Globorotalia miozea,taxa
Ericsonia subpertusa,taxa
Buccella frigida,taxa
Amphistegina hauerina,taxa
Plumbaginaceae,taxa
Hirsutella bermudezi,taxa
Lejeunecysta rotunda,taxa
Robertinoides spp.?,taxa
Gephyrocapsa sp. (4-5.5 microns),taxa
Pyxidinopsis sp.,taxa
Globoconella pseudospinosa,taxa
Neoflabellina semireticulata,taxa
Bacterosira spp.,taxa
Rotalina oblonga,taxa
Prinsius tenuiculus,taxa
Biscutum ubiquens,taxa
Periphaena heliasteriscus,taxa
Rotalipora globotruncanoides,taxa
Uvigerina cf. auberiana,taxa
Dictyocha frenguellii,taxa
Kisseleviella tricoronata,taxa
Prediscosphaera grandis,taxa
Carpocanopsis cristata,taxa
Globorotalia hirsuta (dex),taxa
Retecapsa crenulata,taxa
Brizalina semilineata,taxa
Saccate pollen,taxa
Lophospyris pentagona pentagona,taxa
Top[cm] [cm],taxa
Thalassiosira jacksonii,taxa
Calocyclas bandyca,taxa
Globorotalia merotumida,taxa
Triceraspyris antarctica,taxa
Neogloboquadrina acostaensis _B_ _M13a,taxa
Parasubbotina prebetica,taxa
Fohsella fohsi lobata,taxa
Siphogerenina spp.,taxa
Pyrgoella sphaera,taxa
Porosononion sp.,taxa
Discoaster distinctus,taxa
Monolete psilate,taxa
Cyclagelosphaera spp.,taxa
Helicosphaera neogranulata,taxa
Siphouvigerina sp.,taxa
Globocassidulina punctata,taxa
Melonis sp.,taxa
Lipmanella dictyoceras,taxa
Larcospira quadrangula,taxa
Astrononion spp.,taxa
Contusotruncana patelliformis,taxa
Sethocytris chrysallis,taxa
Radialiplicata clavigera,taxa
Globigerina bulloides,taxa
Paralabamina hillebrandti,taxa
calcispheres,taxa
Planulina renzi,taxa
Anomalinoides spp.,taxa
Praeorbulina curva _B_,taxa
Delphineis angustata,taxa
Thalassiosira fraga,taxa
Globorotalia (Fohsella) fohsi,taxa
Arenobulimina truncata,taxa
Thalassionema nitzschoides (Grunow),taxa
Seabrookia rugosa,taxa
Morozovella caucasica,taxa
Oridorsalis umbonatus,taxa
Globotruncanita elevata,taxa
Globorotalia (Menardella) exilis,taxa
Miliolinella subrotunda,taxa
Rocella gelida,taxa
Pseudonodosaria obesa,taxa
Hoeglundina ?,taxa
Euchitonia furcata,taxa
Globorotalia challengeri,taxa
Mesocena elliptica,taxa
Bekoma spp.,taxa
Apiaceae,taxa
Sphenolithus anarrhopus,taxa
Hexacontium melpomene,taxa
Cibicidoides cicatricosus,taxa
Rhizosolenia imbricata,taxa
Cancris sp.,taxa
Heterolepa spp.,taxa
Vaginulinidae indet.,taxa
Gyroidinoides sp.,taxa
Ammoshpaeroidina,taxa
Reophax spp.,taxa
Bolivina spathulata,taxa
Thalassiosira oliverana,taxa
Catapsydrax dissimilis _T_ _M4a_,taxa
Orbulina sp.,taxa
Asteromphalus symmetricus,taxa
Dentalina subsoluta,taxa
Planulina subtenuissima,taxa
Globigerinelloides sp.,taxa
Discoaster backmanii,taxa
Globoconella praescitula,taxa
Astrorhizids,taxa
Favocassidulina subfavus,taxa
Discorotalia spp.,taxa
Gyroidinoides spp,taxa
Oertliella? sp.,taxa
Gephyrocapsa oceanica (3-4 microns),taxa
Crucidenticula kanayae,taxa
Hantkenina compressa,taxa
Subbotina senni,taxa
Globoturborotalita apertura _T and B_,taxa
Sphaerozoum punctatum,taxa
Acarinina medizzai,taxa
Oolina globosa,taxa
Proboscia sp,taxa
Spongotrochus glacialis,taxa
Amphimelissa setosa,taxa
Nannotetrina cristata,taxa
Globigerinelloides ehrenbergi,taxa
Fissurina cf. staphyllearia,taxa
Sample preparation comment,taxa
Globoquadrina binaiensis,taxa
Pontosphaera spp. (Neogene),taxa
Pseudohastigerina micra,taxa
Abyssamina poagi,taxa
Pyxilla reticulata,taxa
Sphagnum,taxa
Actynocyclus elongatus,taxa
Nitzschia denticuloides,taxa
Siphocampe amygdala,taxa
ADDITIONAL SPECIES,taxa
Discoaster braarudi,taxa
Nannofossil fragments,taxa
Nitzschia interruptestriata,taxa
Parasorites spp.,taxa
Neoconorbina spp.,taxa
Diploneis ovalis,taxa
Nonionoides grateloupi,taxa
Triceratium unguiculatum,taxa
Dictyocoryne profunda,taxa
Stoverius coronatus,taxa
Bulimina barbata,taxa
Tritaxia gaultina,taxa
Globotruncanita calcarata,taxa
Astacolus parallelus,taxa
Marginulinopsis stephensoni,taxa
Zeaflorilus parri,taxa
Podocyrtis goetheana,taxa
Marginulina sp.,taxa
Bigerenina sp.,taxa
Elphidium cf. jenseni,taxa
Lychnodictyum audax,taxa
Cymbaloporetta sp.,taxa
Gaudryina spp.,taxa
Triquetrorhabdus rugosus,taxa
Gyroidinoides planulatus,taxa
Globorotalia sphericomiozea,taxa
Hemiaulus altus,taxa
Seribiscutum primitivum,taxa
Valkyria pukapuka,taxa
Sphenolithus villae,taxa
Coscinodiscus symbolophorus,taxa
Catapsydrax dissimillis,taxa
Pullenia quinqueloba,taxa
Cymbaloporella taballaeformis,taxa
Thalassiosira sancettae,taxa
Rouxia isopolica,taxa
Cenosphaera sp.,taxa
Reticulofenestra dictyoda  (3-10µm),taxa
Globorotalia tumida,taxa
Actinocylus sp. F,taxa
Subbotina yeguaensis,taxa
Marinittiella sp.,taxa
Operculina complanata,taxa
Thalassiosira ferelineata,taxa
Reticulofenestra circus,taxa
Neoflabellina sp.,taxa
Cassidulina tumida,taxa
Dorcadospyris alata,taxa
Notorotalia finlayi,taxa
Muricohedbergella sp.,taxa
"Globoturborotalita woodi (Jenkins, 1960)",taxa
Ceratocancris sp.,taxa
Prediscosphaera desiderograndis,taxa
Acrosphaera cyrtodon,taxa
Ceratolithus cristatus (rugosus),taxa
Spirillina spp.,taxa
Acarinina pseudosubsphaerica,taxa
Cancris ?,taxa
Zygocircus productus,taxa
Miliolina spp.,taxa
Nitzschia reinholdii,taxa
Archaeosphaeridium australensis,taxa
Karreriella parkerae,taxa
Pinus,taxa
Gaudryina,taxa
Zone,taxa
Microhedbergella pseudodelrioensis,taxa
Dentalina sp.,taxa
Cibicides praecinctus,taxa
Heronallenia spp.,taxa
Psuedoemiliania lacunosa,taxa
Sphaeroidinellopsis sp.,taxa
Scrippsiella sp.,taxa
Quinqueloculina philippinensis,taxa
Lithomelissa sphaerocephalis,taxa
Calcidiscus leptoporus (>8 micron),taxa
Nuttallides sp,taxa
Siphonina australis,taxa
Paragloborotalia siakensis (S),taxa
Disolenia sp.,taxa
Eoglobigerina eobulloides,taxa
Saracenaria spp.,taxa
Chiastozygus litterarius,taxa
Valvulina sp.,taxa
Spirocyrtis sp.,taxa
Peneroplis planatus,taxa
Poroeponides lateralis,taxa
Trichohyalus ornatissimus,taxa
Larcopyle polyacantha,taxa
Truncorotalia cf. crassacarina,taxa
Ebridulina paradoxa,taxa
Neogloboquadrina acostaensis (S),taxa
Inaequilina spp.,taxa
Thalassiosira lineata,taxa
Frondicularia sp.,taxa
Morozovella aragonensis,taxa
Rotalinoides spp.,taxa
Phormacantha hystrix/Plectacantha oikiskos group,taxa
Gavelinella sp.,taxa
Praeorbulina circularis,taxa
Helicosphaera granulata,taxa
Triceratium cinamomeum var. quadrangulata,taxa
Coscinodiscus obscurus,taxa
Calcidiscus leptoporus (<5 microns),taxa
Perissocyclus fenestratus,taxa
Zygodiscus plectopons,taxa
Gyroidinoides girardanus,taxa
Ebridian group abundance,taxa
Cibicidoides robertsonianus,taxa
Glabratella spp.,taxa
Nothia excelsa,taxa
Phormocyrtis ligulata,taxa
Enneadocysta,taxa
Ehrenbergina glabra,taxa
Globorotalia menardii (dex),taxa
Rectuvigerina spp.,taxa
Praeorbulina transitoria,taxa
Hirsutella margaritae,taxa
Anomalinoides capitatus,taxa
Lenticulina mamilligera,taxa
Corocalyotra sp.,taxa
Chrysophyte cyst group abundance,taxa
Discoaster spp. (five-rayed),taxa
Globoquadrina dehiscens,taxa
Reticulofenestra scrippsae,taxa
Sphaeroidinellopsis seminulina,taxa
Dentoglobigerina globularis,taxa
Eucampia antarctica,taxa
Navicula spp.,taxa
Hedbergella monmouthensis,taxa
Planorbulina spp.,taxa
Micrantholithus spp.,taxa
Asterigerina sp.,taxa
Loxolithus armilla,taxa
Actinomma arcadophorum,taxa
Cancris auricula,taxa
Cubotholus octaceras,taxa
Synedropsis cheethamii,taxa
"Discoaster ""six-rayed""",taxa
Rhaphidodiscus marylandicus,taxa
Reticulofenestra umbilica,taxa
Lithochytris vespertilio,taxa
Gephyrocapsa (<4 microns),taxa
Unknown taxa,taxa
Dictyoprora armadillo,taxa
Selenopemphix dionaeacysta,taxa
Batiacasphaera minuta,taxa
Stylatractus universus,taxa
Shionodiscus praeoestrupii,taxa
Zeugrhabdotus erectus,taxa
Karreriella bradyi,taxa
Subbotina hagni,taxa
Sphenolithus furcatolithoides morph B,taxa
Cavitatus miocenicus,taxa
Tritaxia instar,taxa
Tribrachiatus orthostylus,taxa
Rhizammina sp.,taxa
Gephyrocapsa (small <4 microns),taxa
Podocyrtis mitra,taxa
Globigerina decoraperta,taxa
Cocconeis californica,taxa
Anthemis type,taxa
Lychnocanium satelles,taxa
Rotalipora appenninica,taxa
Tenuitella angustiumbilicata,taxa
Toweius serontinus,taxa
Coronocyclus nitescens (elliptical),taxa
Lychnocanium bellum,taxa
Hoeglundina spp.,taxa
Rhizosolenia sp. B,taxa
Ammoelphidiella uniforamina,taxa
Globigerinoides bollii,taxa
Globorotalia (Menardella) multicamerata,taxa
Stephanopyxis grunowii,taxa
Orbulina suturalis _B_ _M6,taxa
Hanzawaia rhodiensis,taxa
Pontosphaera plana,taxa
Lophocyrtis dumitricai,taxa
Didymocyrtis bassanii,taxa
Amphisphaera coronata,taxa
Anomalinoides globulosus,taxa
Desmospyris spongiosa,taxa
Acarinina wilcoxensis,taxa
Rotalipora reicheli,taxa
Collosphaera huxleyi,taxa
Ahmuellerella octoradiata,taxa
Anthocyrtidium angulare,taxa
Denticulopsis dimorpha,taxa
Blackites tenuis,taxa
Phormocyrtis striata exquisita,taxa
Globorotalia crassaformis _B_,taxa
Tenuitella anfracta,taxa
Siphouvigerina plebeja,taxa
Globotruncana lapparenti,taxa
Chiloguembelina morsei,taxa
Bulimina marginata,taxa
Catapsydrax globiformis,taxa
Globorotalia acrostoma,taxa
Hedbergella angolae,taxa
Globoturborotalita woodi,taxa
Brizalina pacifica,taxa
Globigerinelloides aptiensis,taxa
Solenosphaera quadrata,taxa
Acrocubus octopylus,taxa
Cyclammina spp.,taxa
Lithomelissa tricornis,taxa
Achnanthes inflata,taxa
Hirsutella scitula (cf.),taxa
Nonionella basispinata,taxa
Globigerinita glutinata,taxa
Trochosira spp.,taxa
Ticinella raynaudi,taxa
Rhizosolenia praebergonii,taxa
Arkhangelskiella specillata,taxa
Heterohelix globulosa (cf.),taxa
Paraglobrotalia pseudokugleri,taxa
Stichocorys armata,taxa
Hyalinea spp.,taxa
Wiesnerella spp.,taxa
Acarinina collactea,taxa
Chiphragmolithus barbatus,taxa
Subbotina triloculinoides,taxa
Anomalinoides piripaua,taxa
Cytheralison sp.,taxa
Diatoms and siliceous plankton comment,taxa
Trachyneis aspera,taxa
Collosphaera tuberosa,taxa
Amphistegina lessonii,taxa
Actinomma medianum,taxa
Paragloborotalia pseudocontinuosa,taxa
Tetrapyle octacantha,taxa
Planktoniella sol,taxa
Allomorphina pacifica,taxa
Eiffellithus eximius (sensu Verbeek),taxa
Archaeoglobigerina cretacea,taxa
Dictyoprora mongolfieri,taxa
Discoaster falcatus,taxa
Pontosphaera japonica,taxa
Gephyrocapsa sp. (<4 microns),taxa
Siphonodosaria ketienziensis,taxa
Spiroplectammina spp.,taxa
Rhizosolenia hebetata f. hebetata,taxa
Zeugrhabdotus bicrescenticus,taxa
Ticinella roberti,taxa
Karreriella baccata,taxa
Spiroloculina sp. N/A,taxa
Lophocyrtis milowi,taxa
Marginotruncana marginata,taxa
Lenticulina sp.,taxa
Dictyococcites scrippsae (<10µm),taxa
Matanzia varians,taxa
Dentoglobigerina spp.,taxa
Thalassiothrix antarctica,taxa
Thyrsocyrtis cf. norrisi,taxa
Discoaster subsurculus,taxa
Placentammina spp.,taxa
Clausicoccus subdistichus,taxa
Eucampia antarctica var twista,taxa
Glandulina sp.,taxa
Discoaster tristellifer,taxa
Fursenkoina sp.,taxa
Blackites amplus bases,taxa
Neogloboquadrina pachyderma (sin),taxa
Denticulopsis hyalina,taxa
Type (lower zone),taxa
Bolivina semitruncata,taxa
Phytolith,taxa
Nonion havanense,taxa
Brizalina earlandi,taxa
Discoaster druggii,taxa
Favocassidulina spinifer,taxa
Globigerinoides conglobatus _pink_,taxa
Comment (general),taxa
Cyclammina cancellata,taxa
Achnanthes brevipes,taxa
Globoconella conoidea,taxa
Globigerinatheka sp.,taxa
Eiffellithus casulus,taxa
Rucinolithus wisei,taxa
Dinocysts reworked,taxa
Triquetrorhabdulus challengeri,taxa
Nuttallides umbonifer,taxa
Rhizosolenia costata var. A,taxa
Conorotalites,taxa
Bolivina cf. robusta,taxa
Scyphosphaera lagena,taxa
Ticinella madecassiana,taxa
Pterocanium korotnevi,taxa
Synedra ulna,taxa
Globorotalia miocenica,taxa
Fohsella lobata,taxa
Thalassiosira aff. Inura,taxa
Globigerina umbilicata,taxa
Gyroidinoides subangulatus,taxa
Elphidium macellum,taxa
Trifarina angulosa,taxa
Globoquadrina conglomerata,taxa
Spiroplectella earlandi,taxa
Neogloboquadrina incompta (sinsitral),taxa
Tristix sp.,taxa
Siphogenerina indica,taxa
Picea,taxa
Trifarina carinata,taxa
Astacolus crepidulus,taxa
Planorbulinella zelandica,taxa
Phormostichoartus fistula,taxa
Verneuillina sp.,taxa
Broinsonia viriosa,taxa
Dendrospyris sp.,taxa
Tritaxia sp.,taxa
Cibicidoides mundula,taxa
Discoaster brouwerii,taxa
Muricohedbergella hoelzli,taxa
Helicosphaera ampliaperta,taxa
Discoaster nobilis,taxa
Lagena elongata,taxa
Hemiaulus polycystinorum,taxa
Preservation,taxa
reworked taxa,taxa
Clathrocyclas australis,taxa
Proboscia inermis,taxa
Tritaxis fusca,taxa
Coccolithus eopelagicus,taxa
Globorotalia hirsuta,taxa
Siphonodosaria subtertenuata,taxa
Bolivinella elegans,taxa
Textularia lythostrota,taxa
Cavitatus spp.,taxa
Truncorotalia crassula     (cf.),taxa
Eucyrtidium mitodes n. sp.,taxa
Bacteriastrum sp.,taxa
Siphogenerinoides spp.,taxa
Globorotalia juanai,taxa
Eucyrtidium diaphanes,taxa
Bolivinellina translucens,taxa
Fasciculithus lilianae,taxa
Helicosphaera acuta,taxa
Discorbinella sp. 1,taxa
Planorotalites pseudoscitula,taxa
Impagidinium patulum,taxa
Miliolid taxa,taxa
Globigerina druryi,taxa
Globorotalia cibaoensis _T and B_ _PL1b_,taxa
Siphocampe arachnea group,taxa
Lophocyrtis pegetrum,taxa
Thalassiosira sp.,taxa
Discoaster stellulus,taxa
Corollithion kennedyi,taxa
Triquetrorhabdulus longus,taxa
Lamprocyrtis heteroporos,taxa
Achnanthes diapar,taxa
Rectobolivina maoria,taxa
Spiroplectammina spectabilis,taxa
Hemiaulus danicus,taxa
Psilocitharella,taxa
Neogloboquadrina inglei,taxa
Ammonia tepida,taxa
Globorotaloides variabilis,taxa
Globigerinatheka barri,taxa
Additional zone name (short),taxa
Neogloboquadrina acostaensis _B_ _M13a_,taxa
Tenuitella munda _T_,taxa
Eiffellithus equibiramus,taxa
Datum group,taxa
Lenticulina orbicularis,taxa
Denticulopsis delicata,taxa
Subbotina utilsindex,taxa
Cruciplacolithus tenuis,taxa
Arenobulimina ?,taxa
Sphaerogypsina globulus,taxa
Reticulofenestra sp. (<3 microns),taxa
Globorotalia multicamerata _T_,taxa
Podocyrtis trachodes,taxa
Nodosaria velascoensis,taxa
Discoaster calculosus,taxa
Globanomalina sp.,taxa
Asteromphalus robustus,taxa
Nonionella pulchella,taxa
Awhea spp.,taxa
Sphaeroidinellopsis hancocki,taxa
Pollen/spores reworked,taxa
Bolivina reticulata,taxa
Fragilariopsis maleinterpretaria,taxa
Catapsydrax dissimilis,taxa
Globoconella conomiozea,taxa
Umbilicosphaera sibogae var. foliosa,taxa
Toweius spp.,taxa
Discoaster brouweri,taxa
Scyphosphaera intermedia,taxa
Shionodiscus sp. Exp 318,taxa
Rocella praenitida,taxa
Fragilariopsis clementia,taxa
Globotruncanella petaloidea,taxa
Pulleniatina praespectabilis,taxa
Nonionella iridea,taxa
Discoaster elegans,taxa
Prediscosphaera cretacea,taxa
Selenopemphix brinkhuisii,taxa
Astrononion parki,taxa
Neogloboquadrina sp.,taxa
Gyroidina orbicularis,taxa
Actinomma leptodermum,taxa
Plectofrondicularia sp.,taxa
Peripyramis circumtexta,taxa
Taraxacum,taxa
Virgulinella spp.,taxa
Globigerina aequilateralis,taxa
Truncorotalia crassaconica     (cf.) (DEX),taxa
Helicosphaera wallichii,taxa
Sethochytris bablylonis,taxa
Pleurostomella acuta,taxa
fossil_group,taxa
Brigantedinium pyinei,taxa
Spongatractus balbis,taxa
Notoplanulina rakauraoana,taxa
Ulmus,taxa
Evolvocassidulina spp.,taxa
Lucianorhabdus maleformis,taxa
Subbotina linaperta s.l.,taxa
