Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thoracosphaera spp.	Sphenolithus moriformis	Reticulofenestra umbilica	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus titus	Chiasmolithus solitus	Zygrhablithus bijugatus	Helicosphaera compacta	Discoaster tanii	Discoaster saipanensis	Cyclicargolithus floridanus	Coccolithus eopelagicus	Chiasmolithus grandis	Braarudosphaera spp.	Sphenolithus pseudoradians	Sphenolithus predistentus	Reticulofenestra bisecta	Pontosphaera spp.	Helicosphaera reticulata	Campylosphaera dela	Cribrocentrum reticulatum	Coronocyclus nitescens	Discoaster deflandrei	Clausicoccus fenestratus	Cyclicargolithus abisectus	Sphenolithus distentus	Helicosphaera recta	Micrantholithus flos	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Discoaster variabilis	Discoaster triradiatus	Discoaster pentaradiatus	Discoaster neohamatus	Discoaster hamatus	Discoaster brouweri	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster berggrenii	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster quinqueramus	Amaurolithus primus	Amaurolithus delicatus	Sphenolithus abies	Reticulofenestra pseudoumbilica	Discoaster asymmetricus	Scyphosphaera spp.	Rhabdosphaera clavigera	Crenalithus doronicoides	Ceratolithus acutus	Discoaster tamalis	Ceratolithus cristatus	Amaurolithus tricorniculatus	Helicosphaera carteri	Hayaster perplexus	Ceratolithus armatus	Pseudoemiliania lacunosa	Discoaster bollii	Ceratolithus rugosus	Helicosphaera sellii	Umbilicosphaera sibogae	Scapholithus fossilis	Pontosphaera japonica	Gephyrocapsa oceanica	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Comment

  SR	Early Pliocene   	                 	CN9b              	CN9d          	110	 672	A	 15	X	 2	  70.00	    125.5000	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	                      	F                       	                     	                  	F                  	                      	                      	F                    	R                         	F                  	F                      	R                  	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Miocene          	                 	CN9a              	              	110	 672	A	 17	X	 3	 110.00	    146.4000	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	A                    	                      	F                       	                     	                  	C                  	                      	                      	C                    	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Miocene          	                 	CN9a              	              	110	 672	A	 17	X	 4	  53.00	    147.3300	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	A                    	                      	F                       	                     	                  	C                  	                      	                      	C                    	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Miocene          	                 	CN9a              	              	110	 672	A	 17	X	CC	  14.00	    150.4900	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	A                    	F                     	F                       	F                    	                  	C                  	                      	                      	C                    	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Miocene          	                 	CN9a              	              	110	 672	A	 18	X	 3	 107.00	    155.8700	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	A                    	F                     	C                       	R                    	                  	F                  	                      	                      	F                    	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Miocene          	                 	CN9a              	              	110	 672	A	 18	X	 4	  39.00	    156.6900	Clark    	Nannofossils                                 	C              	P                 	                   	                       	                         	                       	C                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	A                    	F                     	C                       	F                    	                  	C                  	R                     	F                     	A                    	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	                 	                 	CN7               	              	110	 672	A	 18	X	 4	  50.00	    156.8000	Clark    	Nannofossils                                 	C              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	C                       	C                    	R                 	F                  	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	                 	                 	CN7               	              	110	 672	A	 18	X	CC	  22.00	    157.3200	Clark    	Nannofossils                                 	F              	P                 	                   	                       	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	                           	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	C                    	F                     	C                       	F                    	R                 	F                  	R                     	R                     	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 26	X	 1	  86.00	    228.6600	Clark    	Nannofossils                                 	A              	G                 	F                  	C                      	rR                       	                       	A                    	                    	                   	                     	                       	                      	                	rR                    	V                          	F                      	                     	                    	                          	                         	F                       	C                	                        	                   	                         	R                     	C                    	C                       	C                         	                      	F                  	                    	F                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 26	X	 2	  98.00	    230.2800	Clark    	Nannofossils                                 	A              	G                 	F                  	C                      	                         	                       	A                    	                    	                   	                     	                       	                      	                	                      	V                          	F                      	                     	                    	                          	                         	F                       	C                	                        	                   	                         	F                     	C                    	C                       	C                         	                      	F                  	                    	C                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 26	X	 3	  98.00	    231.7800	Clark    	Nannofossils                                 	A              	M                 	F                  	C                      	                         	                       	A                    	                    	                   	                     	                       	                      	                	                      	A                          	F                      	                     	                    	                          	                         	F                       	C                	                        	                   	                         	F                     	C                    	F                       	C                         	                      	F                  	                    	C                           	F                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 26	X	 4	  97.00	    233.2700	Clark    	Nannofossils                                 	F              	P                 	                   	F                      	                         	                       	F                    	                    	                   	                     	                       	                      	                	                      	C                          	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	F                    	                        	R                         	                      	F                  	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 26	X	CC	  20.00	    233.4900	Clark    	Nannofossils                                 	R              	P                 	                   	                       	                         	                       	R                    	                    	                   	                     	                       	                      	                	                      	F                          	                       	                     	                    	                          	                         	                        	R                	                        	                   	                         	                      	                     	                        	R                         	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 27	X	 1	  48.00	    237.7800	Clark    	Nannofossils                                 	A              	G                 	F                  	C                      	                         	                       	A                    	                    	                   	                     	R                      	                      	                	                      	A                          	F                      	                     	                    	                          	                         	F                       	F                	                        	                   	                         	R                     	A                    	F                       	C                         	                      	F                  	                    	C                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 27	X	 5	  48.00	    243.7800	Clark    	Nannofossils                                 	A              	G                 	F                  	C                      	rR                       	                       	A                    	                    	                   	                     	R                      	                      	                	                      	A                          	C                      	                     	                    	                          	                         	F                       	C                	                        	                   	                         	F                     	A                    	C                       	C                         	                      	F                  	                    	C                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 27	X	 6	  48.00	    245.2800	Clark    	Nannofossils                                 	R              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	F                          	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 28	X	 2	 137.00	    249.6700	Clark    	Nannofossils                                 	C              	M                 	F                  	C                      	                         	                       	A                    	                    	                   	                     	                       	                      	                	                      	A                          	C                      	                     	                    	                          	                         	F                       	F                	                        	                   	                         	F                     	C                    	F                       	C                         	                      	F                  	                    	F                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 28	X	 4	 116.00	    252.4600	Clark    	Nannofossils                                 	A              	M                 	C                  	C                      	                         	                       	A                    	                    	                   	                     	                       	                      	                	                      	A                          	C                      	                     	                    	                          	rR                       	F                       	F                	                        	                   	                         	F                     	A                    	R                       	C                         	                      	F                  	                    	R                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 28	X	 5	 116.00	    253.9600	Clark    	Nannofossils                                 	R              	P                 	                   	                       	                         	                       	                     	                    	                   	                     	                       	                      	                	                      	F                          	                       	                     	                    	                          	                         	                        	                 	                        	                   	                         	                      	                     	                        	                          	                      	                   	                    	                            	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Late Oligocene   	                 	CP19b             	              	110	 672	A	 28	X	CC	  16.00	    255.8900	Clark    	Nannofossils                                 	C              	M                 	F                  	C                      	                         	                       	A                    	                    	                   	                     	R                      	                      	                	                      	A                          	F                      	                     	                    	                          	rR                       	                        	C                	                        	                   	                         	F                     	C                    	C                       	C                         	                      	F                  	R                   	F                           	C                       	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 29	X	 1	  85.00	    257.1500	Clark    	Nannofossils                                 	A              	M                 	F                  	A                      	                         	                       	A                    	                    	                   	                     	R                      	                      	R               	rR                    	A                          	F                      	rR                   	                    	R                         	C                        	R                       	C                	                        	                   	                         	F                     	A                    	F                       	C                         	C                     	F                  	F                   	F                           	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 29	X	 2	  85.00	    258.6500	Clark    	Nannofossils                                 	A              	M                 	F                  	A                      	                         	                       	A                    	                    	                   	                     	                       	                      	F               	                      	A                          	F                      	                     	                    	                          	C                        	F                       	F                	                        	                   	                         	F                     	C                    	C                       	C                         	C                     	F                  	                    	F                           	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 29	X	CC	  21.00	    265.8600	Clark    	Nannofossils                                 	A              	M                 	F                  	C                      	rR                       	                       	A                    	                    	                   	                     	R                      	                      	                	                      	A                          	C                      	                     	                    	                          	C                        	F                       	C                	                        	                   	                         	F                     	A                    	C                       	C                         	C                     	F                  	                    	R                           	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 30	X	 2	  77.00	    268.0700	Clark    	Nannofossils                                 	A              	M                 	C                  	A                      	                         	                       	A                    	                    	                   	                     	                       	                      	F               	                      	A                          	C                      	rR                   	                    	                          	C                        	F                       	F                	                        	                   	                         	F                     	A                    	F                       	A                         	C                     	F                  	F                   	F                           	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.

  SR	Early Oligocene  	                 	CP18              	              	110	 672	A	 30	X	 3	  85.00	    269.6500	Clark    	Nannofossils                                 	A              	M                 	F                  	A                      	                         	                       	A                    	                    	                   	                     	                       	R                     	F               	                      	A                          	F                      	                     	                    	                          	A                        	F                       	F                	                        	                   	                         	F                     	A                    	F                       	A                         	C                     	F                  	                    	F                           	                        	                     	                      	                        	                     	                  	                   	                      	                      	                     	                          	                   	                       	                   	                      	                  	                               	                       	                  	                       	                        	                   	                  	                      	                            	                     	                  	                    	                        	                 	                    	                    	                       	                     	                     	                     	                      	                         	from ODP 110 SR. Chapter 9. Table 2. back pocket microfiche.
