Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies	Reticulofenestra pseudoumbilica	Helicosphaera carteri	Discoaster variabilis	Discoaster hamatus	Discoaster bellus	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus leptoporus	Discoaster neorectus	Discoaster intercalaris	Discoaster asymmetricus (grainy)	Discoaster brouweri	Scyphosphaera pulcherrima	Reticulofenestra minuta	Discoaster prepentaradiatus	Discoaster bollii	Discoaster pentaradiatus	Discoaster neohamatus	Thoracosphaera sp.	Discoaster deflandrei	Discoaster surculus	Discoaster quinqueramus	Reticulofenestra minutula	Discoaster loeblichii	Discolithina sp.	Pontosphaera pachymorpha	Triquetrorhabdulus rugosus	Discoaster berggrenii	Calcidiscus tropicus	Amaurolithus amplificus	Amaurolithus primus	Amaurolithus delicatus	Helicosphaera sellii	Microrhabdulus attenuatus	Ceratolithus armatus	Ceratolithus sp.	Discoaster blackstockae	Discolithina japonica	Discoaster tristellifer	Pseudoemiliania lacunosa	Crenalithus sp.	Sphenolithus neoabies	Umbilicosphaera sibogae	Ceratolithus rugosus	Ceratolithus cristatus	Gephyrocapsa spp. (small)	Umbilicosphaera sp.	Helicosphaera neogranulata	Syracosphaera pulchra	Discoaster triradiatus	Discoaster sp.	Gephyrocapsa oceanica s.l.	Scapholithus fossilis	Helicosphaera wallichii	Discosphaera tubifera	Rhabdosphaera clavigera	Comment

  SR	                 	                 	CN10b             	CN11b         	116	 717	C	 44	X	CC	  18.00	    387.9100	Gartner  	Nannofossils                                 	               	                  	F                 	F                              	R                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	F                  	                         	C                      	                           	                 	F                       	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	T               	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN10b             	CN11b         	116	 717	C	 45	X	 4	  35.00	    392.8500	Gartner  	Nannofossils                                 	               	                  	F                 	F                              	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	R                  	                         	F                      	                           	                 	F                       	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	T               	T                      	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN10a             	              	116	 717	C	 45	X	CC	  42.00	    397.7500	Gartner  	Nannofossils                                 	               	                  	C                 	C                              	F                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	F                  	                         	A                      	                           	                 	F                       	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	T               	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	                 	                 	CN10a             	              	116	 717	C	 46	X	CC	  38.00	    403.2200	Gartner  	Nannofossils                                 	               	                  	A                 	F                              	T                    	                     	                  	                 	T                    	                   	R                     	                    	                       	                                	F                  	                         	C                      	                           	                 	F                       	                     	                  	                     	C                  	                       	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	R                   	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 47	X	CC	  46.00	    411.7200	Gartner  	Nannofossils                                 	               	                  	C                 	F                              	F                    	F                    	                  	                 	                     	                   	F                     	                    	                       	                                	C                  	                         	                       	                           	                 	C                       	                     	                  	                     	F                  	                       	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	R                   	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 48	X	 6	  41.00	    424.4100	Gartner  	Nannofossils                                 	               	                  	C                 	R                              	                     	F                    	                  	                 	                     	                   	F                     	                    	                       	                                	F                  	                         	C                      	                           	                 	C                       	                     	                  	                     	C                  	C                      	A                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 48	X	CC	  38.00	    426.1800	Gartner  	Nannofossils                                 	               	                  	                  	T                              	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 49	X	 2	  13.00	    427.6300	Gartner  	Nannofossils                                 	               	                  	A                 	T                              	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	R                      	                           	                 	                        	                     	                  	                     	R                  	F                      	A                        	                     	                	                        	                          	                     	                    	                       	                   	                      	R                   	T                        	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 49	X	 2	  48.00	    427.9800	Gartner  	Nannofossils                                 	               	                  	A                 	R                              	F                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	C                      	                           	                 	                        	                     	                  	                     	R                  	F                      	A                        	                     	                	                        	                          	                     	                    	                       	                   	                      	R                   	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 49	X	 2	 130.00	    428.8000	Gartner  	Nannofossils                                 	               	                  	C                 	                               	R                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	F                  	                         	                       	                           	                 	F                       	                     	                  	                     	                   	F                      	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 50	X	 4	  95.00	    440.9500	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	R                      	                           	                 	T                       	                     	                  	                     	                   	R                      	R                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 50	X	CC	  45.00	    445.1400	Gartner  	Nannofossils                                 	               	                  	F                 	T                              	T                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	                       	                           	                 	R                       	                     	                  	                     	R                  	R                      	C                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 51	X	 1	   9.00	    445.0900	Gartner  	Nannofossils                                 	               	                  	A                 	C                              	T                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	C                      	                           	                 	                        	                     	                  	                     	F                  	C                      	                         	                     	                	                        	                          	                     	                    	                       	T                  	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 51	X	 3	  17.00	    448.1700	Gartner  	Nannofossils                                 	               	                  	F                 	T                              	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	                   	                         	F                      	                           	                 	R                       	                     	                  	                     	R                  	F                      	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 51	X	CC	  30.00	    451.0900	Gartner  	Nannofossils                                 	               	                  	R                 	                               	T                    	R                    	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	                       	                           	                 	                        	                     	                  	                     	R                  	F                      	R                        	                     	                	                        	                          	                     	                    	                       	                   	T                     	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 52	X	 2	  74.00	    456.7400	Gartner  	Nannofossils                                 	               	                  	T                 	                               	                     	T                    	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	                       	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 52	X	 3	  76.00	    458.2600	Gartner  	Nannofossils                                 	               	                  	                  	T                              	                     	F                    	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	                       	                           	                 	                        	                     	                  	                     	R                  	F                      	                         	                     	                	                        	                          	                     	                    	T                      	R                  	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 52	X	CC	  34.00	    458.9700	Gartner  	Nannofossils                                 	               	                  	R                 	T                              	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	R                  	                         	R                      	                           	                 	                        	                     	                  	                     	F                  	F                      	                         	                     	                	                        	                          	R                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 53	X	CC	  41.00	    473.7500	Gartner  	Nannofossils                                 	               	                  	R                 	                               	                     	                     	                  	                 	                     	                   	                      	                    	R                      	                                	                   	                         	R                      	                           	                 	                        	                     	                  	                     	F                  	C                      	                         	                     	                	                        	                          	F                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 54	X	 5	 106.00	    480.5600	Gartner  	Nannofossils                                 	               	                  	F                 	R                              	T                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	R                  	                         	                       	                           	                 	                        	                     	                  	                     	F                  	C                      	                         	                     	                	                        	                          	                     	                    	T                      	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 54	X	CC	  32.00	    483.1600	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	                       	                           	                 	                        	                     	                  	                     	                   	R                      	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 55	X	 2	 120.00	    485.7000	Gartner  	Nannofossils                                 	               	                  	C                 	F                              	R                    	                     	                  	                 	                     	                   	T                     	                    	                       	                                	R                  	                         	F                      	                           	                 	                        	                     	                  	                     	R                  	                       	F                        	                     	                	                        	                          	F                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 55	X	CC	  56.00	    487.1700	Gartner  	Nannofossils                                 	               	                  	C                 	F                              	T                    	                     	                  	                 	                     	                   	R                     	                    	                       	                                	                   	                         	F                      	                           	                 	F                       	                     	                  	                     	T                  	F                      	F                        	                     	                	                        	                          	R                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 56	X	 4	  47.00	    497.4700	Gartner  	Nannofossils                                 	               	                  	F                 	R                              	                     	                     	                  	                 	                     	                   	T                     	                    	                       	                                	R                  	                         	F                      	                           	                 	                        	                     	                  	                     	R                  	F                      	R                        	                     	                	                        	                          	R                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 56	X	CC	  52.00	    502.3200	Gartner  	Nannofossils                                 	               	                  	F                 	R                              	T                    	                     	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	R                      	                           	                 	T                       	                     	                  	                     	                   	F                      	F                        	                     	                	                        	                          	R                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 57	X	 2	  54.00	    504.0400	Gartner  	Nannofossils                                 	               	                  	F                 	R                              	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	                   	                         	F                      	                           	                 	                        	                     	                  	                     	R                  	R                      	F                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 57	X	CC	  37.00	    511.6900	Gartner  	Nannofossils                                 	               	                  	C                 	F                              	                     	                     	                  	                 	T                    	                   	                      	                    	                       	                                	F                  	                         	C                      	                           	                 	                        	                     	                  	                     	F                  	F                      	C                        	                     	                	                        	                          	                     	R                   	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 59	X	 5	 140.00	    528.4000	Gartner  	Nannofossils                                 	               	                  	                  	                               	                     	T                    	                  	                 	                     	                   	T                     	                    	                       	                                	T                  	                         	                       	                           	                 	                        	                     	                  	                     	                   	R                      	                         	                     	                	                        	                          	T                    	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 59	X	CC	  41.00	    530.7300	Gartner  	Nannofossils                                 	               	                  	R                 	T                              	                     	                     	                  	                 	                     	                   	                      	                    	                       	                                	R                  	                         	R                      	                           	                 	                        	                     	                  	                     	R                  	F                      	T                        	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175

  SR	Late Miocene     	                 	CN9a              	CN9b          	116	 717	C	 60	X	CC	  19.00	    534.3200	Gartner  	Nannofossils                                 	               	                  	R                 	                               	                     	                     	                  	                 	T                    	                   	T                     	                    	                       	                                	R                  	                         	T                      	                           	                 	                        	                     	                  	                     	                   	R                      	                         	                     	                	                        	                          	                     	                    	                       	                   	                      	                    	                         	                    	                	                       	                     	                       	                        	               	                     	                       	                    	                      	                         	                   	                          	                     	                      	              	                          	                     	                       	                     	                       	from ODP Leg 116 SR Chapter 15 Figure 6 p 170-175
