Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Haplophragmoides sp.	Cyclammina spp.	Bathysiphon sp. 	Trochammina sp.	Spiroplectammina spectabilis	Ammodiscus sp.	Cyclammina amplectans	Cribrostomoides sp.	Tubes (unspecified)	Trochammina spp.	Haplophragmoides spp.	Spirolocammina sp.	Rhabdammina spp.	Recurvoides sp.	Spirosigmoilinella sp.	Melonis zaandamae	Epistominella exigua	Cibicidoides grimsdalei	Anomalinoides alazanensis	Spirosigmoilinella spp.	Cibicides spp.	Cassidulina subglobosa	Cassidulina laevigata	Oridorsalis umbonatus	Eponides umbonatus	Cibicides wuellerstorfi	Stainforthia loeblichi	Cassidulina reniforme	Pyrgo murrhina	Comment

  IR	                 	                 	D2                	              	104	 643	A	 48	X	CC	  39.00	    458.4900	Osterman 	Benthic Foraminifers                         	F              	M                 	                    	               	                	               	                            	              	T                    	T                  	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 49	X	 2	  75.00	    460.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	                   	                	                     	+                 	                	               	+                     	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 49	X	 4	  75.00	    463.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	33.3%          	                	               	                            	              	                     	                   	41.3%              	1.0%            	16.3%                	1.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 7.1%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 49	X	 5	  75.00	    465.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	13.0%          	                	               	                            	              	                     	                   	24.0%              	                	22.0%                	2.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 39%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 49	X	 6	  75.00	    466.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	35.2%          	                	               	                            	              	                     	                   	14.8%              	                	                     	3.4%              	                	               	1.1%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 10.2%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 49	X	CC	  11.00	    467.9200	Osterman 	Benthic Foraminifers                         	               	                  	                    	21.0%          	                	               	                            	              	                     	                   	33.0%              	2.0%            	31.0%                	2.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 11%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D2                	              	104	 643	A	 49	X	CC	  30.00	    468.1100	Osterman 	Benthic Foraminifers                         	F              	P                 	T                   	               	                	               	                            	              	T                    	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 50	X	CC	  20.00	    469.1700	Osterman 	Benthic Foraminifers                         	               	                  	                    	9.0%           	                	               	                            	              	                     	                   	32.0%              	1.0%            	43.0%                	1.0%              	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 14%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D2                	              	104	 643	A	 50	X	CC	  33.00	    469.3000	Osterman 	Benthic Foraminifers                         	F              	M                 	                    	               	                	               	                            	              	T                    	                   	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 1	  75.00	    478.4500	Osterman 	Benthic Foraminifers                         	               	                  	                    	7.4%           	                	               	                            	              	                     	                   	17.9%              	1.0%            	67.4%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 6.3%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 2	  75.00	    479.9500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	16.0%              	                	78.0%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 6%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 3	  75.00	    481.4500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 4	  75.00	    482.9500	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 5	  75.00	    484.4500	Osterman 	Benthic Foraminifers                         	               	                  	                    	5.5%           	                	               	                            	              	                     	                   	82.6%              	                	4.6%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 7.3%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 6	  75.00	    485.9500	Osterman 	Benthic Foraminifers                         	               	                  	                    	16.0%          	                	               	                            	              	                     	                   	38.0%              	1.0%            	17.0%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 28%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	 6	 115.00	    486.3500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	                   	+               	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 51	X	CC	  33.00	    487.3900	Osterman 	Benthic Foraminifers                         	               	                  	                    	8.0%           	                	               	                            	              	                     	                   	32.0%              	6.0%            	17.0%                	                  	                	               	1.0%                  	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 36%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D2                	              	104	 643	A	 51	X	CC	  40.00	    487.4600	Osterman 	Benthic Foraminifers                         	F              	M                 	T                   	               	                	               	                            	              	T                    	T                  	                   	                	                     	                  	                	T              	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = ~99%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	 1	  80.00	    488.1000	Osterman 	Benthic Foraminifers                         	               	                  	                    	57.7%          	                	               	                            	              	                     	                   	34.1%              	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 8.2%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	 2	  80.00	    489.6000	Osterman 	Benthic Foraminifers                         	               	                  	                    	2.0%           	                	               	                            	              	                     	                   	41.0%              	6.0%            	7.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 44%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	 3	  80.00	    491.1000	Osterman 	Benthic Foraminifers                         	               	                  	                    	28.9%          	                	               	                            	              	                     	                   	44.3%              	1.3%            	12.8%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 12.8%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	 4	  80.00	    492.6000	Osterman 	Benthic Foraminifers                         	               	                  	                    	12.0%          	                	               	                            	              	                     	                   	59.0%              	2.0%            	9.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 18%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	 5	  80.00	    494.1000	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	+               	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	 6	  80.00	    495.6000	Osterman 	Benthic Foraminifers                         	               	                  	                    	18.0%          	                	               	                            	              	                     	                   	29.0%              	                	12.0%                	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 41%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 52	X	CC	  18.00	    496.8500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	D2                	              	104	 643	A	 52	X	CC	  45.00	    497.1200	Osterman 	Benthic Foraminifers                         	F              	M                 	T                   	T              	                	               	                            	T             	T                    	T                  	                   	                	                     	                  	                	T              	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = ~90%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	 1	  75.00	    497.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	26.0%          	                	               	                            	              	                     	                   	44.0%              	                	1.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 29%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	 2	  75.00	    499.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	43.4%          	                	               	                            	              	                     	                   	32.0%              	5.7%            	5.7%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 13.1%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	 3	  75.00	    500.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	10.0%          	                	               	                            	              	                     	                   	48.0%              	7.0%            	7.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 28%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	 4	  75.00	    502.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	23.0%          	                	               	                            	              	                     	                   	58.0%              	4.0%            	8.3%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 6.7%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	 5	  75.00	    503.7500	Osterman 	Benthic Foraminifers                         	               	                  	                    	7.0%           	                	               	                            	              	                     	                   	71.0%              	1.0%            	5.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 16%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	 6	  75.00	    505.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	82.8%              	                	5.3%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 11.9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 53	X	CC	  10.00	    505.8100	Osterman 	Benthic Foraminifers                         	               	                  	                    	5.0%           	                	               	                            	              	                     	                   	74.0%              	5.0%            	1.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 15%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	E                 	              	104	 643	A	 53	X	CC	  46.00	    506.1700	Osterman 	Benthic Foraminifers                         	R              	                  	                    	               	                	               	                            	              	                     	                   	                   	                	                     	                  	T               	T              	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477

  SR	                 	                 	D2                	D1            	104	 643	A	 54	X	 1	  72.00	    507.4200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	88.0%              	2.6%            	4.9%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 5.2%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 54	X	 2	  72.00	    508.9200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	68.0%              	                	9.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 23%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 54	X	 3	  72.00	    510.4200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	D2                	D1            	104	 643	A	 54	X	 4	  72.00	    511.9200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 54	X	 5	  72.00	    513.4200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 54	X	 6	  72.00	    514.9200	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	+               	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 54	X	CC	  17.00	    516.2500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	86.3%              	2.0%            	4.4%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 7.2%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 55	X	 1	  75.00	    517.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	4.0%           	                	               	                            	              	                     	                   	49.0%              	11.0%           	1.0%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 35%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 55	X	 2	  75.00	    518.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	56.6%              	6.6%            	13.2%                	.7%               	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 22.9%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 55	X	 4	  75.00	    521.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	70.1%              	8.0%            	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 21.7%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 55	X	 5	  75.00	    523.1500	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	+               	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 55	X	 6	  75.00	    524.6500	Osterman 	Benthic Foraminifers                         	               	                  	                    	2.6%           	                	               	                            	              	                     	                   	84.2%              	4.0%            	1.1%                 	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 8.1%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 56	X	 1	  74.00	    526.7400	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	                   	                	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 56	X	 2	  74.00	    528.2400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	+               	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 56	X	 4	  74.00	    531.2400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	+               	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 56	X	 5	  74.00	    532.7400	Osterman 	Benthic Foraminifers                         	               	                  	                    	+              	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 56	X	 6	  74.00	    534.2400	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	+               	+                    	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = +; from ODP 104 SR Chapter 37 Table 5 p 757-762

  SR	                 	                 	E                 	              	104	 643	A	 56	X	CC	   6.00	    535.3900	Osterman 	Benthic Foraminifers                         	               	                  	                    	               	                	               	                            	              	                     	                   	+                  	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other taxa = 0%; from ODP 104 SR Chapter 37 Table 5 p 757-762

  IR	                 	                 	E                 	              	104	 643	A	 56	X	CC	  33.00	    535.6600	Osterman 	Benthic Foraminifers                         	R              	P                 	                    	T              	                	               	                            	T             	                     	T                  	                   	                	                     	                  	                	               	                      	                 	                    	                       	                         	                       	              	                      	                     	                     	                  	                       	                      	                     	              	Other benthic species = T; Benthic forams = 100%; from 104 IR Chapter 5 Table 7 p 477
