Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Sphenolithus intercalaris	Rhabdosphaera tenuis	Reticulofenestra umbilica	Reticulofenestra samodurovii	Reticulofenestra minutula	Pedinocyclus larvalis	Helicosphaera wilcoxonii	Helicosphaera euphratis	Helicosphaera compacta	Discoaster saipanensis	Discoaster barbadiensis	Dictyococcites bisectus	Cyclicargolithus floridanus	Cribrocentrum reticulatum	Coronocyclus nitescens	Coccolithus pelagicus	Coccolithus miopelagicus	Coccolithus formosus	Clausicoccus fenestratus	Chiasmolithus titus	Calcidiscus protoannulus	Bramletteius serraculoides	Braarudosphaera bigelowii	Bicolumnus ovatus	Sphenolithus radians	Rhabdosphaera crebra	Pontosphaera scissura	Pontosphaera ovata	Helicosphaera bramlettei	Discoaster tanii ssp. indet.	Discoaster nodifer	Discoaster deflandrei	Dictyococcites daviesii	Cyclicargolithus luminis	Pyrocyclus hermosus	Isthmolithus recurvus	Helicosphaera reticulata	Chiasmolithus oamaruensis	Braarudosphaera discula	Chiasmolithus grandis	Sphenolithus pseudoradians	Discoaster tanii ornatus	Sphenolithus predistentus	Pemma papillatum	Micrantholithus flos	Micrantholithus aequalis	Sphenolithus predistentus/distentus intergrade	Micrantholithus truncus	Cyclicargolithus abisectus	Chiasmolithus altus	Sphenolithus distentus	Sphenolithus dissimilis	Triquetrorhabdulus carinatus	Sphenolithus ciperoensis	Peritrachelina joidesa	Helicosphaera recta	Pyrocyclus orangensis	Triquetrorhabdulus milowii	Syracosphaera sp.	Sphenolithus sp. cf. S. capricornutus	Helicosphaera perch-nielseniae	Hayaster perplexus	Scyphosphaera spp.	Ilselithina fusa	Sphenolithus belemnos	Helicosphaera carteri	Cryptococcolithus takayamae	Calcidiscus tropicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Discoaster druggii	Umbilicosphaera sibogae	Calcidiscus leptoporus	Discoaster variabilis	Pontosphaera spp.	Calcidiscus premacintyrei	Pontosphaera multipora	Helicosphaera ampliaperta	Geminilithella rotula	Discoaster signus	Solidopons petrae	Rhabdosphaera procera	Pontosphaera discopora	Discoaster musicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Helicosphaera walbersdorfensis	Hayella aperta	Discoaster brouweri	Triquetrorhabdulus auritus	Syracosphaera spp.	Holodiscolithus macroporus	Discoaster bollii	Catinaster coalitus	Discoaster pseudovariabilis	Discoaster kugleri	Holodiscolithus solidus	Calcidiscus macintyrei	Sphenolithus abies	Lithostromation perdurum	Discoaster hamatus	Catinaster calyculus	Helicosphaera stalis	Helicosphaera orientalis	Discoaster bellus	Minylitha convallis	Discoaster prepentaradiatus	Discoaster neohamatus	Triquetrorhabdulus extensus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster quinqueramus	Discoaster bergenii	Discoaster surculus	Scapholithus fossilis	Amaurolithus primus	Reticulofenestra rotaria	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster asymmetricus	Amaurolithus tricorniculatus	Amaurolithus ninae	Comment

  SR	Oligocene        	                 	CP19a             	              	157	 950	A	 37	X	 5	 120.00	    340.2000	Howe     	Nannofossils                                 	H              	M-G               	F                      	C                      	                         	                    	                         	R                           	R                        	                     	                        	R                      	                      	                      	                       	F                      	A                          	                         	F                     	C                    	F                       	                    	F                       	                   	                        	                          	R                        	R                	                    	                    	                     	R                 	                        	R                           	                  	C                    	R                      	                        	                   	                     	                        	                         	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	C                         	                   	R                     	                       	                            	F                       	                      	R                  	R                    	S                         	R                	S                                    	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP19a             	              	157	 950	A	 37	X	 6	 120.00	    341.7000	Howe     	Nannofossils                                 	H              	M                 	F                      	C                      	                         	                    	                         	R                           	R                        	                     	                        	                       	                      	                      	                       	C                      	C                          	                         	R                     	C                    	F                       	                    	F                       	                   	R                       	                          	S                        	                 	                    	                    	                     	                  	                        	                            	                  	C                    	R                      	                        	                   	S                    	                        	                         	R                      	                     	S                         	                        	R                        	                	S                   	                        	R                                             	                       	C                         	                   	F                     	S                      	                            	C                       	S                     	                   	R                    	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP19a             	              	157	 950	A	 37	X	 7	   9.00	    342.0900	Howe     	Nannofossils                                 	H              	M                 	R                      	C                      	                         	                    	R                        	F                           	R                        	                     	                        	                       	                      	                      	S                      	                       	A                          	                         	R                     	C                    	F                       	S                   	S                       	                   	S                       	R                         	                         	S                	                    	                    	                     	                  	                        	R                           	                  	C                    	R                      	                        	                   	                     	                        	                         	                       	                     	R                         	R                       	F                        	                	                    	                        	F                                             	                       	C                         	                   	F                     	                       	                            	R                       	                      	S                  	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP18              	              	157	 950	A	 37	X	CC	  45.00	    342.8800	Howe     	Nannofossils                                 	H              	M                 	F                      	C                      	                         	                    	                         	F                           	F                        	                     	                        	                       	S                     	R                     	                       	C                      	A                          	                         	R                     	C                    	F                       	R                   	R                       	                   	                        	                          	S                        	R                	                    	                    	                     	S                 	                        	R                           	R                 	C                    	R                      	                        	                   	                     	                        	                         	R                      	                     	R                         	                        	R                        	                	                    	                        	F                                             	                       	C                         	S                  	F                     	R                      	S                           	?S                      	R                     	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP18              	              	157	 950	A	 38	X	 2	 115.00	    345.2500	Howe     	Nannofossils                                 	M-H            	M                 	F                      	C                      	                         	                    	R                        	F                           	F                        	                     	                        	                       	                      	S                     	                       	F                      	A                          	                         	F                     	C                    	F                       	                    	R                       	                   	                        	                          	                         	                 	                    	                    	                     	                  	                        	R                           	R                 	C                    	F                      	                        	                   	S                    	                        	                         	                       	                     	R                         	                        	F                        	                	                    	                        	R                                             	                       	F                         	                   	F                     	F                      	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP17              	              	157	 950	A	 38	X	 3	 112.00	    346.7200	Howe     	Nannofossils                                 	H              	M                 	F                      	C                      	                         	                    	R                        	F                           	F                        	                     	                        	                       	R                     	                      	                       	C                      	A                          	S                        	R                     	C                    	F                       	R                   	F                       	                   	R                       	R                         	                         	                 	                    	                    	                     	                  	                        	                            	                  	C                    	                       	                        	                   	S                    	                        	                         	R                      	S                    	R                         	                        	C                        	                	                    	                        	R                                             	                       	F                         	R                  	                      	F                      	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Single Cretaceous reworking. found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP17              	              	157	 950	A	 38	X	 4	  88.00	    347.9800	Howe     	Nannofossils                                 	H              	M-G               	F                      	C                      	                         	                    	S                        	F                           	F                        	                     	                        	                       	R                     	R                     	S                      	C                      	A                          	                         	R                     	C                    	F                       	S                   	F                       	                   	R                       	R                         	                         	R                	                    	                    	                     	                  	                        	F                           	F                 	F                    	R                      	                        	S                  	R                    	                        	S                        	R                      	                     	R                         	                        	C                        	                	                    	                        	R                                             	                       	F                         	                   	?S                    	R                      	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP17              	              	157	 950	A	 38	X	 6	  46.00	    350.5600	Howe     	Nannofossils                                 	H              	M                 	F                      	C                      	                         	                    	R                        	F                           	F                        	                     	R                       	                       	F                     	                      	                       	C                      	A                          	                         	R                     	C                    	F                       	R                   	F                       	                   	S                       	S                         	                         	R                	                    	                    	                     	S                 	                        	R                           	F                 	F                    	                       	                        	R                  	S                    	                        	                         	R                      	                     	R                         	                        	C                        	                	S                   	                        	F                                             	                       	F                         	S                  	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP16c             	              	157	 950	A	 38	X	 6	 131.00	    351.4100	Howe     	Nannofossils                                 	M-H            	M                 	F                      	C                      	                         	                    	F                        	C                           	C                        	                     	                        	                       	S                     	R                     	R                      	C                      	A                          	?S                       	R                     	C                    	F                       	R                   	                        	                   	S                       	F                         	                         	S                	                    	                    	                     	                  	                        	F                           	R                 	F                    	R                      	                        	                   	R                    	                        	                         	                       	                     	R                         	R                       	F                        	                	                    	                        	S                                             	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Oligocene        	                 	CP16c             	              	157	 950	A	 38	X	CC	  42.00	    352.4700	Howe     	Nannofossils                                 	H              	M                 	R                      	C                      	                         	                    	F                        	F                           	C                        	                     	                        	                       	R                     	                      	S                      	C                      	A                          	                         	S                     	C                    	F                       	S                   	F                       	                   	                        	F                         	S                        	R                	                    	                    	                     	                  	                        	R                           	R                 	F                    	S                      	                        	                   	S                    	                        	S                        	R                      	                     	                          	                        	R                        	                	                    	                        	S                                             	S                      	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Late Eocene      	Oligocene        	CP16a             	CP16b         	157	 950	A	 39	X	 1	  89.00	    353.1900	Howe     	Nannofossils                                 	M              	P-M               	F                      	C                      	                         	                    	F                        	F                           	C                        	                     	                        	                       	R                     	                      	                       	C                      	A                          	                         	                      	C                    	F                       	R                   	C                       	                   	                        	F                         	                         	R                	                    	                    	                     	                  	                        	F                           	R                 	F                    	R                      	                        	                   	S                    	                        	R                        	R                      	                     	R                         	                        	F                        	                	                    	                        	R                                             	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Late Eocene      	Oligocene        	CP16a             	CP16b         	157	 950	A	 39	X	 3	  70.00	    356.0000	Howe     	Nannofossils                                 	M-H            	M-G               	                       	C                      	                         	R                   	F                        	C                           	C                        	                     	                        	                       	F                     	R                     	R                      	C                      	A                          	                         	                      	C                    	F                       	F                   	C                       	R                  	                        	F                         	                         	R                	                    	                    	                     	                  	                        	R                           	                  	R                    	                       	                        	S                  	R                    	R                       	                         	R                      	S                    	R                         	                        	R                        	                	S                   	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.

  SR	Late Eocene      	Oligocene        	CP16a             	CP16b         	157	 950	A	 39	X	 5	  29.00	    358.5900	Howe     	Nannofossils                                 	H              	M-G               	F                      	C                      	                         	S                   	F                        	C                           	C                        	                     	R                       	?S                     	F                     	R                     	S                      	C                      	C                          	S                        	S                     	C                    	F                       	C                   	F                       	R                  	F                       	C                         	                         	S                	                    	                    	                     	                  	                        	F                           	S                 	R                    	R                      	                        	S                  	F                    	R                       	                         	F                      	                     	R                         	                        	S                        	S               	S                   	S                       	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Single Bramletteius serraculoides coccolith.  found in SR Ch 29. Table 2.

  SR	Late Eocene      	                 	CP15b             	              	157	 950	A	 39	X	 6	 130.00	    361.1000	Howe     	Nannofossils                                 	H              	M-G               	F                      	F                      	                         	                    	C                        	C                           	C                        	                     	R                       	                       	F                     	C                     	C                      	C                      	A                          	                         	R                     	C                    	F                       	C                   	R                       	R                  	R                       	C                         	                         	S                	R                   	                    	                     	                  	                        	F                           	F                 	R                    	                       	                        	S                  	F                    	R                       	F                        	                       	                     	                          	F                       	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	Single Bramletteius serraculoides coccolith.  found in SR Ch 29. Table 2.

  SR	Late Eocene      	                 	CP15b             	              	157	 950	A	 39	X	 6	 140.00	    361.2000	Howe     	Nannofossils                                 	M              	M                 	                       	F                      	                         	                    	F                        	C                           	C                        	                     	                        	                       	R                     	C                     	C                      	C                      	                           	                         	R                     	C                    	R                       	C                   	                        	S                  	                        	F                         	                         	R                	                    	                    	                     	                  	                        	F                           	R                 	                     	                       	                        	                   	F                    	                        	R                        	                       	                     	                          	                        	                         	                	                    	                        	                                              	                       	                          	                   	                      	                       	                            	                        	                      	                   	                     	                          	                 	                                     	                              	                  	                  	                	                     	                     	                           	                    	                          	                       	                  	                       	                      	                     	                 	                         	                      	                         	                     	                 	                 	                     	                      	                  	                          	                                	                              	              	                   	                          	                  	                          	                 	                   	                           	                  	                       	                      	                  	                        	                  	                    	                    	                        	                 	                   	                           	                     	                           	                        	                     	                       	                   	                   	                     	                   	                        	                      	                       	                       	                            	                  	found in SR Ch 29. Table 2.
