Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Victoriellidae (unspecified taxon or taxa),Rotaliid taxa,Orbitolites sp.,Orbitolites cf. douvellei,Miliolid taxa,Foraminifers (small),Alveolina sp.,Alveolina fornasinii,Alveolina aragonensis group,Rotalia sp.,Nummulites sp.,Nummulites burdigalensis group,Alveolina dainellii/palermitana,Alveolina cf. dainellii,Alveolina aff. palermitana,Discocyclina sp.,Somalina sp.,Operculina sp.,Nummulites burdigalensis cantabricus/campesinus,Alveolina canavarii group,Asterocyclina sp.,Linderina? sp.,Nummulites partchi group,Gypsina sp.,Discocyclina sella,Discocyclina douvillei,Assilina sp.,Nummulites pratti,Nummulites cf. caupennensis,Uvigerina pigmea (spinose),Stilostomella lepidula,Osangularia bengalensis,Orthomorphina perversa,Oridorsalis umbonatus,Melonis pacificus,Gyroidinoides altispirus,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (medium size),Globocassidulina subglobosa (large form),Cibicidoides kullenbergi,Cassidulina crassa,Bulimina semicostata,Bolivinopsis gryzbowski,Bolivinita quadrilatera,Bolivinid (crenulate),Bolivina striatocola,Bolivina pulchra,Pullenia bulloides,Planulina renzi,Lenticulina vortex,Cibicidoides havanensis,Bulimina striata,Bulimina macilenta,Anomalinoides semicribratus,Stilostomella subspinosa,Pleurostomella subcylindrica,Martinottiella variabilis,Karreriella bradyi,Eggerella propinqua,Chrysalogonium equisetiformis,Bulimina alazanensis,Siphonodosaria modesta,Rectuvigerina spinea,Bolivina pseudoplicata,Uvigerina auberiana,Melonis affinis,Loxostomum sp.,Hanzawaia cushmani,Bolivina subreticulata,Bolivina peregrina,Bolivina arta,Sphaeroidina bulloides,Bolivina sp.,Pullenia sp.,Cassidulina laevigata,Nuttallides umbonifera,Cibicidoides cf. C. perlucidus,Lenticulina cf. L. calcar,Heterolepa dohmi,Pullenia quadriloba,Eggerella bradyi,Cibicidoides bradyi,Bulimina tuxpamensis,Bolivina tongi,Planulina cf. C. wuellerstorfi,Gyroidinoides planulatus,Stilostomella insecta,Trifarina pigmea,Planulina marialanna,Karreriella subrotundata,Gyroidinoides soldanii,Cibicidoides haitensis,Gaudryina sp.,Cassidulinoides bradyi,Bolivina tortuosa,Laticarinina pauperata,Heterolepa rugosa,Bulava sp.,Siphonina tenuicarinata,Ehrenbergina hystrix,Cibicides wuellerstorfi,Pullenia quinqueloba,Bolivina sp. (inflated),Bolivina cf. B. pulchra,Martinottiella petrosa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 16,R, 1,  10.00,    143.3000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,+              ,                         ,C            ,A                   ,+            ,                    ,                           ,+          ,+             ,                              ,                               ,+                      ,                          ,+               ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 16,R, 1,  18.00,    143.3800,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,A            ,+              ,                         ,A            ,A                   ,+            ,                    ,                           ,+          ,C             ,                              ,+                              ,+                      ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,+           ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 17,R,CC,  25.00,    153.1500,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,A            ,+              ,                         ,C            ,A                   ,+            ,                    ,+                          ,+          ,A             ,                              ,+                              ,+                      ,                          ,+               ,            ,              ,                                               ,                         ,+                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 18,R, 1,   1.00,    162.6100,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,+              ,                         ,C            ,C                   ,+            ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 18,R, 1,  19.00,    162.7900,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,+              ,                         ,C            ,A                   ,+            ,                    ,                           ,+          ,A             ,+                             ,C                              ,                       ,                          ,+               ,            ,              ,                                               ,                         ,+                ,              ,                        ,           ,+                 ,+                     ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 18,R, 1,  20.00,    162.8000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,A            ,+              ,+                        ,C            ,A                   ,C            ,+                   ,                           ,+          ,A             ,C                             ,+                              ,+                      ,                          ,+               ,+           ,+             ,                                               ,+                        ,+                ,+             ,+                       ,+          ,+                 ,+                     ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 19,R, 1,   2.00,    172.2200,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,               ,                         ,C            ,A                   ,+            ,+                   ,                           ,+          ,A             ,C                             ,+                              ,                       ,                          ,+               ,            ,              ,                                               ,                         ,                 ,+             ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 19,R, 1,  10.00,    172.3000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,+            ,                    ,                           ,           ,              ,                              ,+                              ,                       ,                          ,                ,            ,              ,                                               ,                         ,C                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 19,R, 1,  20.00,    172.4000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,             ,               ,                         ,C            ,C                   ,+            ,                    ,                           ,           ,              ,                              ,+                              ,                       ,                          ,                ,            ,              ,                                               ,                         ,C                ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 19,R, 1,  22.00,    172.4200,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,C            ,                    ,                           ,           ,+             ,                              ,+                              ,                       ,                          ,                ,            ,              ,                                               ,+                        ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 20,R,CC,  15.00,    181.9500,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,C              ,+                        ,C            ,A                   ,A            ,+                   ,+                          ,+          ,A             ,                              ,C                              ,C                      ,+                         ,+               ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 20,R,CC,  15.00,    181.9500,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,+            ,                    ,                           ,           ,+             ,                              ,                               ,                       ,                          ,C               ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 21,R, 1,   8.00,    191.4800,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,C              ,+                        ,C            ,A                   ,C            ,+                   ,+                          ,+          ,A             ,C                             ,+                              ,+                      ,+                         ,+               ,+           ,+             ,+                                              ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 21,R, 1,  27.00,    191.6700,Nicora   ,Benthic Foraminifers                         ,               ,                  ,                                          ,C            ,               ,                         ,C            ,A                   ,C            ,+                   ,+                          ,           ,+             ,                              ,+                              ,+                      ,                          ,C               ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 21,R, 1,  64.00,    192.0400,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,C              ,                         ,C            ,A                   ,+            ,                    ,                           ,           ,              ,                              ,+                              ,+                      ,+                         ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 22,R, 1,  10.00,    201.2000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,               ,                         ,C            ,A                   ,+            ,                    ,                           ,           ,              ,C                             ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,115, 715,A, 22,R, 1,  90.00,    202.0000,Nicora   ,Benthic Foraminifers                         ,               ,                  ,+                                         ,C            ,C              ,                         ,C            ,A                   ,+            ,                    ,                           ,+          ,+             ,                              ,                               ,                       ,                          ,                ,            ,              ,                                               ,                         ,                 ,              ,                        ,           ,                  ,                      ,            ,                 ,                           ,                          ,                      ,                       ,                      ,                     ,                 ,                        ,                                        ,                                         ,                                        ,                        ,                  ,                    ,                       ,                       ,                     ,                    ,                ,                  ,               ,                  ,                       ,                ,                  ,                           ,                        ,                            ,                         ,                  ,                   ,                             ,                    ,                      ,                    ,                      ,                   ,               ,              ,                  ,                      ,                  ,             ,                      ,            ,            ,                     ,                      ,                              ,                         ,                ,                   ,                ,                   ,                    ,              ,                              ,                        ,                     ,                ,                    ,                        ,                      ,                      ,             ,                      ,                 ,                      ,                 ,          ,                       ,                    ,                       ,                    ,                       ,                       ,                      ,from 115 SR. Chapter 21. Table 1. page 383.
