Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Martinottiella communis	Quinqueloculina spp.	Martinottiella nodulosa	Gyroidinoides sp. A	Cassidulina norcrossi	Miliammina echigoensis	Dentalina spp.	Cyclammina cancellata	Uvigerina hispida	Uvigerina akitaensis	Melonis pompilioides	Globobulimina subaffinis	Uvigerina spp.	Rotaliid taxa	Cassidulina cushmani	Quinqueloculina vulgaris	Quinqueloculina cf. lamarckiana	Pyrgo depressa	Pullenia salisburyi	Planulina sp. A	Parafissurina tectulostoma	Oridorsalis umbonatus	Melonis nicobarense	Fissurina spp.	Stilostomella lepidula	Pyrgo murrhina	Oridorsalis tener	Cassidulina norvangi	Pyrgoella sp.	Pandaglandulina sp. A	Globobulimina pacifica	Globobulimina auriculata	Nonionella stella	Bolivina pacifica	Pyrgo spp.	Pseudoparrella takayanagii	Lenticulina spp.	Lagena apiopleura	Fissurina sublagenoides	Fissurina cucurbitasema	Fissurina annectens	Dentalina frobisherensis	Cassidulina sp. A	Astrononion hamadaense	Pleurostomella sp. A	Parafissurina striatum	Parafissurina sp.	Nonionella(?) fragilis   	Lagena tricaritortuosa	Lagena nebulosa	Lagena distoma	Fissurina marginata	Fissurina lucida	Fissurina lagenoides	Cibicides sp.	Stainforthia complanata	Spiloloculina sp.	Pseudoeponides japonica	Planularia asanoi	Parafissurina lateralis crassa	Parafissurina fersinea	Oolina melo	Miliolid taxa	Eilohedra rotunda	Cassidulina spp.	Bulimina sp. A	Bolivina spp.	Bolivina decussata	Triloculina tricarinata	Lagena elongata	Stainforthia fusiformis	Pseudoparrella naraensis	Parafissurina costata	Nodosariid taxa	Bulimina striata	Anomalina globulosa	Pandaglandulina spp.	Epistominella pulchella	Valvulineria sadonica	Polymorphinid taxa	Buliminella tenuata	Brizalina sp. A aff. B. bradyi	Bolivina sp. A aff. B. difformis	Trifarina kokozuraensis	Stainforthia sandiegoensis	Anomalina glabrata	Glabratella globularis	Elphidium spp.	Cibicides sp. A	Bulimina marginata	Cassidulinoides tenuis	Pseudononion grateloupi	Chilostomellina frimbriata	Bulimina aculeata	Stainforthia sp. A	Quadrimorphina laevigata	Lagena spp.	Fissurina multicostulata	Bolivinita quadrilatera	Nonionellina labradorica	Dentalina setanaensis	Rutherfordoides cf. rotundiformis	Nonionella globosa	Uvigerina wakimotoensis	Lagena sulcata	Echigoina hataii	Cibicides spp.	Cassidulina japonica	Bolivina subspinescens	Angulogerina sp. A	Cassidulina cf. japonica	Cibicides asanoi	Lagena substriata	Glandulina laevigata	Pseudonodosalia spp.	Marginulina sp.	Glandulina spp.	Epistominella sp. A	Dentalina ittai 	Comment

  SR	                 	                 	                  	              	128	 799	A	 19	H	 2	  33.00	    166.6300	Kato     	Benthic Foraminifers                         	               	M                 	11                     	                    	                       	                   	                     	89                    	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 19	H	 3	  33.00	    168.1300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	39                     	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	46                    	15                      	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 19	H	 4	  33.00	    169.6300	Kato     	Benthic Foraminifers                         	               	P                 	60                     	                    	10                     	10                 	10                   	                      	              	                     	                 	                    	                    	                        	              	             	                    	10                      	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 19	H	 5	  33.00	    171.1300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	T                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 20	H	 2	  35.00	    176.3500	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	T            	                    	T                       	                               	              	                   	               	                          	T                    	                   	              	                      	              	                 	                    	T            	T                    	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 20	H	 4	  35.00	    179.3500	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	                   	                     	T                     	              	                     	                 	                    	                    	                        	              	T            	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 20	H	 7	  36.00	    183.8600	Kato     	Benthic Foraminifers                         	               	M                 	                       	5                   	                       	                   	                     	61                    	              	                     	2                	                    	18                  	                        	              	             	                    	                        	                               	              	2                  	               	                          	                     	                   	              	2                     	5             	2                	2                   	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 22	X	 3	  33.00	    197.1300	Kato     	Benthic Foraminifers                         	               	M                 	                       	                    	                       	17                 	                     	13                    	              	                     	                 	                    	4                   	                        	3             	             	                    	13                      	7                              	10            	7                  	7              	3                         	3                    	7                  	3             	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 22	X	 7	  33.00	    203.1300	Kato     	Benthic Foraminifers                         	               	P                 	                       	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	13                      	75            	13           	3                   	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 23	X	 3	  48.00	    206.9800	Kato     	Benthic Foraminifers                         	               	P                 	46                     	                    	46                     	                   	                     	8                     	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 23	X	 6	  48.00	    211.4800	Kato     	Benthic Foraminifers                         	               	P                 	19                     	                    	33                     	14                 	                     	                      	5             	                     	5                	10                  	10                  	5                       	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 27	X	 3	  33.00	    244.7300	Kato     	Benthic Foraminifers                         	               	P                 	                       	T                   	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 32	X	 2	  33.00	    280.0300	Kato     	Benthic Foraminifers                         	               	P                 	T                      	                    	                       	                   	                     	                      	              	T                    	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 32	X	 6	  33.00	    286.0300	Kato     	Benthic Foraminifers                         	               	M                 	T                      	                    	                       	                   	                     	T                     	T             	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 34	X	 3	  33.00	    300.9300	Kato     	Benthic Foraminifers                         	               	P                 	T                      	T                   	T                      	T                  	T                    	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

  SR	                 	                 	                  	              	128	 799	A	 51	X	 1	  29.00	    462.1900	Kato     	Benthic Foraminifers                         	               	P                 	T                      	                    	                       	                   	                     	                      	              	                     	                 	                    	                    	                        	              	             	                    	                        	                               	              	                   	               	                          	                     	                   	              	                      	              	                 	                    	             	                     	                      	                        	                 	                 	          	                          	                	                 	                       	                       	                   	                        	                 	                      	                    	                      	                 	                         	                      	               	              	                   	                	                    	             	                       	                 	                       	                 	                              	                      	           	             	                 	                	              	             	                  	                       	               	                       	                        	                     	               	                	                   	                    	                       	                     	                  	                   	                              	                                	                       	                          	                  	                      	              	               	                  	                      	                       	                          	                 	                  	                        	           	                        	                       	                        	                     	                                 	                  	                       	              	                	              	                    	                      	                  	                        	                	                 	                    	                    	               	               	                   	                	from ODP Legs 1277128 SR Chapter 22 Table 3 ?publication

