Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tenuitella reissi	Subbotinid gen. et sp. indet (with abortive chambers)	Subbotina triloculinoides	Subbotina triangularis	Subbotina patagonica	Subbotina eocaenica	Planorotalites spp.	Planorotalites compressus	Chiloguembelinid  gen. et sp. indet <150 µm	Acarinina praepentacamerata	Acarinina nitida	Acarinina mckannai	Acarinina aquiensis	Acarinina acarinata	Subbotina pseudobulloides	Morozovella hispidicidaris	Morozovella convexa	Acarinina whitei	Acarinina velascoensis	Acarinina subsphaerica	Acarinina intermedia	Acarinina esnaensis	Planorotalites chapmani	Morozovella tadjikistanensis dianensis	Acarinina chascanona	Morozovella nicoli	Acarinina rotundimarginata	Zeauvigerina spp.	Planorotalites planoconicus	Acarinina trichotrocha	Acarinina soldadoensis	Subbotina pseudoeocaena compacta	Subbotina pseudoeocaena	Subbotina eocaenica irregularis	Planorotalites pseudoscitulus elongatus	Planorotalites pseudoscitulus	Globorotaloides spp.	Globorotaloides sp. 1	Globorotalia praecentralis	Globigerinatheka senni	Acarinina triplex	Acarinina primitiva	Acarinina praetopilensis	Subbotina sp. aff. S.hornibrooki	Subbotina pseudoeocaena trilobata	Subbotina crociapertura	Pseudohastigerina wilcoxensis	Planorotalites australiformis	Morozovella subbotinae	Morozovella nicoli ex. group (biconvex)	Morozovella lensiformis	Morozovella dolabrata	Globorotaloides sp. aff. G.suteri	Acarinina pseudotopilensis	Acarinina interposita	Subbotina higginsi	Pseudohastigerina micra <150 µm	Morozovella broedermanni	Guembelitria spp. <150 µm	Acarinina rugosoaculeata	Acarinina pentacamerata	Acarinina collactea	Acarinina bullbrooki/matthewsae	Acarinina sp. aff. mattseensis alticonica	Acarinina appressocamerata	Subbotina ratusa	Subbotina inaequispira	Subbotina corpulenta	Subbotina eocaena	Acarinina decepta	Morozovella crater	Acarinina sp. cf. A.quadratoseptata	Catapsydrax taroubaensis	Pseudohastigerina danvillensis	Acarinina spinuloinflata	Cassigerinelloita amekiensis	Subbotina hagni	Globigerina venezuelana	Dentoglobigerina pseudovenezuelana	Catapsydrax spp.	Globorotaloides suteri	Globorotaloides oregonensis	Whiteinella sp.	Subbotina utilisindex	Subbotina sp. cf. S. azerbadjanica	Subbotina angiporoides	Globigerinatheka subconglobata	Subbotina angiporoides minima	Globigerinatheka index	Subbotina linaperta	Paragloborotalia opima nana	Tenuitella gemma / munda	Catapsydrax globiformis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis ciperoensis	Catapsydrax dissimilis	Globigerinids sp.	Globigerina senilis	Globigerina euapertura	Globigerina praebulloides	? Prosphaeroidinella sp.	Globigerina praebulloides leroyi	Globigerina officinalis	Cassigerinella chipolensis	Comment

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 43	X	 5	 112.00	    399.2200	Nocchi   	Planktonic Foraminifers                      	C              	P                 	R                	                                                     	                         	                      	                    	R                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	                     	                          	C                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 43	X	 6	  76.00	    400.3600	Nocchi   	Planktonic Foraminifers                      	C              	P                 	F                	                                                     	                         	                      	                    	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	F                    	                          	C                     	                 	A                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	VR                        	                     	                  	                               	                        	                         	VR                      	                       	                   	                               	                                         	                          	                	                      	VR                  	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	VR                    	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	A.appressocamerata reworked ?; strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 43	X	CC	  10.00	    400.5100	Nocchi   	Planktonic Foraminifers                      	C              	M                 	F                	                                                     	                         	                      	                    	R                  	                   	                         	VR                                         	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	F                         	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	C                    	                          	C                     	                 	C                  	                        	                                	                                 	                       	VR                           	                             	                      	R                                      	                       	                     	VR                               	                          	                     	                  	F                              	                        	                         	VR                      	                       	F                  	VR                             	                                         	                          	                	                      	                    	                 	                 	                  	VR                                 	                        	VR                            	                        	                            	               	                       	                                  	                	                      	C                          	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	 1	 103.00	    412.1300	Nocchi   	Planktonic Foraminifers                      	C              	P                 	F                	                                                     	                         	                      	                    	F                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	VR                              	                       	R                              	                                       	                             	F                   	C                    	                          	F                     	                 	C                  	                        	                                	                                 	                       	                             	F                            	                      	                                       	                       	                     	F                                	                          	                     	                  	                               	                        	VR                       	F                       	                       	VR                 	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	VR                      	                            	               	                       	                                  	                	C                     	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	 2	 103.00	    413.6300	Nocchi   	Planktonic Foraminifers                      	C              	P                 	F                	                                                     	                         	                      	                    	F                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	R                               	                       	F                              	                                       	                             	F                   	F                    	                          	C                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	F                        	                        	                       	                   	                               	F                                        	                          	                	                      	                    	F                	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	VR                    	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	 3	 103.00	    415.1300	Nocchi   	Planktonic Foraminifers                      	C              	P                 	F                	                                                     	                         	                      	                    	F                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	F                    	                          	C                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	                                 	                          	                     	                  	                               	                        	                         	VR                      	                       	                   	                               	                                         	                          	                	                      	VR                  	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	F               	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	 4	 103.00	    416.6300	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                	F                                                    	                         	                      	                    	F                  	VR                 	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	F                          	                      	                      	F                               	                       	C                              	                                       	                             	F                   	F                    	                          	C                     	                 	A                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	F                                	                          	                     	                  	                               	                        	                         	                        	                       	VR                 	                               	C                                        	                          	                	                      	F                   	F                	                 	                  	                                   	                        	                              	                        	                            	               	C                      	F                                 	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	 5	 103.00	    418.1300	Nocchi   	Planktonic Foraminifers                      	C              	P                 	F                	                                                     	                         	                      	                    	F                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	                                	                       	                               	                                       	                             	F                   	F                    	                          	C                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	F                                	                          	                     	                  	                               	                        	F                        	                        	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	 6	  98.00	    419.5800	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                	                                                     	                         	                      	F                   	F                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	R                               	F                      	F                              	                                       	VR                           	R                   	F                    	                          	F                     	                 	A                  	                        	                                	                                 	                       	VR                           	                             	                      	                                       	                       	                     	F                                	                          	                     	                  	                               	                        	F                        	F                       	                       	                   	                               	                                         	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 45	X	CC	  30.00	    420.7800	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                	F                                                    	                         	                      	R                   	C                  	C                  	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	F                   	                   	                       	                                      	                    	                  	F                         	                 	VR                         	                      	                      	F                               	C                      	C                              	F                                      	F                            	C                   	F                    	                          	                      	                 	C                  	F                       	                                	VR                               	F                      	                             	F                            	                      	VR                                     	                       	                     	F                                	                          	                     	                  	                               	                        	VR                       	F                       	                       	F                  	                               	                                         	                          	                	F                     	F                   	F                	                 	                  	VR                                 	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 47	X	 2	  16.00	    431.7600	Nocchi   	Planktonic Foraminifers                      	A              	P                 	R                	R                                                    	                         	                      	                    	C                  	F                  	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	VR                  	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	F                               	F                      	C                              	F                                      	VR                           	F                   	F                    	                          	F                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	F                                      	                       	                     	                                 	F                         	                     	                  	                               	                        	                         	VR                      	                       	                   	                               	C                                        	                          	                	                      	                    	F                	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	strong etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 47	X	 3	  16.00	    433.2600	Nocchi   	Planktonic Foraminifers                      	A              	M                 	R                	                                                     	                         	                      	F                   	                   	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	F                               	                       	C                              	                                       	VR                           	F                   	F                    	                          	F                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	F                                	VR                        	                     	                  	                               	                        	                         	                        	                       	F                  	VR                             	                                         	                          	                	                      	                    	F                	                 	                  	VR                                 	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 47	X	 4	  16.00	    434.7600	Nocchi   	Planktonic Foraminifers                      	A              	M                 	                 	F                                                    	                         	                      	F                   	C                  	                   	                         	VR                                         	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	F                               	F                      	C                              	VR                                     	VR                           	                    	F                    	                          	                      	                 	A                  	                        	                                	                                 	                       	                             	                             	                      	                                       	                       	                     	F                                	                          	                     	                  	                               	                        	VR                       	                        	                       	                   	                               	C                                        	                          	                	                      	                    	                 	                 	                  	                                   	                        	                              	                        	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 47	X	 5	  16.00	    436.2600	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                	                                                     	                         	                      	F                   	C                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	                    	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	F                               	F                      	C                              	VR                                     	VR                           	F                   	F                    	                          	F                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	F                                      	                       	                     	                                 	                          	                     	                  	                               	F                       	                         	F                       	                       	F                  	                               	C                                        	C                         	                	                      	                    	                 	                 	                  	F                                  	                        	                              	F                       	                            	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	S.higginsi doubtful occurrence; slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Middle Eocene    	                 	P10               	P11           	114	 699	A	 47	X	 6	  10.00	    437.7000	Nocchi   	Planktonic Foraminifers                      	A              	M                 	F                	                                                     	                         	                      	F                   	C                  	                   	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	F                   	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	F                               	F                      	C                              	                                       	                             	C                   	F                    	                          	C                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	VR                                     	                       	                     	F                                	                          	                     	                  	                               	                        	F                        	                        	                       	F                  	                               	C                                        	                          	                	                      	                    	                 	                 	                  	VR                                 	                        	                              	                        	R                           	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket

  SR	Early Eocene     	                 	P9                	              	114	 699	A	 47	X	 7	  29.00	    439.3900	Nocchi   	Planktonic Foraminifers                      	A              	P                 	R                	R                                                    	                         	                      	                    	C                  	VR                 	                         	                                           	                           	                	                  	                   	                   	                         	                          	                   	                	                      	                      	VR                  	                   	                       	                                      	                    	                  	                          	                 	                           	                      	                      	F                               	                       	C                              	F                                      	                             	R                   	F                    	                          	C                     	                 	C                  	                        	                                	                                 	                       	                             	                             	                      	VR                                     	                       	                     	VR                               	                          	                     	                  	                               	                        	                         	VR                      	                       	VR                 	                               	C                                        	                          	                	                      	                    	                 	                 	F                 	F                                  	                        	                              	                        	R                           	               	                       	                                  	                	                      	                           	               	                     	                                  	                      	                              	                             	                      	                   	                           	                        	                       	                         	                    	                                  	                      	                 	                   	                      	                         	                        	                                	                       	                          	slight to medium etching of chambers is observed; from ODP Leg 114 SR Chapter 12 Table 3 back-pocket
