Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Globorotalia siakensis,Globorotalia menardii menardii (sinistral),Globorotalia mayeri,Globoquadrina dehiscens,Globigerinoides trilobus,Globorotalia continuosa,Globoquadrina venezuelana,Globoquadrina baroemoenensis,Globigerinoides obliquus obliquus,Globigerina druryi,Globigerinita glutinata,Sphaeroidinellopsis seminulina,Globorotalia scitula,Globorotalia lenguaensis,Globigerina decoraperta,Globorotalia cf. Gr. conoidea,Globigerina nepenthes,Globorotalia menardii cultrata (sinistral),Dentoglobigerina altispira,Globigerinoides obliquus extremus,Globigerina woodi,Neogloboquadrina cf. Nq. acostaensis,Globigerinoides quadrilobatus,Globorotalia plesiotumida (sinistral),Orbulina suturalis,Globorotalia miozea,Neogloboquadrina acostaensis (sinistral),Globigerinoides sacculifer,Neogloboquadrina humerosa,Globigerina falconensis,Globorotalia menardii menardii (dextral),Globorotalia juanai,Globigerinella aequilateralis,Globorotalia conomiozea,Globorotalia margaritae primitivae,Globigerinoides conglobatus,Neogloboquadrina acostaensis (dextral),Globorotalia cf. Gr. conomiozea,Globorotalia margaritae,Globorotalia tumida,Hastigerina siphonifera,Globorotalia cf. Gr. multicamerata,Globorotalia menardii cultrata (dextral),Globigerina quinqueloba,Neogloboquadrina dutertrei,Globigerinoides elongatus,Neogloboquadrina pachyderma (dextral),Globorotalia multicamerata,Globorotalia pseudomiocenica,Globigerinoides ruber,Globorotalia puncticulata,Globorotalia crassaformis,Globorotalia miocenica,Globigerinoides pyramidalis,Globorotalia hirsuta,Globorotalia exilis,Globorotalia cf. Gr. miocenica,Globigerina rubescens,Globigerina bulloides,Globorotalia inflata,Turborotalita humilis,Globigerina helicina,Globorotalia crassula,Globigerina apertura,Globorotaloides hexagona,Globorotalia pseudopima,Globigerina calida praecalida,Globigerina calida cf. calida,Neogloboquadrina pachyderma (sinistral),Globorotalia pertenuis,Globorotalia crassaformis viola,Globigerina eamsi,Sphaeroidinella dehiscens,Globigerina cf. Gg. bulloides,Globigerinella obesa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 23,R, 1,  24.00,    388.8400,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,F                                         ,                   ,                       ,                        ,                       ,                         ,                            ,                                 ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,A                    ,                                          ,                          ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,                          ,R                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 23,R, 3,  84.00,    392.4400,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,                          ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 23,R, 5,  32.00,    394.9200,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,                          ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 23,R, 6,  23.00,    396.3300,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,F                ,                      ,                                          ,                   ,                       ,F                       ,                       ,                         ,                            ,F                                ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,F                    ,                                          ,F                         ,                                 ,                 ,                                    ,                             ,F                                    ,                  ,                   ,F                                       ,F                         ,                         ,F                      ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 24,R, 1,  41.00,    398.5100,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,F                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,A                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,                          ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,C                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 24,R, 3, 123.00,    402.3300,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,F                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,                       ,A                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,F                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 24,R,CC,  23.00,    404.5000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,C                                         ,                   ,                       ,                        ,                       ,C                        ,                            ,                                 ,                  ,                       ,A                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,R                                       ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 25,R, 1,  30.00,    408.0000,Brunner  ,Planktonic Foraminifers                      ,A              ,G                 ,                 ,                      ,A                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,                       ,C                             ,C                   ,                        ,                       ,                             ,R                    ,                                          ,A                         ,F                                ,                 ,                                    ,                             ,F                                    ,                  ,                   ,F                                       ,F                         ,F                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 25,R, 2, 130.00,    410.5000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,                                          ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,R                      ,C                             ,F                   ,                        ,                       ,                             ,F                    ,                                          ,F                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,C                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 25,R,CC,  22.00,    413.7600,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,R                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,A                             ,                    ,                        ,                       ,                             ,C                    ,                                          ,A                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 26,R, 3, 106.00,    421.3600,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,C                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,                                 ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,R                    ,                                          ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,C                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 26,R, 4,   0.00,    421.8000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,C                                         ,                   ,                       ,C                       ,                       ,                         ,R                           ,F                                ,                  ,                       ,R                             ,                    ,                        ,                       ,                             ,A                    ,                                          ,A                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,C                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 27,R, 1, 134.00,    428.3400,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,A                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,R                    ,                                          ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,C                                       ,F                         ,F                        ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 27,R, 3,  91.00,    430.9100,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,A                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,C                                ,                  ,                       ,F                             ,F                   ,                        ,                       ,                             ,F                    ,A                                         ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,C                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 27,R,CC,  22.00,    433.4300,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,C                ,                      ,C                                         ,                   ,                       ,F                       ,                       ,F                        ,                            ,                                 ,                  ,                       ,C                             ,                    ,                        ,                       ,                             ,                     ,C                                         ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 28,R, 1,  41.00,    437.0100,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,                 ,                      ,A                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,C                                ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,                     ,A                                         ,C                         ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,C                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 28,R, 2, 130.00,    439.4000,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,A                ,                      ,C                                         ,                   ,                       ,C                       ,                       ,R                        ,F                           ,                                 ,                  ,F                      ,C                             ,                    ,F                       ,                       ,                             ,                     ,C                                         ,C                         ,                                 ,                 ,                                    ,                             ,F                                    ,                  ,                   ,                                        ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 28,R, 3, 139.00,    440.9900,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,                 ,                      ,F                                         ,                   ,                       ,F                       ,                       ,                         ,                            ,F                                ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,                     ,                                          ,                          ,F                                ,                 ,                                    ,                             ,R                                    ,                  ,F                  ,                                        ,                          ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,                 ,M11               ,              ,157, 953,C, 28,R, 4,  53.00,    441.6300,Brunner  ,Planktonic Foraminifers                      ,C              ,M                 ,C                ,                      ,A                                         ,                   ,                       ,C                       ,                       ,                         ,                            ,F                                ,                  ,                       ,F                             ,                    ,                        ,                       ,                             ,F                    ,C                                         ,                          ,                                 ,                 ,                                    ,                             ,                                     ,                  ,                   ,F                                       ,F                         ,                         ,                       ,                                        ,                   ,                             ,                       ,                                  ,                           ,                                      ,                               ,                       ,                   ,                       ,                                  ,                                        ,                       ,                          ,                         ,                                     ,                          ,                            ,                     ,                         ,                         ,                      ,                           ,                    ,                   ,                              ,                     ,                     ,                    ,                     ,                    ,                     ,                    ,                        ,                       ,                             ,                             ,                                       ,                      ,                               ,                 ,                         ,                             ,                    ,unpublished shipboard data by Brunner(2065) and Maniscalco(5180)
