Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus predistentus,Sphenolithus moriformis,Sphenolithus abies/neoabies,Rhabdosphaera clavigera,Reticulofenestra umbilica,Reticulofenestra sp. (<5 microns),Reticulofenestra sp. (5-7 microns),Pontosphaera segmenta,Helicosphaera sp.,Helicosphaera kamptneri,Helicosphaera compacta,Gephyrocapsa spp. (large >5.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Ericsonia formosa,Discoaster spp. (5 rays),Discoaster sp.,Discoaster saipanensis,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster deflandrei,Discoaster brouweri,Discoaster barbadiensis,Discoaster asymmetricus,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Coccolithus pelagicus,Clausicoccus fenestratus,Ceratolithus sp.,Calcidiscus macintyrei,Calcidiscus leptoporus,Braarudosphaera sp.,Zygrhablithus bijugatus,Sphenolithus conicus,Discoaster tanii,Cyclicargolithus abisectus,Sphenolithus dissimilis,Pseudoemiliania lacunosa,Hayaster perplexus,Umbilicosphaera mirabilis,Oolithotus fragilis,Helicosphaera granulata,Discoaster variabilis,Discoaster surculus,Calcidiscus sp.,Amaurolithus delicatus,Reticulofenestra pseudoumbilica (<7 microns),Micrantholithus sp.,Dictyococcites sp.,Sphenolithus heteromorphus,Pontosphaera sp.,Ceratolithus rugosus,Sphenolithus distentus,Coronocyclus nitescens,Discoaster nodifer,Helicosphaera euphratis,Bramletteius serraculoides,Lanternithus minutus,Cribrocentrum reticulatum,Chiasmolithus oamaruensis,Sphenolithus pseudoradians,Discoaster adamanteus,Syracosphaera pulchra,Sphenolithus ciperoensis,Reticulofenestra hampdenensis,Pedinocyclus larvalis,Calcidiscus protoannulus,Blackites sp.,Sphenolithus radians,Cruciplacolithus cruciformis,Scapholithus fossilis,Syracosphaera sp.,Scyphosphaera sp.,Pontosphaera discopora,Pontosphaera japonica,Helicosphaera recta,Oolithotus sp.,Sphenolithus delphix,Umbellosphaera irregularis,Emiliania huxleyi,Gephyrocapsa spp. small (<3.5 microns),Braarudosphaera bigelowii,Discoaster challengeri,Ceratolithus cristatus,Helicosphaera inversa,Syracosphaera clava,Discoaster quadramus,Discoaster triradiatus,Discoaster binodosus,Helicosphaera sellii,Discoaster tamalis,Catinaster coalitus,Discosphaera tubifera,Discoaster bramlettei,Scyphosphaera globulata,Catinaster umbrellus,Ceratolithus simplex,Discoaster berggrenii,Ceratolithus telesmus,Pontosphaera indooceanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19              ,CN14          ,134, 829,A, 33,R, 1,  70.00,    302.5000,Staerker ,Nannofossils                                 ,A              ,M                 ,                         ,A                      ,rS                         ,                       ,                         ,                                 ,                                  ,                     ,                 ,R                      ,                      ,S                                     ,                                       ,                 ,                        ,              ,                      ,rR                     ,                        ,C                    ,R                  ,                       ,                       ,                        ,                       ,A                          ,C                    ,S                       ,                ,                      ,S                     ,                   ,                       ,                    ,                ,                          ,S                      ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,rS                        ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A, 34,R, 1,  80.00,    312.1000,Staerker ,Nannofossils                                 ,C              ,F                 ,                         ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,S                       ,S                      ,A                          ,A                    ,C                       ,                ,                      ,                      ,                   ,R                      ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,R                      ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A, 35,R, 1,  12.00,    320.6200,Staerker ,Nannofossils                                 ,C              ,F                 ,                         ,C                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,                        ,S                      ,A                          ,A                    ,C                       ,                ,                      ,                      ,                   ,R                      ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,S                       ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Oligocene   ,Early Miocene    ,CP19              ,CN1           ,134, 829,A, 37,R, 1,  35.00,    340.1500,Staerker ,Nannofossils                                 ,A              ,F                 ,                         ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,S                       ,S                      ,A                          ,C                    ,C                       ,                ,                      ,                      ,                   ,                       ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19              ,CN14          ,134, 829,A, 38,R,CC,  19.00,    349.6900,Staerker ,Nannofossils                                 ,A              ,M                 ,                         ,A                      ,rR                         ,                       ,                         ,S                                ,                                  ,                     ,                 ,S                      ,                      ,S                                     ,R                                      ,rR               ,S                       ,R             ,                      ,rR                     ,                        ,C                    ,                   ,                       ,                       ,                        ,                       ,A                          ,C                    ,S                       ,                ,                      ,S                     ,                   ,                       ,                    ,                ,S                         ,                       ,                        ,                  ,S                        ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19              ,CN14          ,134, 829,A, 39,R, 1,  20.00,    359.3000,Staerker ,Nannofossils                                 ,A              ,F                 ,                         ,A                      ,rR                         ,S                      ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,S                                     ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,                        ,C                      ,A                          ,A                    ,C                       ,                ,                      ,S                     ,                   ,S                      ,                    ,                ,C                         ,                       ,S                       ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CP19              ,CN14          ,134, 829,A, 39,R, 1,  46.00,    359.5600,Staerker ,Nannofossils                                 ,A              ,M                 ,                         ,A                      ,                           ,R                      ,                         ,                                 ,                                  ,                     ,                 ,R                      ,                      ,S                                     ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,A                    ,R                  ,                       ,                       ,S                       ,S                      ,A                          ,C                    ,C                       ,                ,                      ,S                     ,                   ,                       ,                    ,                ,S                         ,                       ,S                       ,                  ,S                        ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,R               ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,CP1               ,CP17          ,134, 829,A, 40,R, 1,  60.00,    369.4000,Staerker ,Nannofossils                                 ,A              ,F                 ,                         ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,S                ,                       ,                      ,                                      ,                                       ,                 ,                        ,S             ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,S                       ,C                      ,A                          ,A                    ,A                       ,                ,                      ,                      ,                   ,S                      ,                    ,                ,A                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,S                     ,                      ,                  ,R                      ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,S                       ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,CP1               ,CP17          ,134, 829,A, 41,R, 1,  47.00,    378.8700,Staerker ,Nannofossils                                 ,C              ,F                 ,S                        ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,                        ,C                      ,A                          ,A                    ,S                       ,                ,                      ,                      ,                   ,R                      ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,S                     ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,CP1               ,CP17          ,134, 829,A, 41,R, 3,  28.00,    380.1900,Staerker ,Nannofossils                                 ,C              ,F                 ,A                        ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,S                       ,S                      ,A                          ,A                    ,C                       ,                ,                      ,                      ,                   ,R                      ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,                 ,CP1               ,CP17          ,134, 829,A, 42,R, 1, 100.00,    389.1000,Staerker ,Nannofossils                                 ,A              ,F                 ,C                        ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,R             ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,S                       ,C                      ,A                          ,A                    ,                        ,                ,                      ,                      ,                   ,S                      ,                    ,                ,C                         ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,S                     ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Oligocene        ,Late Oligocene   ,CP1               ,CP17          ,134, 829,A, 43,R, 1,  15.00,    397.8500,Staerker ,Nannofossils                                 ,A              ,F                 ,C                        ,A                      ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,S                       ,S             ,                      ,                       ,                        ,C                    ,                   ,                       ,                       ,                        ,C                      ,A                          ,A                    ,S                       ,                ,                      ,                      ,                   ,                       ,                    ,                ,                          ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,S                     ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,CP15              ,              ,134, 829,A, 43,R, 1,  44.00,    398.1400,Staerker ,Nannofossils                                 ,C              ,F                 ,C                        ,A                      ,                           ,                       ,S                        ,S                                ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,S                ,S                       ,C             ,S                     ,                       ,                        ,                     ,                   ,S                      ,                       ,S                       ,C                      ,A                          ,C                    ,                        ,                ,                      ,                      ,                   ,                       ,                    ,                ,                          ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,S                         ,                    ,S                        ,                         ,                          ,                     ,                     ,                        ,S                            ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16              ,              ,134, 829,A, 43,R, 1,  72.00,    398.4200,Staerker ,Nannofossils                                 ,C              ,F                 ,                         ,C                      ,                           ,                       ,S                        ,S                                ,S                                 ,                     ,                 ,                       ,                      ,                                      ,                                       ,S                ,S                       ,S             ,                      ,                       ,                        ,S                    ,                   ,                       ,                       ,                        ,C                      ,                           ,S                    ,                        ,                ,                      ,                      ,                   ,                       ,                    ,                ,                          ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,R                            ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,CP16              ,              ,134, 829,A, 43,R, 1, 105.00,    398.7500,Staerker ,Nannofossils                                 ,C              ,F                 ,S                        ,A                      ,                           ,                       ,S                        ,                                 ,                                  ,                     ,                 ,                       ,S                     ,                                      ,                                       ,C                ,S                       ,S             ,                      ,                       ,                        ,                     ,                   ,                       ,                       ,                        ,C                      ,A                          ,A                    ,A                       ,                ,                      ,                      ,                   ,S                      ,                    ,                ,                          ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,S                 ,                          ,                ,                    ,                      ,                      ,                  ,                       ,S                         ,                    ,                         ,                         ,                          ,                     ,                     ,S                       ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,CP15              ,              ,134, 829,A, 43,R, 2,  40.00,    399.6000,Staerker ,Nannofossils                                 ,C              ,F                 ,                         ,C                      ,                           ,                       ,S                        ,                                 ,R                                 ,                     ,                 ,                       ,                      ,                                      ,                                       ,C                ,                        ,S             ,S                     ,                       ,                        ,                     ,                   ,C                      ,                       ,C                       ,C                      ,C                          ,C                    ,                        ,                ,                      ,                      ,                   ,                       ,                    ,                ,                          ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,134, 829,A, 43,R, 3,  60.00,    401.3000,Staerker ,Nannofossils                                 ,R              ,F                 ,                         ,                       ,                           ,                       ,                         ,                                 ,                                  ,                     ,                 ,                       ,                      ,                                      ,                                       ,                 ,                        ,              ,                      ,                       ,                        ,                     ,                   ,                       ,                       ,                        ,R                      ,R                          ,                     ,                        ,                ,                      ,                      ,                   ,                       ,                    ,                ,                          ,                       ,                        ,                  ,                         ,                   ,                       ,                     ,                   ,               ,                      ,                                            ,                   ,                  ,                          ,                ,                    ,                      ,                      ,                  ,                       ,                          ,                    ,                         ,                         ,                          ,                     ,                     ,                        ,                             ,                     ,                        ,             ,                    ,                            ,                     ,                 ,                 ,                      ,                     ,                   ,              ,                    ,                          ,                 ,                                      ,                         ,                      ,                      ,                     ,                   ,                    ,                      ,                    ,                    ,                  ,                   ,                     ,                     ,                       ,                    ,                    ,                     ,                     ,                         ,from ODP Leg 134 SR Chapter 10 Table 5 pp 202-205
